,,,,,,Gemeentenaam,LON(east),LAT(north)
Gemeente Aa en Hunze,,Aa en Hunze,Gemeente,01/01/1998,25/05/2022,GIETEN,53.005,6.76
Gemeente Aalsmeer,,Aalsmeer,Gemeente,,27/04/2022,AALSMEER,52.267,4.75
Gemeente Aalten,,Aalten,Gemeente,,08/06/2022,AALTEN,51.926,6.583
Gemeente Achtkarspelen,,Achtkarspelen,Gemeente,,27/04/2022,BUITENPOST,53.255,6.143
Gemeente Alblasserdam,,Alblasserdam,Gemeente,,23/04/2022,ALBLASSERDAM,51.862,4.658
Gemeente Albrandswaard,,Albrandswaard,Gemeente,01/01/1985,19/04/2022,RHOON,51.861,4.394
Gemeente Alkmaar,,Alkmaar,Gemeente,,22/04/2022,ALKMAAR,52.635,4.746
Gemeente Almelo,,Almelo,Gemeente,01/01/1913,14/06/2022,ALMELO,52.357,6.659
Gemeente Almere,,Almere,Gemeente,01/01/1984,10/06/2022,ALMERE,52.372,5.222
Gemeente Alphen aan den Rijn,,Alphen aan den Rijn,Gemeente,01/01/1918,04/06/2022,ALPHEN AAN DEN RIJN,52.129,4.66
Gemeente Alphen-Chaam,,Alphen-Chaam,Gemeente,01/01/1997,16/06/2022,ALPHEN NB,51.483,4.955
Gemeente Altena,,Altena,Gemeente,01/01/2019,09/06/2022,ALMKERK,51.771,4.94
Gemeente Ameland,,Ameland,Gemeente,,21/04/2022,BALLUM,53.441,5.688
Gemeente Amersfoort,,Amersfoort,Gemeente,,14/05/2022,AMERSFOORT,52.157,5.384
Gemeente Amstelveen,,Amstelveen,Gemeente,01/01/1964,18/05/2022,AMSTELVEEN,52.302,4.844
Gemeente Amsterdam,,Amsterdam,Gemeente,,08/06/2022,AMSTERDAM,52.368,4.9
Gemeente Apeldoorn,,Apeldoorn,Gemeente,,19/05/2022,APELDOORN,52.216,5.964
Gemeente Arnhem,,Arnhem,Gemeente,,10/06/2022,ARNHEM,51.979,5.911
Gemeente Assen,,Assen,Gemeente,,16/06/2022,ASSEN,52.995,6.565
Gemeente Asten,,Asten,Gemeente,,19/04/2022,ASTEN,51.404,5.745
Gemeente Baarle-Nassau,,Baarle-Nassau,Gemeente,,09/06/2022,BAARLE-NASSAU,51.443,4.931
Gemeente Baarn,,Baarn,Gemeente,,19/04/2022,BAARN,52.211,5.292
Gemeente Barendrecht,,Barendrecht,Gemeente,,19/04/2022,BARENDRECHT,51.857,4.539
Gemeente Barneveld,,Barneveld,Gemeente,,03/06/2022,BARNEVELD,52.14,5.586
Gemeente Beek,,Beek,Gemeente,,08/06/2022,BEEK LB,50.939,5.794
Gemeente Beekdaelen,,Beekdaelen,Gemeente,01/01/2019,17/06/2022,NUTH,50.919,5.887
Gemeente Beesel,,Beesel,Gemeente,,09/06/2022,REUVER,51.284,6.077
Gemeente Berg en Dal,,Berg en Dal,Gemeente,01/01/2016,26/04/2022,GROESBEEK,51.777,5.932
Gemeente Bergeijk,,Bergeijk,Gemeente,01/01/1999,11/05/2022,BERGEIJK,51.32,5.358
Gemeente Bergen (L),,Bergen (L),Gemeente,,26/04/2022,BERGEN L,51.603,6.049
Gemeente Bergen NH,,Bergen NH,Gemeente,,19/04/2022,ALKMAAR,52.644,4.725
Gemeente Bergen op Zoom,,Bergen op Zoom,Gemeente,,26/05/2022,BERGEN OP ZOOM,51.492,4.293
Gemeente Berkelland,,Berkelland,Gemeente,01/01/2005,19/04/2022,BORCULO,52.116,6.527
Gemeente Bernheze,,Bernheze,Gemeente,28/01/1995,16/06/2022,HEESCH,51.735,5.527
Gemeente Best,,Best,Gemeente,,19/04/2022,BEST,51.512,5.396
Gemeente Beuningen,,Beuningen,Gemeente,,17/06/2022,BEUNINGEN GLD,51.864,5.78
Gemeente Beverwijk,,Beverwijk,Gemeente,,27/04/2022,BEVERWIJK,52.478,4.655
Gemeente Bladel,,Bladel,Gemeente,01/01/1997,17/06/2022,BLADEL,51.367,5.215
Gemeente Blaricum,,Blaricum,Gemeente,,01/06/2022,BLARICUM,52.271,5.25
Gemeente Bloemendaal,,Bloemendaal,Gemeente,,26/04/2022,OVERVEEN,52.397,4.613
Gemeente Bodegraven-Reeuwijk,,Bodegraven-Reeuwijk,Gemeente,01/01/2011,19/04/2022,BODEGRAVEN,52.086,4.748
Gemeente Boekel,,Boekel,Gemeente,,31/05/2022,BOEKEL,51.603,5.673
Gemeente Borger-Odoorn,,Borger-Odoorn,Gemeente,01/01/1998,19/04/2022,EXLOO,52.883,6.864
Gemeente Borne,,Borne,Gemeente,,10/05/2022,BORNE,52.3,6.757
