# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI) 
#
# DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
# KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
#
# THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
# ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 391:         6.197       51.498      19.50  ARCEN
#
# Eenheden en grootheden in de metrics tabel voor WMO normalen.
#
# De metrics hebben 2 kenmerken:
#
# Meteorologische parameters
# Wijze van  berekening.
# Daarbij komen soms 1 of 2 grenswaardes.
#
# Meteorologische parameters:
# TG          : Etmaal gemiddelde temperatuur op 2 m. in graden Celsius 
# TN          : Minimum  temperatuur op 2 m. in graden Celsius 
# TX          : Maximum  temperatuur op 2 m. in graden Celsius 
# T10N        : Minimum  temperatuur op 10 cm in graden Celsius 
# W1_code     : Weercode voor mist 
# W2_code     : Weercode sneeuw 
# UG          : Gemiddelde relatieve vochtigheid in percentage
# U12         : Relatieve vochtigheid  om 12 UTC gemiddelde in percentage
# EEG         : Dampdruk in hPa 
# EV24        : Referentie gewasverdamping in mm per maand, seizoen of jaar 
# PG          : Luchtdruk in hPa 
# DR24        : Duur van de neerslag in uren per maand, seizoen of jaar 
# RHX         : Hoeveelheid neerslag in het natste uur im mm 
# RH24        : Hoeveelheid neerslag in mm per maand, seizoen of jaar 
# waterbalans : Neerslag minus verdamping in mm  per maand, seizoen of jaar
# SQ24        : Duur van zonneschijn in uren  per maand, seizoen of jaar
# pctzon      : Fractie van het maximale aantal urenzon ( daglicht)  in  percentage
# pctzon_duur : Het maximale aantal urenzon ( daglicht)  in uren 
# Q24         : Langgolvige straling in kJ/cm2  per maand, seizoen of jaar
# FG          : Gemiddelde windsnelheid in m/sec. 
# FHX         : Hoogste windsnelheid per dag in m/sec
# FXX         : Hoogste windstoot per dag in m/sec
#
# Wijze van berekening:
# gemiddeld   : Gemiddeld uit 30 jaar maandgemiddeldes 
# duur        : Gemiddeld uit 30 jaar maandsommen  
# duur_pct    : In percentage van de tijd.  
# som         : Gemiddeld uit 30 jaar maandsommen 
# min         : Verwachtingswaarde minimum 
# max         : Verwachtingswaarde maximum  
# minstens    : Gemiddeld aantal dagen waarin de grenswaarde gehaald werd 
# boven       : Gemiddeld aantal dagen waarin de grenswaarde overschreden werd 
# beneden     : Gemiddeld aantal dagen waarin de waarde beneden de  grenswaarde viel 
# tussen      : Gemiddeld aantal dagen waarin de waarde tussen 2 grenswaades viel 
# gelijk      : Gemiddeld aantal dagen waarin de waarde exact de grenswaarde was  
# niet_gelijk : Gemiddeld aantal dagen waarin de waarde niet de grenswaarde was  
#
#               Normalen_391_H,tijdvak,   1991,   2020
#                  metric,    jan,    feb,    mar,    apr,    may,    jun,    jul,    aug,    sep,    okt,    nov,    dec, winter,  lente,  zomer, herfst,   jaar
             TG_gemiddeld,    3.2,    3.7,    6.5,   10.2,   14.0,   16.8,   18.8,   18.2,   14.8,   10.8,    6.8,    3.9,    3.6,   10.2,   17.9,   10.8,   10.6
                   TG_min,   -4.3,   -2.4,    1.3,    4.2,    8.1,   11.7,   14.3,   13.5,   10.5,    5.2,    0.8,   -3.0,   -6.0,    1.1,   11.5,    0.6,   -6.0
                   TG_max,    9.8,    9.6,   12.3,   16.6,   20.3,   23.8,   24.9,   24.2,   19.7,   16.3,   12.9,   10.6,   11.7,   20.4,   26.4,   19.8,   26.4
             TG_beneden_0,    7.2,    5.1,    1.2,    0.0,      .,      .,      .,      .,      .,    0.0,    1.2,    5.4,   17.7,    1.2,      .,    1.3,   20.2
           TG_minstens_20,      .,      .,      .,    0.2,    1.9,    5.4,   10.8,    7.5,    1.4,    0.0,      .,      .,      .,    2.1,   23.7,    1.4,   27.2
         TG_tussen_0_en_5,   11.9,   11.6,    8.7,    2.0,      .,      .,      .,      .,      .,    1.6,    7.4,   12.1,   35.6,   10.7,      .,    9.0,   55.3
       TG_tussen_10_en_15,    1.5,    1.5,    4.9,   11.9,   14.0,    9.3,    3.2,    3.8,   15.8,   15.4,    5.6,    2.2,    5.2,   30.8,   16.3,   36.8,   89.1
       TG_tussen_15_en_20,      .,      .,    0.2,    2.9,   10.5,   15.2,   17.0,   19.7,   12.1,    3.4,    0.3,      .,      .,   13.6,   51.8,   15.8,   81.2
        TG_tussen_5_en_10,   10.5,   10.0,   16.0,   12.9,    4.6,    0.2,      .,      .,    0.7,   10.5,   15.5,   11.3,   31.8,   33.5,    0.2,   26.7,   92.2
             TN_gemiddeld,    0.4,    0.4,    2.1,    4.4,    8.1,   10.9,   13.1,   12.6,    9.9,    6.9,    3.6,    1.3,    0.7,    4.9,   12.2,    6.8,    6.1
                   TN_min,   -8.1,   -6.5,   -4.3,   -2.3,    1.5,    5.2,    7.9,    7.3,    4.5,    0.3,   -3.0,   -6.1,  -10.3,   -4.7,    4.8,   -3.5,  -10.4
                   TN_max,    7.4,    7.2,    8.8,   10.9,   14.1,   16.8,   17.8,   17.7,   15.1,   13.3,   10.5,    8.4,    9.7,   14.1,   19.0,   15.3,   19.0
             TN_beneden_0,   13.1,   12.3,    9.6,    4.0,    0.2,      .,      .,      .,      .,    1.6,    5.1,   11.3,   36.6,   13.8,      .,    6.7,   57.1
           TN_beneden_-10,    0.7,    0.6,      .,      .,      .,      .,      .,      .,      .,      .,      .,    0.4,    1.7,      .,      .,      .,    1.7
            TN_beneden_-5,    4.1,    2.9,    0.6,    0.1,      .,      .,      .,      .,      .,    0.1,    0.6,    2.5,    9.5,    0.8,      .,    0.7,   10.9
           TN_minstens_20,      .,      .,      .,      .,      .,    0.1,    0.2,    0.1,      .,      .,      .,      .,      .,      .,    0.4,      .,    0.4
             TX_gemiddeld,    5.9,    7.1,   11.1,   15.7,   19.6,   22.5,   24.6,   24.1,   20.2,   15.0,    9.7,    6.3,    6.4,   15.5,   23.7,   15.0,   15.2
