# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI) 
#
# DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
# KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
#
# THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
# ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 348:         4.926       51.970      -0.70  CABAUW
#
# Eenheden en grootheden in de metrics tabel voor WMO normalen.
#
# De metrics hebben 2 kenmerken:
#
# Meteorologische parameters
# Wijze van  berekening.
# Daarbij komen soms 1 of 2 grenswaardes.
#
# Meteorologische parameters:
# TG          : Etmaal gemiddelde temperatuur op 2 m. in graden Celsius 
# TN          : Minimum  temperatuur op 2 m. in graden Celsius 
# TX          : Maximum  temperatuur op 2 m. in graden Celsius 
# T10N        : Minimum  temperatuur op 10 cm in graden Celsius 
# W1_code     : Weercode voor mist 
# W2_code     : Weercode sneeuw 
# UG          : Gemiddelde relatieve vochtigheid in percentage
# U12         : Relatieve vochtigheid  om 12 UTC gemiddelde in percentage
# EEG         : Dampdruk in hPa 
# EV24        : Referentie gewasverdamping in mm per maand, seizoen of jaar 
# PG          : Luchtdruk in hPa 
# DR24        : Duur van de neerslag in uren per maand, seizoen of jaar 
# RHX         : Hoeveelheid neerslag in het natste uur im mm 
# RH24        : Hoeveelheid neerslag in mm per maand, seizoen of jaar 
# waterbalans : Neerslag minus verdamping in mm  per maand, seizoen of jaar
# SQ24        : Duur van zonneschijn in uren  per maand, seizoen of jaar
# pctzon      : Fractie van het maximale aantal urenzon ( daglicht)  in  percentage
# pctzon_duur : Het maximale aantal urenzon ( daglicht)  in uren 
# Q24         : Langgolvige straling in kJ/cm2  per maand, seizoen of jaar
# FG          : Gemiddelde windsnelheid in m/sec. 
# FHX         : Hoogste windsnelheid per dag in m/sec
# FXX         : Hoogste windstoot per dag in m/sec
#
# Wijze van berekening:
# gemiddeld   : Gemiddeld uit 30 jaar maandgemiddeldes 
# duur        : Gemiddeld uit 30 jaar maandsommen  
# duur_pct    : In percentage van de tijd.  
# som         : Gemiddeld uit 30 jaar maandsommen 
# min         : Verwachtingswaarde minimum 
# max         : Verwachtingswaarde maximum  
# minstens    : Gemiddeld aantal dagen waarin de grenswaarde gehaald werd 
# boven       : Gemiddeld aantal dagen waarin de grenswaarde overschreden werd 
# beneden     : Gemiddeld aantal dagen waarin de waarde beneden de  grenswaarde viel 
# tussen      : Gemiddeld aantal dagen waarin de waarde tussen 2 grenswaades viel 
# gelijk      : Gemiddeld aantal dagen waarin de waarde exact de grenswaarde was  
# niet_gelijk : Gemiddeld aantal dagen waarin de waarde niet de grenswaarde was  
#
#               Normalen_348_H,tijdvak,   1991,   2020
#                  metric,    jan,    feb,    mar,    apr,    may,    jun,    jul,    aug,    sep,    okt,    nov,    dec, winter,  lente,  zomer, herfst,   jaar
             TG_gemiddeld,    3.5,    3.8,    6.3,    9.6,   13.3,   16.0,   18.1,   17.8,   14.8,   10.9,    7.0,    4.1,    3.8,    9.7,   17.3,   10.9,   10.4
                   TG_min,   -3.6,   -2.2,    1.4,    4.2,    7.9,   11.4,   14.1,   13.7,   10.9,    5.7,    1.3,   -2.4,   -5.4,    1.2,   11.4,    1.2,   -5.4
                   TG_max,    9.4,    9.1,   11.6,   15.7,   19.5,   22.4,   23.8,   23.3,   19.2,   15.9,   12.7,   10.4,   11.2,   19.6,   25.1,   19.3,   25.1
             TG_beneden_0,    6.5,    4.6,    1.1,      .,      .,      .,      .,      .,      .,      .,    0.9,    5.3,   16.3,    1.1,      .,    0.9,   18.4
           TG_minstens_20,      .,      .,      .,      .,    1.3,    3.0,    7.5,    5.9,    0.7,      .,      .,      .,      .,    1.3,   16.4,    0.7,   18.5
         TG_tussen_0_en_5,   11.7,   11.8,    8.6,    2.1,      .,      .,      .,      .,      .,    1.1,    6.8,   11.5,   35.1,   10.7,      .,    7.9,   53.6
       TG_tussen_10_en_15,    1.0,    0.8,    3.5,   10.9,   15.8,   11.1,    4.0,    3.8,   15.9,   16.4,    5.4,    1.8,    3.6,   30.2,   18.9,   37.7,   90.4
       TG_tussen_15_en_20,      .,      .,    0.0,    2.2,    8.2,   15.6,   19.6,   21.3,   12.9,    3.0,    0.2,      .,      .,   10.5,   56.4,   16.1,   83.0
        TG_tussen_5_en_10,   11.8,   11.0,   17.8,   14.8,    5.6,    0.3,      .,      .,    0.4,   10.6,   16.7,   12.4,   35.3,   38.2,    0.3,   27.7,  101.4
             TN_gemiddeld,    0.7,    0.6,    2.3,    4.6,    8.2,   11.0,   13.2,   12.9,   10.5,    7.2,    3.9,    1.4,    0.9,    5.0,   12.4,    7.2,    6.4
                   TN_min,   -6.7,   -6.2,   -3.8,   -1.5,    2.0,    5.9,    8.6,    8.3,    5.5,    1.1,   -2.4,   -5.7,   -9.1,   -4.1,    5.6,   -2.8,   -9.5
                   TN_max,    7.3,    7.0,    8.6,   10.5,   13.8,   16.4,   17.9,   17.8,   15.1,   13.2,   10.6,    8.2,    9.3,   13.8,   19.0,   15.3,   19.0
             TN_beneden_0,   12.2,   11.4,    7.7,    3.0,    0.1,      .,      .,      .,      .,    1.1,    4.5,   11.1,   34.7,   10.8,      .,    5.6,   51.0
           TN_beneden_-10,    0.3,    0.5,    0.0,      .,      .,      .,      .,      .,      .,      .,      .,    0.2,    1.0,    0.0,      .,      .,    1.1
            TN_beneden_-5,    3.3,    2.5,    0.5,      .,      .,      .,      .,      .,      .,    0.1,    0.4,    2.3,    8.1,    0.5,      .,    0.4,    9.0
           TN_minstens_20,      .,      .,      .,      .,      .,      .,    0.2,    0.2,      .,      .,      .,      .,      .,      .,    0.3,      .,    0.3
             TX_gemiddeld,    6.0,    6.9,   10.3,   14.5,   18.0,   20.6,   22.8,   22.7,   19.3,   14.7,    9.8,    6.5,    6.5,   14.3,   22.0,   14.6,   14.3
                   TX_min,   -1.1,    0.5,    4.7,    8.1,   11.4,   14.6,   17.4,   17.5,   14.1,    9.3,    3.7,   -0.1,   -2.7,    4.7,   14.5,    3.6,   -2.7
                   TX_max,   11.9,   12.6,   16.8,   22.6,   26.2,   29.2,   30.7,   30.1,   25.4,   20.6,   15.6,   12.4,   14.0,   26.5,   32.4,   25.6,   32.5
             TX_beneden_0,    2.6,    1.4,    0.2,      .,      .,      .,      .,      .,      .,      .,    0.4,    1.7,    5.7,    0.2,      .,    0.4,    6.3
           TX_minstens_15,      .,    0.3,    3.2,   12.1,   22.3,   28.2,   30.9,   31.0,   28.2,   15.0,    1.4,      .,    0.3,   37.6,   90.0,   44.6,  172.5
           TX_minstens_20,      .,      .,    0.1,    3.8,   10.0,   15.7,   22.3,   23.8,   10.9,    1.6,      .,      .,      .,   13.9,   61.8,   12.5,   88.2
           TX_minstens_25,      .,      .,      .,    0.6,    2.3,    4.3,    8.9,    7.1,    1.8,    0.1,      .,      .,      .,    2.9,   20.3,    1.9,   25.1
           TX_minstens_30,      .,      .,      .,      .,    0.1,    0.6,    1.5,    1.5,    0.1,      .,      .,      .,      .,    0.1,    3.6,    0.1,    3.9
           TX_minstens_35,      .,      .,      .,      .,      .,      .,    0.2,      .,      .,      .,      .,      .,      .,      .,    0.2,      .,    0.2
             UG_gemiddeld,   88.2,   85.8,   81.9,   77.0,   75.9,   77.7,   78.6,   80.2,   83.8,   86.6,   90.1,   90.1,   88.0,   78.3,   78.8,   86.8,   83.0
            U12_gemiddeld,   84.7,   80.0,   72.9,   63.5,   62.9,   65.8,   66.0,   65.9,   70.6,   77.2,   84.6,   87.0,   83.9,   66.4,   65.9,   77.5,   73.4
            EEG_gemiddeld,    7.2,    7.1,    8.0,    9.2,   11.5,   14.1,   16.1,   16.2,   14.1,   11.5,    9.3,    7.7,    7.3,    9.6,   15.5,   11.6,   11.0
