# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI) 
#
# DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
# KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
#
# THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
# ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 235:         4.781       52.928       1.20  DE KOOY
#
# Eenheden en grootheden in de metrics tabel voor WMO normalen.
#
# De metrics hebben 2 kenmerken:
#
# Meteorologische parameters
# Wijze van  berekening.
# Daarbij komen soms 1 of 2 grenswaardes.
#
# Meteorologische parameters:
# TG          : Etmaal gemiddelde temperatuur op 2 m. in graden Celsius 
# TN          : Minimum  temperatuur op 2 m. in graden Celsius 
# TX          : Maximum  temperatuur op 2 m. in graden Celsius 
# T10N        : Minimum  temperatuur op 10 cm in graden Celsius 
# W1_code     : Weercode voor mist 
# W2_code     : Weercode sneeuw 
# UG          : Gemiddelde relatieve vochtigheid in percentage
# U12         : Relatieve vochtigheid  om 12 UTC gemiddelde in percentage
# EEG         : Dampdruk in hPa 
# EV24        : Referentie gewasverdamping in mm per maand, seizoen of jaar 
# PG          : Luchtdruk in hPa 
# DR24        : Duur van de neerslag in uren per maand, seizoen of jaar 
# RHX         : Hoeveelheid neerslag in het natste uur im mm 
# RH24        : Hoeveelheid neerslag in mm per maand, seizoen of jaar 
# waterbalans : Neerslag minus verdamping in mm  per maand, seizoen of jaar
# SQ24        : Duur van zonneschijn in uren  per maand, seizoen of jaar
# pctzon      : Fractie van het maximale aantal urenzon ( daglicht)  in  percentage
# pctzon_duur : Het maximale aantal urenzon ( daglicht)  in uren 
# Q24         : Langgolvige straling in kJ/cm2  per maand, seizoen of jaar
# FG          : Gemiddelde windsnelheid in m/sec. 
# FHX         : Hoogste windsnelheid per dag in m/sec
# FXX         : Hoogste windstoot per dag in m/sec
#
# Wijze van berekening:
# gemiddeld   : Gemiddeld uit 30 jaar maandgemiddeldes 
# duur        : Gemiddeld uit 30 jaar maandsommen  
# duur_pct    : In percentage van de tijd.  
# som         : Gemiddeld uit 30 jaar maandsommen 
# min         : Verwachtingswaarde minimum 
# max         : Verwachtingswaarde maximum  
# minstens    : Gemiddeld aantal dagen waarin de grenswaarde gehaald werd 
# boven       : Gemiddeld aantal dagen waarin de grenswaarde overschreden werd 
# beneden     : Gemiddeld aantal dagen waarin de waarde beneden de  grenswaarde viel 
# tussen      : Gemiddeld aantal dagen waarin de waarde tussen 2 grenswaades viel 
# gelijk      : Gemiddeld aantal dagen waarin de waarde exact de grenswaarde was  
# niet_gelijk : Gemiddeld aantal dagen waarin de waarde niet de grenswaarde was  
#
#               Normalen_235_H,tijdvak,   1991,   2020
#                  metric,    jan,    feb,    mar,    apr,    may,    jun,    jul,    aug,    sep,    okt,    nov,    dec, winter,  lente,  zomer, herfst,   jaar
             TG_gemiddeld,    4.0,    3.9,    5.9,    9.0,   12.4,   15.2,   17.5,   17.8,   15.4,   11.6,    7.8,    5.0,    4.3,    9.1,   16.8,   11.6,   10.5
                   TG_min,   -2.4,   -1.6,    1.9,    4.8,    8.1,   11.6,   14.3,   14.5,   12.1,    7.1,    2.5,   -1.1,   -4.1,    1.9,   11.6,    2.5,   -4.2
                   TG_max,    8.5,    8.1,    9.9,   14.4,   18.0,   21.2,   22.6,   22.7,   19.1,   15.7,   12.6,    9.9,   10.3,   18.3,   24.2,   19.1,   24.2
             TG_beneden_0,    4.9,    3.7,    0.9,      .,      .,      .,      .,      .,      .,      .,    0.6,    3.3,   11.9,    0.9,      .,    0.6,   13.3
           TG_minstens_20,      .,      .,      .,      .,    0.4,    1.6,    4.9,    4.7,    0.7,      .,      .,      .,      .,    0.4,   11.2,    0.7,   12.3
         TG_tussen_0_en_5,   11.0,   11.8,    8.4,    1.5,      .,      .,      .,      .,      .,    0.5,    4.5,    9.6,   32.4,   10.0,      .,    5.0,   47.3
       TG_tussen_10_en_15,    0.2,    0.1,    1.1,    8.6,   18.1,   14.5,    3.8,    2.3,   13.1,   20.1,    7.4,    1.4,    1.8,   27.8,   20.6,   40.6,   90.8
       TG_tussen_15_en_20,      .,      .,      .,    0.8,    5.7,   13.7,   22.3,   24.0,   16.2,    3.2,    0.1,      .,      .,    6.5,   60.0,   19.4,   86.0
        TG_tussen_5_en_10,   14.9,   12.6,   20.6,   19.0,    6.8,    0.2,      .,      .,    0.0,    7.3,   17.5,   16.7,   44.2,   46.4,    0.2,   24.8,  115.6
             TN_gemiddeld,    1.7,    1.4,    3.0,    5.5,    9.0,   11.8,   14.1,   14.4,   12.1,    8.7,    5.2,    2.6,    1.9,    5.8,   13.4,    8.7,    7.5
                   TN_min,   -5.3,   -4.9,   -2.3,   -0.2,    3.6,    7.1,    9.8,   10.0,    7.2,    3.4,   -0.5,   -4.0,   -7.7,   -2.6,    7.0,   -0.8,   -7.8
                   TN_max,    7.0,    6.5,    7.4,   10.1,   13.8,   16.6,   18.1,   18.6,   16.4,   13.7,   10.9,    8.5,    9.0,   13.9,   19.3,   16.4,   19.4
             TN_beneden_0,    9.8,    9.0,    5.1,    1.1,      .,      .,      .,      .,      .,    0.2,    2.0,    7.9,   26.7,    6.2,      .,    2.2,   35.1
           TN_beneden_-10,    0.2,    0.4,      .,      .,      .,      .,      .,      .,      .,      .,      .,    0.0,    0.6,      .,      .,      .,    0.6
            TN_beneden_-5,    1.8,    1.6,    0.2,      .,      .,      .,      .,      .,      .,      .,    0.2,    1.1,    4.6,    0.2,      .,    0.2,    4.9
           TN_minstens_20,      .,      .,      .,      .,      .,    0.0,    0.4,    0.5,    0.1,      .,      .,      .,      .,      .,    0.9,    0.1,    1.0
             TX_gemiddeld,    6.0,    6.2,    8.7,   12.4,   15.8,   18.5,   20.8,   21.1,   18.3,   14.3,   10.0,    7.0,    6.4,   12.3,   20.1,   14.2,   13.3
