# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI) 
#
# DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
# KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
#
# THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
# ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 275:         5.873       52.056      48.20  DEELEN
#
# Eenheden en grootheden in de metrics tabel voor WMO normalen.
#
# De metrics hebben 2 kenmerken:
#
# Meteorologische parameters
# Wijze van  berekening.
# Daarbij komen soms 1 of 2 grenswaardes.
#
# Meteorologische parameters:
# TG          : Etmaal gemiddelde temperatuur op 2 m. in graden Celsius 
# TN          : Minimum  temperatuur op 2 m. in graden Celsius 
# TX          : Maximum  temperatuur op 2 m. in graden Celsius 
# T10N        : Minimum  temperatuur op 10 cm in graden Celsius 
# W1_code     : Weercode voor mist 
# W2_code     : Weercode sneeuw 
# UG          : Gemiddelde relatieve vochtigheid in percentage
# U12         : Relatieve vochtigheid  om 12 UTC gemiddelde in percentage
# EEG         : Dampdruk in hPa 
# EV24        : Referentie gewasverdamping in mm per maand, seizoen of jaar 
# PG          : Luchtdruk in hPa 
# DR24        : Duur van de neerslag in uren per maand, seizoen of jaar 
# RHX         : Hoeveelheid neerslag in het natste uur im mm 
# RH24        : Hoeveelheid neerslag in mm per maand, seizoen of jaar 
# waterbalans : Neerslag minus verdamping in mm  per maand, seizoen of jaar
# SQ24        : Duur van zonneschijn in uren  per maand, seizoen of jaar
# pctzon      : Fractie van het maximale aantal urenzon ( daglicht)  in  percentage
# pctzon_duur : Het maximale aantal urenzon ( daglicht)  in uren 
# Q24         : Langgolvige straling in kJ/cm2  per maand, seizoen of jaar
# FG          : Gemiddelde windsnelheid in m/sec. 
# FHX         : Hoogste windsnelheid per dag in m/sec
# FXX         : Hoogste windstoot per dag in m/sec
#
# Wijze van berekening:
# gemiddeld   : Gemiddeld uit 30 jaar maandgemiddeldes 
# duur        : Gemiddeld uit 30 jaar maandsommen  
# duur_pct    : In percentage van de tijd.  
# som         : Gemiddeld uit 30 jaar maandsommen 
# min         : Verwachtingswaarde minimum 
# max         : Verwachtingswaarde maximum  
# minstens    : Gemiddeld aantal dagen waarin de grenswaarde gehaald werd 
# boven       : Gemiddeld aantal dagen waarin de grenswaarde overschreden werd 
# beneden     : Gemiddeld aantal dagen waarin de waarde beneden de  grenswaarde viel 
# tussen      : Gemiddeld aantal dagen waarin de waarde tussen 2 grenswaades viel 
# gelijk      : Gemiddeld aantal dagen waarin de waarde exact de grenswaarde was  
# niet_gelijk : Gemiddeld aantal dagen waarin de waarde niet de grenswaarde was  
#
#               Normalen_275_H,tijdvak,   1991,   2020
#                  metric,    jan,    feb,    mar,    apr,    may,    jun,    jul,    aug,    sep,    okt,    nov,    dec, winter,  lente,  zomer, herfst,   jaar
             TG_gemiddeld,    2.9,    3.2,    5.9,    9.6,   13.3,   16.1,   18.1,   17.7,   14.5,   10.5,    6.4,    3.5,    3.2,    9.6,   17.3,   10.5,   10.1
                   TG_min,   -4.7,   -3.0,    0.6,    3.5,    7.3,   11.0,   13.7,   13.0,   10.2,    5.0,    0.6,   -3.5,   -6.5,    0.4,   10.8,    0.4,   -6.5
                   TG_max,    9.2,    9.0,   11.7,   16.3,   20.0,   23.3,   24.5,   24.1,   19.5,   15.9,   12.6,   10.1,   11.1,   20.2,   26.1,   19.6,   26.2
             TG_beneden_0,    7.7,    5.7,    1.6,    0.1,      .,      .,      .,      .,      .,    0.0,    1.3,    6.3,   19.7,    1.7,      .,    1.3,   22.7
           TG_minstens_20,      .,      .,      .,    0.2,    1.9,    4.0,    8.3,    6.3,    1.3,    0.0,      .,      .,      .,    2.1,   18.7,    1.3,   22.0
         TG_tussen_0_en_5,   12.3,   12.1,    9.9,    3.2,    0.1,      .,      .,      .,      .,    1.7,    8.3,   11.9,   36.3,   13.2,      .,   10.0,   59.5
       TG_tussen_10_en_15,    0.9,    0.8,    3.6,   10.2,   14.6,   11.4,    5.7,    5.4,   16.9,   15.1,    4.8,    1.6,    3.4,   28.4,   22.4,   36.7,   90.9
       TG_tussen_15_en_20,      .,      .,    0.1,    2.6,    8.1,   14.3,   17.0,   19.3,   10.8,    2.7,    0.1,      .,      .,   10.9,   50.5,   13.7,   75.1
        TG_tussen_5_en_10,   10.1,    9.6,   15.8,   13.7,    6.3,    0.4,      .,      .,    1.0,   11.4,   15.5,   11.1,   30.8,   35.8,    0.4,   28.0,   95.0
             TN_gemiddeld,    0.0,   -0.0,    1.6,    3.8,    7.5,   10.4,   12.6,   12.3,    9.8,    6.6,    3.3,    0.9,    0.3,    4.3,   11.8,    6.6,    5.7
                   TN_min,   -8.6,   -7.9,   -5.4,   -3.3,    0.3,    4.0,    6.5,    6.5,    4.0,   -0.2,   -3.5,   -7.4,  -11.3,   -6.0,    3.5,   -4.1,  -11.6
                   TN_max,    7.1,    6.8,    8.3,   10.7,   13.9,   16.9,   18.1,   17.9,   15.1,   13.0,   10.4,    7.9,    9.2,   14.1,   19.5,   15.2,   19.5
             TN_beneden_0,   13.4,   13.0,   11.1,    6.0,    0.9,      .,      .,      .,      .,    1.9,    6.2,   12.7,   39.0,   18.0,      .,    8.1,   65.1
           TN_beneden_-10,    0.8,    0.9,    0.1,      .,      .,      .,      .,      .,      .,      .,      .,    0.4,    2.1,    0.1,      .,      .,    2.2
            TN_beneden_-5,    4.4,    3.5,    1.2,    0.3,      .,      .,      .,      .,      .,    0.1,    0.6,    3.1,   11.1,    1.4,      .,    0.7,   13.2
           TN_minstens_20,      .,      .,      .,      .,      .,    0.1,    0.2,    0.2,      .,      .,      .,      .,      .,      .,    0.5,      .,    0.5
             TX_gemiddeld,    5.4,    6.5,   10.3,   14.9,   18.6,   21.3,   23.4,   23.0,   19.4,   14.5,    9.3,    6.0,    6.0,   14.6,   22.6,   14.4,   14.4
