# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI) 
#
# DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
# KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
#
# THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
# ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 280:         6.585       53.125       5.20  EELDE
#
# Eenheden en grootheden in de metrics tabel voor WMO normalen.
#
# De metrics hebben 2 kenmerken:
#
# Meteorologische parameters
# Wijze van  berekening.
# Daarbij komen soms 1 of 2 grenswaardes.
#
# Meteorologische parameters:
# TG          : Etmaal gemiddelde temperatuur op 2 m. in graden Celsius 
# TN          : Minimum  temperatuur op 2 m. in graden Celsius 
# TX          : Maximum  temperatuur op 2 m. in graden Celsius 
# T10N        : Minimum  temperatuur op 10 cm in graden Celsius 
# W1_code     : Weercode voor mist 
# W2_code     : Weercode sneeuw 
# UG          : Gemiddelde relatieve vochtigheid in percentage
# U12         : Relatieve vochtigheid  om 12 UTC gemiddelde in percentage
# EEG         : Dampdruk in hPa 
# EV24        : Referentie gewasverdamping in mm per maand, seizoen of jaar 
# PG          : Luchtdruk in hPa 
# DR24        : Duur van de neerslag in uren per maand, seizoen of jaar 
# RHX         : Hoeveelheid neerslag in het natste uur im mm 
# RH24        : Hoeveelheid neerslag in mm per maand, seizoen of jaar 
# waterbalans : Neerslag minus verdamping in mm  per maand, seizoen of jaar
# SQ24        : Duur van zonneschijn in uren  per maand, seizoen of jaar
# pctzon      : Fractie van het maximale aantal urenzon ( daglicht)  in  percentage
# pctzon_duur : Het maximale aantal urenzon ( daglicht)  in uren 
# Q24         : Langgolvige straling in kJ/cm2  per maand, seizoen of jaar
# FG          : Gemiddelde windsnelheid in m/sec. 
# FHX         : Hoogste windsnelheid per dag in m/sec
# FXX         : Hoogste windstoot per dag in m/sec
#
# Wijze van berekening:
# gemiddeld   : Gemiddeld uit 30 jaar maandgemiddeldes 
# duur        : Gemiddeld uit 30 jaar maandsommen  
# duur_pct    : In percentage van de tijd.  
# som         : Gemiddeld uit 30 jaar maandsommen 
# min         : Verwachtingswaarde minimum 
# max         : Verwachtingswaarde maximum  
# minstens    : Gemiddeld aantal dagen waarin de grenswaarde gehaald werd 
# boven       : Gemiddeld aantal dagen waarin de grenswaarde overschreden werd 
# beneden     : Gemiddeld aantal dagen waarin de waarde beneden de  grenswaarde viel 
# tussen      : Gemiddeld aantal dagen waarin de waarde tussen 2 grenswaades viel 
# gelijk      : Gemiddeld aantal dagen waarin de waarde exact de grenswaarde was  
# niet_gelijk : Gemiddeld aantal dagen waarin de waarde niet de grenswaarde was  
#
#               Normalen_280_H,tijdvak,   1991,   2020
#                  metric,    jan,    feb,    mar,    apr,    may,    jun,    jul,    aug,    sep,    okt,    nov,    dec, winter,  lente,  zomer, herfst,   jaar
             TG_gemiddeld,    2.8,    3.0,    5.5,    9.0,   12.5,   15.4,   17.5,   17.3,   14.1,   10.3,    6.3,    3.5,    3.1,    9.0,   16.7,   10.2,    9.8
                   TG_min,   -4.6,   -3.0,    0.6,    3.6,    7.2,   11.0,   13.6,   13.1,   10.3,    4.9,    0.4,   -3.3,   -6.5,    0.4,   10.8,    0.3,   -6.7
                   TG_max,    8.8,    8.4,   10.7,   15.5,   19.0,   22.0,   23.0,   22.8,   18.6,   15.4,   12.2,    9.7,   10.7,   19.2,   24.9,   18.7,   24.9
             TG_beneden_0,    7.8,    5.6,    1.7,    0.1,      .,      .,      .,      .,      .,    0.1,    1.1,    6.4,   19.8,    1.8,      .,    1.2,   22.8
           TG_minstens_20,      .,      .,      .,    0.0,    0.9,    2.6,    6.4,    5.0,    0.6,    0.0,      .,      .,      .,    0.9,   14.0,    0.6,   15.5
         TG_tussen_0_en_5,   12.2,   12.7,   10.9,    3.2,    0.0,      .,      .,      .,      .,    2.2,    8.4,   12.0,   36.9,   14.2,      .,   10.6,   61.7
       TG_tussen_10_en_15,    0.6,    0.5,    1.9,    9.3,   15.7,   14.0,    6.2,    6.3,   18.9,   15.2,    4.0,    1.2,    2.2,   26.9,   26.5,   38.1,   93.6
       TG_tussen_15_en_20,      .,      .,    0.1,    1.7,    6.5,   13.0,   18.4,   19.7,    9.7,    2.0,    0.1,      .,      .,    8.2,   51.1,   11.8,   71.1
        TG_tussen_5_en_10,   10.4,    9.4,   16.5,   15.7,    7.9,    0.4,      .,      .,    0.9,   11.6,   16.4,   11.5,   31.2,   40.1,    0.4,   28.8,  100.5
             TN_gemiddeld,    0.1,   -0.1,    1.4,    3.7,    7.0,    9.9,   12.2,   11.9,    9.4,    6.3,    3.2,    0.8,    0.3,    4.0,   11.3,    6.3,    5.5
                   TN_min,   -8.0,   -7.4,   -4.7,   -2.8,    0.4,    4.2,    6.9,    6.6,    3.8,   -0.5,   -3.6,   -7.1,  -10.7,   -5.1,    4.0,   -4.3,  -11.0
                   TN_max,    6.8,    6.5,    7.7,   10.0,   13.5,   15.7,   17.1,   16.8,   14.4,   12.6,   10.1,    7.6,    8.8,   13.5,   18.1,   14.6,   18.1
             TN_beneden_0,   13.4,   13.2,   10.1,    5.3,    0.8,      .,      .,      .,      .,    2.3,    5.7,   12.4,   38.9,   16.3,      .,    7.9,   63.1
           TN_beneden_-10,    0.7,    1.0,    0.1,      .,      .,      .,      .,      .,      .,      .,    0.0,    0.4,    2.1,    0.1,      .,    0.0,    2.2
            TN_beneden_-5,    4.8,    3.5,    1.3,    0.2,      .,      .,      .,      .,      .,    0.1,    0.7,    3.8,   12.0,    1.5,      .,    0.8,   14.3
           TN_minstens_20,      .,      .,      .,      .,      .,      .,    0.1,      .,      .,      .,      .,      .,      .,      .,    0.1,      .,    0.1
             TX_gemiddeld,    5.2,    6.0,    9.5,   14.2,   17.6,   20.4,   22.7,   22.6,   19.0,   14.2,    9.0,    5.9,    5.7,   13.8,   21.9,   14.1,   13.9
