# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI) 
#
# DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
# KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
#
# THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
# ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 370:         5.377       51.451      22.60  EINDHOVEN
#
# Eenheden en grootheden in de metrics tabel voor WMO normalen.
#
# De metrics hebben 2 kenmerken:
#
# Meteorologische parameters
# Wijze van  berekening.
# Daarbij komen soms 1 of 2 grenswaardes.
#
# Meteorologische parameters:
# TG          : Etmaal gemiddelde temperatuur op 2 m. in graden Celsius 
# TN          : Minimum  temperatuur op 2 m. in graden Celsius 
# TX          : Maximum  temperatuur op 2 m. in graden Celsius 
# T10N        : Minimum  temperatuur op 10 cm in graden Celsius 
# W1_code     : Weercode voor mist 
# W2_code     : Weercode sneeuw 
# UG          : Gemiddelde relatieve vochtigheid in percentage
# U12         : Relatieve vochtigheid  om 12 UTC gemiddelde in percentage
# EEG         : Dampdruk in hPa 
# EV24        : Referentie gewasverdamping in mm per maand, seizoen of jaar 
# PG          : Luchtdruk in hPa 
# DR24        : Duur van de neerslag in uren per maand, seizoen of jaar 
# RHX         : Hoeveelheid neerslag in het natste uur im mm 
# RH24        : Hoeveelheid neerslag in mm per maand, seizoen of jaar 
# waterbalans : Neerslag minus verdamping in mm  per maand, seizoen of jaar
# SQ24        : Duur van zonneschijn in uren  per maand, seizoen of jaar
# pctzon      : Fractie van het maximale aantal urenzon ( daglicht)  in  percentage
# pctzon_duur : Het maximale aantal urenzon ( daglicht)  in uren 
# Q24         : Langgolvige straling in kJ/cm2  per maand, seizoen of jaar
# FG          : Gemiddelde windsnelheid in m/sec. 
# FHX         : Hoogste windsnelheid per dag in m/sec
# FXX         : Hoogste windstoot per dag in m/sec
#
# Wijze van berekening:
# gemiddeld   : Gemiddeld uit 30 jaar maandgemiddeldes 
# duur        : Gemiddeld uit 30 jaar maandsommen  
# duur_pct    : In percentage van de tijd.  
# som         : Gemiddeld uit 30 jaar maandsommen 
# min         : Verwachtingswaarde minimum 
# max         : Verwachtingswaarde maximum  
# minstens    : Gemiddeld aantal dagen waarin de grenswaarde gehaald werd 
# boven       : Gemiddeld aantal dagen waarin de grenswaarde overschreden werd 
# beneden     : Gemiddeld aantal dagen waarin de waarde beneden de  grenswaarde viel 
# tussen      : Gemiddeld aantal dagen waarin de waarde tussen 2 grenswaades viel 
# gelijk      : Gemiddeld aantal dagen waarin de waarde exact de grenswaarde was  
# niet_gelijk : Gemiddeld aantal dagen waarin de waarde niet de grenswaarde was  
#
#               Normalen_370_H,tijdvak,   1991,   2020
#                  metric,    jan,    feb,    mar,    apr,    may,    jun,    jul,    aug,    sep,    okt,    nov,    dec, winter,  lente,  zomer, herfst,   jaar
             TG_gemiddeld,    3.4,    3.8,    6.6,   10.1,   13.9,   16.7,   18.6,   18.2,   14.9,   11.0,    6.9,    4.1,    3.8,   10.2,   17.8,   10.9,   10.7
                   TG_min,   -4.2,   -2.4,    1.4,    4.2,    8.1,   11.6,   14.2,   13.5,   10.6,    5.4,    1.0,   -2.9,   -5.9,    1.1,   11.3,    0.8,   -5.9
                   TG_max,    9.9,    9.7,   12.4,   16.8,   20.4,   23.7,   25.1,   24.3,   19.7,   16.5,   13.1,   10.7,   11.8,   20.5,   26.5,   19.8,   26.5
             TG_beneden_0,    6.9,    5.0,    1.1,      .,      .,      .,      .,      .,      .,    0.0,    1.1,    5.5,   17.3,    1.1,      .,    1.1,   19.5
           TG_minstens_20,      .,      .,      .,    0.2,    2.0,    5.1,    9.8,    7.4,    1.4,    0.0,      .,      .,      .,    2.2,   22.2,    1.4,   25.8
         TG_tussen_0_en_5,   11.4,   11.3,    8.4,    2.2,      .,      .,      .,      .,      .,    1.2,    7.2,   11.4,   34.1,   10.6,      .,    8.4,   53.1
       TG_tussen_10_en_15,    1.5,    1.4,    4.8,   11.4,   14.7,    9.7,    3.5,    3.9,   15.5,   15.8,    5.5,    2.4,    5.3,   30.9,   17.1,   36.9,   90.2
       TG_tussen_15_en_20,      .,      .,    0.1,    3.0,    9.5,   14.9,   17.7,   19.8,   12.5,    3.6,    0.3,      .,      .,   12.7,   52.4,   16.3,   81.4
        TG_tussen_5_en_10,   11.2,   10.6,   16.5,   13.2,    4.8,    0.3,      .,      .,    0.6,   10.3,   16.0,   11.7,   33.5,   34.6,    0.3,   26.9,   95.3
             TN_gemiddeld,    0.4,    0.3,    2.1,    4.3,    7.9,   10.8,   12.9,   12.4,    9.7,    6.8,    3.5,    1.2,    0.6,    4.8,   12.0,    6.7,    6.0
                   TN_min,   -8.3,   -6.7,   -4.4,   -2.4,    1.2,    5.0,    7.7,    7.3,    4.3,   -0.0,   -3.4,   -6.6,  -10.5,   -4.8,    4.5,   -3.9,  -10.7
                   TN_max,    7.6,    7.3,    8.9,   10.8,   14.1,   16.7,   18.1,   17.7,   14.7,   13.5,   10.7,    8.5,    9.8,   14.2,   19.2,   15.0,   19.2
             TN_beneden_0,   13.0,   12.7,    8.9,    4.2,    0.5,      .,      .,      .,    0.0,    1.6,    5.7,   11.8,   37.5,   13.5,      .,    7.4,   58.4
           TN_beneden_-10,    0.6,    0.6,    0.1,      .,      .,      .,      .,      .,      .,      .,      .,    0.3,    1.6,    0.1,      .,      .,    1.6
            TN_beneden_-5,    4.0,    3.2,    0.7,    0.1,      .,      .,      .,      .,      .,    0.1,    0.7,    2.6,    9.8,    0.8,      .,    0.8,   11.4
           TN_minstens_20,      .,      .,      .,      .,      .,    0.0,    0.2,    0.2,      .,      .,      .,      .,      .,      .,    0.4,      .,    0.4
             TX_gemiddeld,    6.1,    7.2,   11.0,   15.5,   19.2,   22.0,   24.0,   23.7,   20.1,   15.2,   10.0,    6.6,    6.6,   15.2,   23.2,   15.1,   15.0
