# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI) 
#
# DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
# KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
#
# THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
# ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 279:         6.574       52.750      15.80  HOOGEVEEN
#
# Eenheden en grootheden in de metrics tabel voor WMO normalen.
#
# De metrics hebben 2 kenmerken:
#
# Meteorologische parameters
# Wijze van  berekening.
# Daarbij komen soms 1 of 2 grenswaardes.
#
# Meteorologische parameters:
# TG          : Etmaal gemiddelde temperatuur op 2 m. in graden Celsius 
# TN          : Minimum  temperatuur op 2 m. in graden Celsius 
# TX          : Maximum  temperatuur op 2 m. in graden Celsius 
# T10N        : Minimum  temperatuur op 10 cm in graden Celsius 
# W1_code     : Weercode voor mist 
# W2_code     : Weercode sneeuw 
# UG          : Gemiddelde relatieve vochtigheid in percentage
# U12         : Relatieve vochtigheid  om 12 UTC gemiddelde in percentage
# EEG         : Dampdruk in hPa 
# EV24        : Referentie gewasverdamping in mm per maand, seizoen of jaar 
# PG          : Luchtdruk in hPa 
# DR24        : Duur van de neerslag in uren per maand, seizoen of jaar 
# RHX         : Hoeveelheid neerslag in het natste uur im mm 
# RH24        : Hoeveelheid neerslag in mm per maand, seizoen of jaar 
# waterbalans : Neerslag minus verdamping in mm  per maand, seizoen of jaar
# SQ24        : Duur van zonneschijn in uren  per maand, seizoen of jaar
# pctzon      : Fractie van het maximale aantal urenzon ( daglicht)  in  percentage
# pctzon_duur : Het maximale aantal urenzon ( daglicht)  in uren 
# Q24         : Langgolvige straling in kJ/cm2  per maand, seizoen of jaar
# FG          : Gemiddelde windsnelheid in m/sec. 
# FHX         : Hoogste windsnelheid per dag in m/sec
# FXX         : Hoogste windstoot per dag in m/sec
#
# Wijze van berekening:
# gemiddeld   : Gemiddeld uit 30 jaar maandgemiddeldes 
# duur        : Gemiddeld uit 30 jaar maandsommen  
# duur_pct    : In percentage van de tijd.  
# som         : Gemiddeld uit 30 jaar maandsommen 
# min         : Verwachtingswaarde minimum 
# max         : Verwachtingswaarde maximum  
# minstens    : Gemiddeld aantal dagen waarin de grenswaarde gehaald werd 
# boven       : Gemiddeld aantal dagen waarin de grenswaarde overschreden werd 
# beneden     : Gemiddeld aantal dagen waarin de waarde beneden de  grenswaarde viel 
# tussen      : Gemiddeld aantal dagen waarin de waarde tussen 2 grenswaades viel 
# gelijk      : Gemiddeld aantal dagen waarin de waarde exact de grenswaarde was  
# niet_gelijk : Gemiddeld aantal dagen waarin de waarde niet de grenswaarde was  
#
#               Normalen_279_H,tijdvak,   1991,   2020
#                  metric,    jan,    feb,    mar,    apr,    may,    jun,    jul,    aug,    sep,    okt,    nov,    dec, winter,  lente,  zomer, herfst,   jaar
             TG_gemiddeld,    2.8,    3.1,    5.7,    9.2,   12.9,   15.6,   17.7,   17.3,   14.1,   10.2,    6.3,    3.5,    3.1,    9.3,   16.9,   10.2,    9.9
                   TG_min,   -4.6,   -2.9,    0.7,    3.6,    7.5,   11.1,   13.6,   13.2,   10.2,    4.8,    0.6,   -3.4,   -6.3,    0.4,   11.0,    0.4,   -6.5
                   TG_max,    9.0,    8.6,   10.9,   15.5,   19.3,   22.3,   23.1,   22.8,   18.6,   15.5,   12.3,    9.8,   10.9,   19.5,   24.9,   18.6,   24.9
             TG_beneden_0,    7.8,    5.8,    1.7,    0.0,      .,      .,      .,      .,      .,    0.1,    1.2,    6.6,   20.2,    1.8,      .,    1.2,   23.2
           TG_minstens_20,      .,      .,      .,    0.0,    1.0,    2.9,    6.5,    5.2,    0.5,      .,      .,      .,      .,    1.0,   14.6,    0.5,   16.2
         TG_tussen_0_en_5,   12.4,   12.5,   10.4,    3.0,      .,      .,      .,      .,      .,    2.1,    8.3,   11.7,   36.6,   13.4,      .,   10.4,   60.5
       TG_tussen_10_en_15,    0.7,    0.7,    2.5,    9.9,   15.3,   12.7,    6.0,    6.0,   18.5,   14.9,    4.0,    1.3,    2.7,   27.7,   24.7,   37.4,   92.4
       TG_tussen_15_en_20,      .,      .,    0.1,    1.9,    7.6,   14.0,   18.5,   19.8,    9.8,    2.1,    0.1,      .,      .,    9.5,   52.3,   12.0,   73.8
        TG_tussen_5_en_10,   10.1,    9.2,   16.3,   15.1,    7.2,    0.4,      .,      .,    1.2,   11.9,   16.4,   11.4,   30.7,   38.6,    0.4,   29.5,   99.2
             TN_gemiddeld,    0.3,    0.2,    1.8,    3.9,    7.5,   10.1,   12.2,   11.9,    9.4,    6.4,    3.4,    1.0,    0.5,    4.4,   11.4,    6.4,    5.7
                   TN_min,   -7.4,   -6.7,   -4.0,   -2.4,    1.2,    5.0,    7.0,    6.6,    3.8,   -0.1,   -2.7,   -6.7,   -9.9,   -4.6,    4.5,   -3.3,  -10.4
                   TN_max,    7.1,    6.6,    7.9,   10.2,   13.4,   15.7,   17.1,   16.8,   14.4,   12.6,   10.1,    7.6,    8.9,   13.5,   18.0,   14.5,   18.0
             TN_beneden_0,   12.4,   12.7,    8.8,    4.3,    0.5,      .,      .,      .,      .,    1.9,    5.4,   11.5,   36.6,   13.6,      .,    7.3,   57.5
           TN_beneden_-10,    0.6,    0.6,    0.1,      .,      .,      .,      .,      .,      .,      .,      .,    0.5,    1.7,    0.1,      .,      .,    1.8
            TN_beneden_-5,    4.2,    2.9,    0.7,    0.2,      .,      .,      .,      .,      .,    0.1,    0.6,    3.1,   10.2,    0.9,      .,    0.7,   11.8
           TN_minstens_20,      .,      .,      .,      .,      .,      .,    0.1,      .,      .,      .,      .,      .,      .,      .,    0.1,      .,    0.1
             TX_gemiddeld,    5.2,    6.1,    9.7,   14.5,   18.1,   20.7,   22.9,   22.6,   19.1,   14.2,    9.0,    5.8,    5.7,   14.1,   22.1,   14.1,   14.0
