# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI) 
#
# DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
# KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
#
# THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
# ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 251:         5.346       53.392       0.70  HOORN (TERSCHELLING)
#
# Eenheden en grootheden in de metrics tabel voor WMO normalen.
#
# De metrics hebben 2 kenmerken:
#
# Meteorologische parameters
# Wijze van  berekening.
# Daarbij komen soms 1 of 2 grenswaardes.
#
# Meteorologische parameters:
# TG          : Etmaal gemiddelde temperatuur op 2 m. in graden Celsius 
# TN          : Minimum  temperatuur op 2 m. in graden Celsius 
# TX          : Maximum  temperatuur op 2 m. in graden Celsius 
# T10N        : Minimum  temperatuur op 10 cm in graden Celsius 
# W1_code     : Weercode voor mist 
# W2_code     : Weercode sneeuw 
# UG          : Gemiddelde relatieve vochtigheid in percentage
# U12         : Relatieve vochtigheid  om 12 UTC gemiddelde in percentage
# EEG         : Dampdruk in hPa 
# EV24        : Referentie gewasverdamping in mm per maand, seizoen of jaar 
# PG          : Luchtdruk in hPa 
# DR24        : Duur van de neerslag in uren per maand, seizoen of jaar 
# RHX         : Hoeveelheid neerslag in het natste uur im mm 
# RH24        : Hoeveelheid neerslag in mm per maand, seizoen of jaar 
# waterbalans : Neerslag minus verdamping in mm  per maand, seizoen of jaar
# SQ24        : Duur van zonneschijn in uren  per maand, seizoen of jaar
# pctzon      : Fractie van het maximale aantal urenzon ( daglicht)  in  percentage
# pctzon_duur : Het maximale aantal urenzon ( daglicht)  in uren 
# Q24         : Langgolvige straling in kJ/cm2  per maand, seizoen of jaar
# FG          : Gemiddelde windsnelheid in m/sec. 
# FHX         : Hoogste windsnelheid per dag in m/sec
# FXX         : Hoogste windstoot per dag in m/sec
#
# Wijze van berekening:
# gemiddeld   : Gemiddeld uit 30 jaar maandgemiddeldes 
# duur        : Gemiddeld uit 30 jaar maandsommen  
# duur_pct    : In percentage van de tijd.  
# som         : Gemiddeld uit 30 jaar maandsommen 
# min         : Verwachtingswaarde minimum 
# max         : Verwachtingswaarde maximum  
# minstens    : Gemiddeld aantal dagen waarin de grenswaarde gehaald werd 
# boven       : Gemiddeld aantal dagen waarin de grenswaarde overschreden werd 
# beneden     : Gemiddeld aantal dagen waarin de waarde beneden de  grenswaarde viel 
# tussen      : Gemiddeld aantal dagen waarin de waarde tussen 2 grenswaades viel 
# gelijk      : Gemiddeld aantal dagen waarin de waarde exact de grenswaarde was  
# niet_gelijk : Gemiddeld aantal dagen waarin de waarde niet de grenswaarde was  
#
#               Normalen_251_H,tijdvak,   1991,   2020
#                  metric,    jan,    feb,    mar,    apr,    may,    jun,    jul,    aug,    sep,    okt,    nov,    dec, winter,  lente,  zomer, herfst,   jaar
             TG_gemiddeld,    3.5,    3.5,    5.5,    8.5,   11.9,   14.8,   17.2,   17.5,   15.0,   11.2,    7.4,    4.6,    3.9,    8.6,   16.5,   11.2,   10.0
                   TG_min,   -2.3,   -1.6,    1.7,    4.3,    7.6,   11.3,   14.1,   14.1,   11.9,    6.8,    2.4,   -1.1,   -4.1,    1.6,   11.3,    2.4,   -4.0
                   TG_max,    7.6,    7.3,    9.0,   13.4,   17.0,   20.3,   21.9,   22.1,   18.5,   15.0,   11.7,    9.0,    9.4,   17.1,   23.4,   18.5,   23.4
             TG_beneden_0,    5.2,    4.0,    1.2,    0.0,      .,      .,      .,      .,      .,      .,    0.5,    3.5,   12.7,    1.3,      .,    0.5,   14.4
           TG_minstens_20,      .,      .,      .,      .,    0.2,    0.9,    4.1,    3.9,    0.3,      .,      .,      .,      .,    0.2,    8.9,    0.3,    9.4
         TG_tussen_0_en_5,   12.5,   13.4,    9.6,    1.9,      .,      .,      .,      .,      .,    0.5,    5.0,   11.0,   36.9,   11.5,      .,    5.5,   53.9
       TG_tussen_10_en_15,    0.0,      .,    0.5,    7.9,   18.1,   16.2,    5.6,    3.8,   15.3,   20.2,    5.2,    0.6,    0.7,   26.4,   25.6,   40.7,   93.4
       TG_tussen_15_en_20,      .,      .,      .,    0.4,    4.2,   12.6,   21.3,   23.3,   14.3,    1.6,      .,      .,      .,    4.6,   57.2,   15.9,   77.7
        TG_tussen_5_en_10,   13.3,   10.8,   19.7,   19.8,    8.5,    0.3,      .,      .,    0.0,    8.7,   19.4,   15.9,   40.0,   48.0,    0.3,   28.1,  116.5
             TN_gemiddeld,    1.4,    1.2,    2.7,    5.0,    8.1,   10.9,   13.2,   13.6,   11.5,    8.2,    4.9,    2.3,    1.6,    5.3,   12.6,    8.2,    6.9
                   TN_min,   -5.0,   -4.5,   -2.6,   -1.0,    2.4,    5.4,    8.1,    8.5,    6.2,    2.5,   -0.7,   -4.3,   -7.1,   -3.0,    5.3,   -0.8,   -7.2
                   TN_max,    6.2,    5.9,    7.0,   10.0,   13.2,   16.1,   17.8,   18.3,   16.0,   13.4,   10.1,    7.5,    8.1,   13.2,   19.0,   16.1,   19.1
             TN_beneden_0,   10.0,    9.9,    5.7,    2.0,    0.2,      .,      .,      .,      .,    0.4,    1.9,    8.1,   28.0,    7.8,      .,    2.3,   38.1
           TN_beneden_-10,    0.0,    0.2,      .,      .,      .,      .,      .,      .,      .,      .,      .,    0.1,    0.3,      .,      .,      .,    0.3
            TN_beneden_-5,    1.9,    1.6,    0.3,    0.0,      .,      .,      .,      .,      .,      .,    0.1,    1.2,    4.7,    0.3,      .,    0.1,    5.2
           TN_minstens_20,      .,      .,      .,      .,      .,    0.0,    0.1,    0.3,      .,      .,      .,      .,      .,      .,    0.4,      .,    0.4
             TX_gemiddeld,    5.4,    5.5,    8.2,   11.9,   15.3,   18.2,   20.6,   20.9,   18.0,   13.6,    9.3,    6.5,    5.8,   11.8,   19.9,   13.6,   12.8
                   TX_min,   -0.7,    0.3,    3.6,    7.2,   10.3,   13.8,   16.6,   17.0,   14.5,    9.1,    4.1,    0.8,   -2.3,    3.6,   13.7,    4.1,   -2.2
                   TX_max,    9.4,    9.5,   13.3,   18.9,   22.5,   25.7,   27.7,   27.5,   22.7,   17.7,   13.6,   10.6,   11.1,   23.0,   29.6,   22.7,   29.6
             TX_beneden_0,    2.5,    1.6,    0.2,      .,      .,      .,      .,      .,      .,      .,    0.3,    1.6,    5.7,    0.2,      .,    0.3,    6.1
           TX_minstens_15,      .,      .,    0.4,    5.3,   14.4,   25.8,   30.8,   30.9,   27.4,   10.2,    0.2,      .,      .,   20.1,   87.5,   37.8,  145.4
           TX_minstens_20,      .,      .,      .,    0.9,    3.9,    7.4,   15.7,   18.1,    5.8,    0.2,      .,      .,      .,    4.8,   41.3,    6.0,   52.1
           TX_minstens_25,      .,      .,      .,    0.1,    0.5,    1.2,    3.6,    3.0,    0.4,      .,      .,      .,      .,    0.5,    7.8,    0.4,    8.8
           TX_minstens_30,      .,      .,      .,      .,      .,    0.1,    0.4,    0.2,      .,      .,      .,      .,      .,      .,    0.7,      .,    0.7
           T10N_beneden_0,   11.7,   11.2,    8.6,    4.8,    1.2,      .,      .,      .,      .,    0.8,    3.0,   10.0,   32.9,   14.6,      .,    3.8,   51.3
       W1_code_minstens_1,    6.1,    6.2,    6.6,    5.0,    3.8,    4.2,    3.7,    3.3,      -,    5.0,    6.2,    6.7,   18.9,   15.4,   11.3,      -,      -
       W3_code_minstens_1,    5.4,    6.0,    2.9,    0.6,    0.1,      .,      .,      .,      -,    0.1,    1.0,    3.4,   14.7,    3.6,      .,      -,      -
             UG_gemiddeld,   89.1,   88.0,   86.2,   82.5,   81.4,   81.6,   81.6,   81.5,   83.3,   85.6,   88.4,   88.8,   88.6,   83.4,   81.6,   85.8,   84.8
            U12_gemiddeld,   87.5,   85.5,   81.2,   75.4,   74.5,   75.1,   74.0,      -,   76.7,   81.2,   86.1,   86.9,   86.6,   77.0,      -,   81.3,      -
            EEG_gemiddeld,    7.2,    7.1,    7.9,    9.3,   11.4,   13.8,   16.1,   16.4,   14.4,   11.7,    9.3,    7.7,    7.3,    9.5,   15.4,   11.8,   11.0
           EV24_gemiddeld,    0.3,    0.6,    1.2,    2.2,    3.0,    3.3,    3.4,    2.8,    1.8,    0.9,    0.4,    0.2,    0.4,    2.1,    3.2,    1.0,    1.7
                 EV24_som,    8.4,   15.8,   38.0,   65.8,   94.2,   99.4,  104.4,   87.1,   54.3,   28.4,   11.2,    6.5,   30.7,  198.0,  290.9,   93.9,  613.5
             PG_gemiddeld, 1014.8, 1014.9, 1015.1, 1014.4, 1015.9, 1015.8, 1014.8, 1014.5, 1015.5, 1013.9, 1012.4, 1013.8, 1014.5, 1015.1, 1015.0, 1013.9, 1014.6
                DR24_duur,   70.7,   61.4,   51.1,   33.1,   37.7,   34.3,   36.2,   39.4,   49.8,   66.8,   72.0,   79.3,  211.4,  121.9,  109.9,  188.6,  631.8
            DR24_duur_pct,    9.5,    9.1,    6.9,    4.6,    5.1,    4.8,    4.9,    5.3,    6.9,    9.0,   10.0,   10.7,    9.8,    5.5,    5.0,    8.6,    7.2
             DR24_boven_0,   20.2,   16.8,   15.1,   11.9,   13.3,   12.9,   14.0,   15.7,   15.6,   19.0,   20.3,   20.1,   57.2,   40.3,   42.5,   55.0,  195.0
                 RH24_som,   65.6,   54.1,   46.6,   33.3,   44.5,   58.6,   67.8,   85.7,   86.4,   95.8,   80.3,   83.9,  203.6,  124.4,  212.1,  262.5,  802.6
                  RHX_max,    3.4,    3.4,    3.3,    3.6,    5.1,    8.3,    9.1,    9.8,    7.5,    6.4,    4.9,    4.2,    5.0,    5.9,   13.3,    9.5,   14.6
            RH24_gelijk_0,    7.6,    8.5,   12.4,   14.0,   14.1,   12.6,   12.7,   12.1,   11.1,    9.2,    7.0,    7.9,   24.0,   40.5,   37.4,   27.3,  129.2
        RH24_minstens_0.1,   20.2,   16.8,   15.1,   11.9,   13.3,   12.9,   14.0,   15.7,   15.6,   19.0,   20.3,   20.1,   57.2,   40.3,   42.5,   54.9,  194.9
        RH24_minstens_0.3,   17.9,   14.7,   13.0,   10.0,   11.7,   11.5,   12.4,   13.8,   14.0,   17.4,   18.7,   18.4,   50.9,   34.7,   37.6,   50.1,  173.4
