# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI) 
#
# DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
# KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
#
# THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
# ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 283:         6.657       52.069      29.10  HUPSEL
#
# Eenheden en grootheden in de metrics tabel voor WMO normalen.
#
# De metrics hebben 2 kenmerken:
#
# Meteorologische parameters
# Wijze van  berekening.
# Daarbij komen soms 1 of 2 grenswaardes.
#
# Meteorologische parameters:
# TG          : Etmaal gemiddelde temperatuur op 2 m. in graden Celsius 
# TN          : Minimum  temperatuur op 2 m. in graden Celsius 
# TX          : Maximum  temperatuur op 2 m. in graden Celsius 
# T10N        : Minimum  temperatuur op 10 cm in graden Celsius 
# W1_code     : Weercode voor mist 
# W2_code     : Weercode sneeuw 
# UG          : Gemiddelde relatieve vochtigheid in percentage
# U12         : Relatieve vochtigheid  om 12 UTC gemiddelde in percentage
# EEG         : Dampdruk in hPa 
# EV24        : Referentie gewasverdamping in mm per maand, seizoen of jaar 
# PG          : Luchtdruk in hPa 
# DR24        : Duur van de neerslag in uren per maand, seizoen of jaar 
# RHX         : Hoeveelheid neerslag in het natste uur im mm 
# RH24        : Hoeveelheid neerslag in mm per maand, seizoen of jaar 
# waterbalans : Neerslag minus verdamping in mm  per maand, seizoen of jaar
# SQ24        : Duur van zonneschijn in uren  per maand, seizoen of jaar
# pctzon      : Fractie van het maximale aantal urenzon ( daglicht)  in  percentage
# pctzon_duur : Het maximale aantal urenzon ( daglicht)  in uren 
# Q24         : Langgolvige straling in kJ/cm2  per maand, seizoen of jaar
# FG          : Gemiddelde windsnelheid in m/sec. 
# FHX         : Hoogste windsnelheid per dag in m/sec
# FXX         : Hoogste windstoot per dag in m/sec
#
# Wijze van berekening:
# gemiddeld   : Gemiddeld uit 30 jaar maandgemiddeldes 
# duur        : Gemiddeld uit 30 jaar maandsommen  
# duur_pct    : In percentage van de tijd.  
# som         : Gemiddeld uit 30 jaar maandsommen 
# min         : Verwachtingswaarde minimum 
# max         : Verwachtingswaarde maximum  
# minstens    : Gemiddeld aantal dagen waarin de grenswaarde gehaald werd 
# boven       : Gemiddeld aantal dagen waarin de grenswaarde overschreden werd 
# beneden     : Gemiddeld aantal dagen waarin de waarde beneden de  grenswaarde viel 
# tussen      : Gemiddeld aantal dagen waarin de waarde tussen 2 grenswaades viel 
# gelijk      : Gemiddeld aantal dagen waarin de waarde exact de grenswaarde was  
# niet_gelijk : Gemiddeld aantal dagen waarin de waarde niet de grenswaarde was  
#
#               Normalen_283_H,tijdvak,   1991,   2020
#                  metric,    jan,    feb,    mar,    apr,    may,    jun,    jul,    aug,    sep,    okt,    nov,    dec, winter,  lente,  zomer, herfst,   jaar
             TG_gemiddeld,    2.8,    3.2,    5.9,    9.4,   13.3,   16.2,   18.1,   17.6,   14.3,   10.4,    6.4,    3.6,    3.2,    9.5,   17.3,   10.4,   10.1
                   TG_min,   -5.0,   -2.9,    0.7,    3.6,    7.4,   11.3,   13.9,   13.0,   10.1,    4.9,    0.6,   -3.4,   -6.4,    0.4,   11.0,    0.4,   -6.5
                   TG_max,    9.3,    9.1,   11.6,   15.8,   19.7,   23.1,   23.9,   23.5,   19.2,   16.0,   12.6,   10.2,   11.2,   19.8,   25.6,   19.3,   25.6
             TG_beneden_0,    8.0,    5.8,    1.6,    0.1,      .,      .,      .,      .,      .,    0.1,    1.2,    6.3,   20.2,    1.7,      .,    1.3,   23.1
           TG_minstens_20,      .,      .,      .,      .,    1.5,    4.0,    8.4,    6.3,    1.0,    0.0,      .,      .,      .,    1.5,   18.7,    1.1,   21.2
         TG_tussen_0_en_5,   12.3,   12.0,   10.2,    2.9,    0.0,      .,      .,      .,      .,    1.8,    8.2,   12.1,   36.4,   13.1,      .,   10.0,   59.5
       TG_tussen_10_en_15,    1.1,    1.0,    3.5,   10.7,   14.8,   11.3,    5.0,    5.2,   17.5,   15.1,    4.6,    1.8,    3.8,   29.0,   21.5,   37.2,   91.5
       TG_tussen_15_en_20,      .,      .,    0.1,    2.1,    8.4,   14.4,   17.6,   19.5,   10.1,    2.7,    0.2,      .,      .,   10.7,   51.6,   13.0,   75.3
        TG_tussen_5_en_10,    9.6,    9.5,   15.6,   14.2,    6.3,    0.3,      .,      .,    1.3,   11.3,   15.8,   10.8,   29.9,   36.0,    0.3,   28.4,   94.5
             TN_gemiddeld,    0.0,    0.0,    1.6,    3.5,    7.3,   10.3,   12.4,   11.9,    9.3,    6.5,    3.3,    0.9,    0.3,    4.1,   11.5,    6.4,    5.6
                   TN_min,   -8.5,   -7.1,   -4.8,   -3.0,    0.5,    4.6,    6.7,    6.5,    3.7,   -0.3,   -3.5,   -7.0,  -10.5,   -5.3,    4.1,   -4.1,  -10.9
                   TN_max,    7.2,    6.7,    8.2,   10.2,   13.7,   16.2,   17.3,   17.1,   14.6,   13.1,   10.4,    8.0,    9.2,   13.8,   18.2,   14.9,   18.2
             TN_beneden_0,   13.4,   12.6,   10.5,    5.0,    0.8,    0.0,      .,      .,    0.0,    2.0,    5.6,   11.9,   37.9,   16.3,    0.0,    7.7,   61.9
           TN_beneden_-10,    0.9,    0.7,    0.0,      .,      .,      .,      .,      .,      .,      .,      .,    0.5,    2.1,    0.0,      .,      .,    2.1
            TN_beneden_-5,    4.7,    3.4,    1.0,    0.2,      .,      .,      .,      .,      .,    0.1,    0.7,    3.1,   11.2,    1.2,      .,    0.7,   13.1
           TN_minstens_20,      .,      .,      .,      .,      .,      .,    0.0,    0.0,      .,      .,      .,      .,      .,      .,    0.1,      .,    0.1
             TX_gemiddeld,    5.3,    6.4,   10.1,   14.8,   18.7,   21.4,   23.5,   23.1,   19.3,   14.4,    9.3,    5.9,    5.9,   14.5,   22.7,   14.3,   14.4
                   TX_min,   -2.2,   -0.2,    4.0,    8.0,   11.1,   14.8,   17.5,   16.9,   13.9,    8.4,    3.1,   -0.8,   -3.5,    4.0,   14.3,    3.1,   -3.5
                   TX_max,   11.9,   12.7,   17.6,   22.9,   27.1,   30.4,   32.0,   31.3,   26.1,   20.9,   15.8,   12.4,   14.2,   27.3,   33.9,   26.2,   33.9
             TX_beneden_0,    3.7,    2.0,    0.3,      .,      .,      .,      .,      .,      .,      .,    0.5,    2.6,    8.2,    0.3,      .,    0.5,    9.0
           TX_minstens_15,    0.0,    0.4,    3.8,   13.2,   23.5,   28.6,   30.9,   30.8,   27.6,   14.2,    1.6,    0.1,    0.5,   40.5,   90.3,   43.5,  174.9
           TX_minstens_20,      .,      .,    0.3,    4.6,   11.8,   17.9,   23.8,   24.4,   10.7,    2.2,      .,      .,      .,   16.8,   66.1,   12.9,   95.8
           TX_minstens_25,      .,      .,      .,    0.6,    3.1,    6.0,   10.9,    8.8,    2.5,    0.1,      .,      .,      .,    3.8,   25.7,    2.6,   32.1
           TX_minstens_30,      .,      .,      .,      .,    0.3,    0.9,    2.9,    2.4,    0.2,      .,      .,      .,      .,    0.3,    6.3,    0.2,    6.8
           TX_minstens_35,      .,      .,      .,      .,      .,    0.0,    0.3,    0.3,      .,      .,      .,      .,      .,      .,    0.6,      .,    0.6
           T10N_beneden_0,   15.6,   14.9,   15.7,   11.4,    4.1,    0.5,    0.0,      .,    0.5,    3.9,    8.8,   13.5,   44.0,   31.2,    0.5,   13.2,   88.9
             UG_gemiddeld,   88.5,   85.4,   80.8,   75.2,   74.2,   75.7,   77.4,   80.0,   84.7,   87.5,   90.7,   90.4,   88.1,   76.7,   77.7,   87.6,   82.5
            U12_gemiddeld,   84.8,   78.9,   70.6,   61.5,   60.4,   62.6,   63.5,   65.0,   70.5,   77.2,   85.1,   87.2,   83.6,   64.2,   63.7,   77.6,   72.3
            EEG_gemiddeld,    6.9,    6.8,    7.6,    8.9,   11.2,   13.7,   15.8,   15.9,   13.8,   11.3,    8.9,    7.4,    7.0,    9.2,   15.1,   11.3,   10.7
           EV24_gemiddeld,    0.3,    0.5,    1.1,    2.1,    2.8,    3.2,    3.2,    2.7,    1.7,    0.9,    0.4,    0.2,    0.3,    2.0,    3.0,    1.0,    1.6
                 EV24_som,    8.2,   15.2,   35.2,   62.3,   88.0,   96.5,  100.5,   83.7,   52.6,   28.0,      -,    6.4,   29.8,  185.5,  280.7,      -,      -
                DR24_duur,   78.4,   65.2,   59.0,   35.5,   40.5,   34.8,   41.0,   40.5,   47.0,   53.9,   65.6,   85.5,  229.1,  135.0,  116.3,  166.5,  646.9
            DR24_duur_pct,   10.5,    9.6,    7.9,    4.9,    5.4,    4.8,    5.5,    5.4,    6.5,    7.2,    9.1,   11.5,   10.6,    6.1,    5.3,    7.6,    7.4
             DR24_boven_0,   17.6,   15.9,   15.4,   12.1,   13.7,   14.1,   14.9,   14.2,   13.9,   15.4,   16.9,   18.9,   52.4,   41.1,   43.2,   46.2,  182.9
                 RH24_som,   67.1,   55.7,   55.3,   40.3,   55.4,   64.2,   80.5,   84.8,   67.1,   64.7,   63.6,   76.3,  199.1,  151.0,  229.5,  195.4,  775.0
                  RHX_max,    3.7,    3.5,    3.5,    4.4,    6.7,   11.0,   12.8,   12.1,    6.3,    5.7,    4.3,    3.9,    4.9,    7.3,   19.5,    7.9,   20.0
            RH24_gelijk_0,   11.0,   10.8,   13.6,   16.0,   15.6,   14.3,   14.4,   14.5,   14.2,   13.7,   11.2,   10.4,   32.2,   45.2,   43.2,   39.1,  159.7
        RH24_minstens_0.1,   17.8,   15.9,   15.7,   12.2,   13.4,   14.1,   14.7,   14.1,   13.9,   15.5,   17.1,   18.7,   52.3,   41.3,   42.9,   46.5,  183.0
        RH24_minstens_0.3,   16.2,   13.9,   13.3,   10.7,   12.2,   12.5,   13.6,   13.2,   12.4,   14.2,   15.6,   16.9,   47.1,   36.1,   39.3,   42.1,  164.5
          RH24_minstens_1,   13.1,   10.5,   10.3,    8.0,    9.5,    9.7,   10.9,   10.8,   10.1,   11.0,   11.7,   13.2,   36.8,   27.8,   31.5,   32.7,  128.8
         RH24_minstens_10,    1.6,    1.4,    1.4,    0.9,    1.5,    1.7,    2.6,    2.5,    1.8,    1.8,    1.5,    2.0,    5.0,    3.7,    6.8,    5.1,   20.6
         RH24_minstens_15,    0.5,    0.4,    0.3,    0.2,    0.5,    0.7,    1.3,    1.6,    1.0,    0.7,    0.6,    0.7,    1.6,    1.0,    3.7,    2.3,    8.6
         RH24_minstens_20,    0.2,    0.1,    0.1,    0.2,    0.3,    0.4,    0.6,    0.7,    0.5,    0.3,    0.3,    0.2,    0.5,    0.6,    1.8,    1.1,    4.0
         RH24_minstens_25,    0.0,    0.0,    0.0,    0.0,    0.1,    0.2,    0.3,    0.4,    0.1,    0.1,    0.1,    0.1,    0.2,    0.2,    1.0,    0.4,    1.8
       RH24_niet_gelijk_0,   20.0,   17.5,   17.4,   14.0,   15.4,   15.7,   16.6,   16.5,   15.8,   17.3,   18.8,   20.6,   58.0,   46.8,   48.8,   51.9,  205.6
          waterbalans_som,   58.9,   40.4,   20.3,  -22.1,  -32.5,  -33.3,  -19.8,    0.9,   14.4,   36.6,      -,   69.9,  169.2,  -34.3,  -52.2,      -,      -
            SQ24_gelijk_0,    9.7,    6.4,    4.0,    1.3,    1.3,    0.6,    0.8,    0.9,    1.8,    3.9,    7.9,   11.7,   27.8,    6.6,    2.3,   13.6,   50.2
       SQ24_niet_gelijk_0,   21.3,   21.9,   27.0,   28.7,   29.7,   29.4,   30.2,   30.1,   28.2,   27.1,   22.1,   19.3,   62.5,   85.4,   89.7,   77.4,  315.0
           SQ24_gemiddeld,    2.0,    3.2,    4.5,    6.3,    6.9,    6.9,    6.9,    6.3,    5.1,    3.9,    2.4,    1.8,    2.3,    5.9,    6.7,    3.8,    4.7
         pctzon_gemiddeld,   24.6,   31.8,   37.9,   45.4,   44.0,   41.3,   42.4,   42.6,   40.5,   36.1,   26.8,   22.5,   26.3,   42.4,   42.1,   34.5,   36.3
      pctzon_hoogstens_20,   18.5,   13.1,   12.0,    7.4,    8.4,    8.1,    7.5,    7.2,    9.5,   12.1,   16.0,   19.1,   50.7,   27.9,   22.8,   37.7,  139.0
   pctzon_tussen_20_en_50,    6.0,    7.2,    7.8,    9.6,    9.5,   10.4,   11.6,   11.5,    9.2,    8.0,    6.9,    5.9,   19.1,   26.9,   33.5,   24.1,  103.5
   pctzon_tussen_50_en_80,    3.5,    4.2,    6.6,    7.5,    8.0,    8.1,    8.6,    8.6,    7.1,    7.0,    4.7,    3.3,   11.0,   22.2,   25.3,   18.7,   77.1
       pctzon_minstens_80,    3.1,    3.8,    4.5,    5.4,    5.1,    3.5,    3.4,    3.6,    4.2,    3.9,    2.5,    2.6,    9.5,   15.1,   10.5,   10.6,   45.6
                 SQ24_som,   63.6,   89.6,  140.0,  189.3,  213.6,  206.5,  212.8,  194.0,  154.4,  119.4,   71.4,   54.6,  207.8,  542.9,  613.3,  345.2, 1709.2
                  Q24_som,    7.3,   13.1,   27.0,   42.9,   54.8,   56.6,   56.6,   47.7,   32.3,   19.0,    8.7,    5.5,   25.9,  124.7,  160.9,   60.0,  371.5
             FG_gemiddeld,    4.3,    4.1,    3.9,    3.4,    3.3,    3.0,    2.8,    2.7,    2.7,    3.2,    3.5,    4.0,    4.1,    3.5,    2.8,    3.1,    3.4
                   FG_max,    8.2,    7.9,    7.9,    6.3,    5.9,    5.3,    5.1,    4.8,    5.4,    6.5,    7.0,    7.9,    9.2,    8.0,    5.8,    7.6,    9.5
            FHX_gemiddeld,    6.2,    6.1,    6.2,    5.6,    5.4,    5.1,    4.8,    4.6,    4.6,    5.1,    5.3,    5.9,    6.1,    5.7,    4.8,    5.0,    5.4
                  FHX_max,   11.9,   11.4,   11.5,    9.7,    9.4,    8.6,    8.0,    8.0,    8.3,    9.8,   10.3,   11.2,   13.6,   11.9,    9.3,   11.4,   14.3
        FHX_minstens_Bft4,   16.7,   15.6,   17.0,   15.1,   13.5,   10.9,   10.4,    8.2,    8.1,   11.7,   12.4,   16.6,   48.9,   45.6,   29.5,   32.2,  156.3
