# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI) 
#
# DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
# KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
#
# THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
# ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 270:         5.752       53.224       1.20  LEEUWARDEN
#
# Eenheden en grootheden in de metrics tabel voor WMO normalen.
#
# De metrics hebben 2 kenmerken:
#
# Meteorologische parameters
# Wijze van  berekening.
# Daarbij komen soms 1 of 2 grenswaardes.
#
# Meteorologische parameters:
# TG          : Etmaal gemiddelde temperatuur op 2 m. in graden Celsius 
# TN          : Minimum  temperatuur op 2 m. in graden Celsius 
# TX          : Maximum  temperatuur op 2 m. in graden Celsius 
# T10N        : Minimum  temperatuur op 10 cm in graden Celsius 
# W1_code     : Weercode voor mist 
# W2_code     : Weercode sneeuw 
# UG          : Gemiddelde relatieve vochtigheid in percentage
# U12         : Relatieve vochtigheid  om 12 UTC gemiddelde in percentage
# EEG         : Dampdruk in hPa 
# EV24        : Referentie gewasverdamping in mm per maand, seizoen of jaar 
# PG          : Luchtdruk in hPa 
# DR24        : Duur van de neerslag in uren per maand, seizoen of jaar 
# RHX         : Hoeveelheid neerslag in het natste uur im mm 
# RH24        : Hoeveelheid neerslag in mm per maand, seizoen of jaar 
# waterbalans : Neerslag minus verdamping in mm  per maand, seizoen of jaar
# SQ24        : Duur van zonneschijn in uren  per maand, seizoen of jaar
# pctzon      : Fractie van het maximale aantal urenzon ( daglicht)  in  percentage
# pctzon_duur : Het maximale aantal urenzon ( daglicht)  in uren 
# Q24         : Langgolvige straling in kJ/cm2  per maand, seizoen of jaar
# FG          : Gemiddelde windsnelheid in m/sec. 
# FHX         : Hoogste windsnelheid per dag in m/sec
# FXX         : Hoogste windstoot per dag in m/sec
#
# Wijze van berekening:
# gemiddeld   : Gemiddeld uit 30 jaar maandgemiddeldes 
# duur        : Gemiddeld uit 30 jaar maandsommen  
# duur_pct    : In percentage van de tijd.  
# som         : Gemiddeld uit 30 jaar maandsommen 
# min         : Verwachtingswaarde minimum 
# max         : Verwachtingswaarde maximum  
# minstens    : Gemiddeld aantal dagen waarin de grenswaarde gehaald werd 
# boven       : Gemiddeld aantal dagen waarin de grenswaarde overschreden werd 
# beneden     : Gemiddeld aantal dagen waarin de waarde beneden de  grenswaarde viel 
# tussen      : Gemiddeld aantal dagen waarin de waarde tussen 2 grenswaades viel 
# gelijk      : Gemiddeld aantal dagen waarin de waarde exact de grenswaarde was  
# niet_gelijk : Gemiddeld aantal dagen waarin de waarde niet de grenswaarde was  
#
#               Normalen_270_H,tijdvak,   1991,   2020
#                  metric,    jan,    feb,    mar,    apr,    may,    jun,    jul,    aug,    sep,    okt,    nov,    dec, winter,  lente,  zomer, herfst,   jaar
             TG_gemiddeld,    3.1,    3.2,    5.5,    8.8,   12.2,   15.0,   17.3,   17.4,   14.5,   10.7,    6.7,    3.9,    3.4,    8.8,   16.6,   10.6,    9.9
                   TG_min,   -3.9,   -2.8,    1.0,    3.8,    7.4,   11.1,   13.8,   13.5,   11.0,    5.6,    1.0,   -2.6,   -5.7,    0.8,   11.1,    0.9,   -5.8
                   TG_max,    8.3,    8.1,   10.4,   15.0,   18.4,   21.5,   22.8,   22.7,   18.8,   15.4,   12.0,    9.4,   10.1,   18.7,   24.4,   18.9,   24.4
             TG_beneden_0,    6.8,    5.0,    1.5,    0.1,      .,      .,      .,      .,      .,    0.0,    0.9,    5.0,   16.8,    1.6,      .,    1.0,   19.4
           TG_minstens_20,      .,      .,      .,    0.0,    0.6,    1.6,    5.0,    4.6,    0.6,    0.0,      .,      .,      .,    0.6,   11.2,    0.6,   12.5
         TG_tussen_0_en_5,   12.6,   12.6,   10.2,    3.1,      .,      .,      .,      .,      .,    1.6,    6.7,   12.0,   37.2,   13.4,      .,    8.3,   58.8
       TG_tussen_10_en_15,    0.2,    0.2,    1.5,    8.8,   16.4,   15.2,    6.1,    5.2,   17.3,   17.3,    4.3,    1.0,    1.5,   26.6,   26.4,   38.9,   93.5
       TG_tussen_15_en_20,      .,      .,      .,    1.1,    5.7,   12.8,   19.9,   21.2,   11.6,    2.0,    0.1,      .,      .,    6.8,   53.9,   13.7,   74.4
        TG_tussen_5_en_10,   11.4,   10.4,   17.8,   16.9,    8.3,    0.4,      .,      .,    0.5,   10.1,   18.0,   12.9,   34.7,   42.9,    0.4,   28.6,  106.7
             TN_gemiddeld,    0.5,    0.3,    1.9,    4.2,    7.6,   10.5,   12.9,   12.9,   10.5,    7.2,    3.9,    1.2,    0.7,    4.6,   12.1,    7.2,    6.1
                   TN_min,   -7.6,   -7.0,   -4.1,   -1.9,    1.5,    5.1,    8.2,    8.0,    5.1,    0.7,   -2.6,   -6.0,  -10.2,   -4.4,    5.0,   -3.1,  -10.5
                   TN_max,    6.4,    6.3,    7.6,   10.2,   13.3,   16.0,   17.4,   17.7,   15.3,   12.9,   10.1,    7.5,    8.4,   13.4,   18.7,   15.3,   18.7
             TN_beneden_0,   11.9,   11.8,    8.0,    3.5,    0.1,      .,      .,      .,      .,    1.1,    4.0,   10.9,   34.6,   11.6,      .,    5.1,   51.4
           TN_beneden_-10,    0.7,    0.8,    0.1,      .,      .,      .,      .,      .,      .,      .,      .,    0.3,    1.8,    0.1,      .,      .,    1.9
            TN_beneden_-5,    3.8,    3.0,    0.8,    0.1,      .,      .,      .,      .,      .,    0.1,    0.5,    2.7,    9.5,    0.9,      .,    0.6,   11.1
           TN_minstens_20,      .,      .,      .,      .,      .,      .,    0.1,    0.0,      .,      .,      .,      .,      .,      .,    0.1,      .,    0.1
             TX_gemiddeld,    5.3,    5.9,    9.1,   13.2,   16.5,   19.1,   21.4,   21.6,   18.5,   14.0,    9.2,    6.1,    5.8,   12.9,   20.7,   13.9,   13.3
