# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI) 
#
# DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
# KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
#
# THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
# ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 273:         5.888       52.703      -3.30  MARKNESSE
#
# Eenheden en grootheden in de metrics tabel voor WMO normalen.
#
# De metrics hebben 2 kenmerken:
#
# Meteorologische parameters
# Wijze van  berekening.
# Daarbij komen soms 1 of 2 grenswaardes.
#
# Meteorologische parameters:
# TG          : Etmaal gemiddelde temperatuur op 2 m. in graden Celsius 
# TN          : Minimum  temperatuur op 2 m. in graden Celsius 
# TX          : Maximum  temperatuur op 2 m. in graden Celsius 
# T10N        : Minimum  temperatuur op 10 cm in graden Celsius 
# W1_code     : Weercode voor mist 
# W2_code     : Weercode sneeuw 
# UG          : Gemiddelde relatieve vochtigheid in percentage
# U12         : Relatieve vochtigheid  om 12 UTC gemiddelde in percentage
# EEG         : Dampdruk in hPa 
# EV24        : Referentie gewasverdamping in mm per maand, seizoen of jaar 
# PG          : Luchtdruk in hPa 
# DR24        : Duur van de neerslag in uren per maand, seizoen of jaar 
# RHX         : Hoeveelheid neerslag in het natste uur im mm 
# RH24        : Hoeveelheid neerslag in mm per maand, seizoen of jaar 
# waterbalans : Neerslag minus verdamping in mm  per maand, seizoen of jaar
# SQ24        : Duur van zonneschijn in uren  per maand, seizoen of jaar
# pctzon      : Fractie van het maximale aantal urenzon ( daglicht)  in  percentage
# pctzon_duur : Het maximale aantal urenzon ( daglicht)  in uren 
# Q24         : Langgolvige straling in kJ/cm2  per maand, seizoen of jaar
# FG          : Gemiddelde windsnelheid in m/sec. 
# FHX         : Hoogste windsnelheid per dag in m/sec
# FXX         : Hoogste windstoot per dag in m/sec
#
# Wijze van berekening:
# gemiddeld   : Gemiddeld uit 30 jaar maandgemiddeldes 
# duur        : Gemiddeld uit 30 jaar maandsommen  
# duur_pct    : In percentage van de tijd.  
# som         : Gemiddeld uit 30 jaar maandsommen 
# min         : Verwachtingswaarde minimum 
# max         : Verwachtingswaarde maximum  
# minstens    : Gemiddeld aantal dagen waarin de grenswaarde gehaald werd 
# boven       : Gemiddeld aantal dagen waarin de grenswaarde overschreden werd 
# beneden     : Gemiddeld aantal dagen waarin de waarde beneden de  grenswaarde viel 
# tussen      : Gemiddeld aantal dagen waarin de waarde tussen 2 grenswaades viel 
# gelijk      : Gemiddeld aantal dagen waarin de waarde exact de grenswaarde was  
# niet_gelijk : Gemiddeld aantal dagen waarin de waarde niet de grenswaarde was  
#
#               Normalen_273_H,tijdvak,   1991,   2020
#                  metric,    jan,    feb,    mar,    apr,    may,    jun,    jul,    aug,    sep,    okt,    nov,    dec, winter,  lente,  zomer, herfst,   jaar
             TG_gemiddeld,    3.1,    3.4,    5.9,    9.5,   13.1,   15.6,   17.7,   17.5,   14.4,   10.5,    6.6,    3.8,    3.4,    9.5,   16.9,   10.5,   10.1
                   TG_min,   -4.2,   -2.6,    1.2,    4.2,    8.0,   11.4,   13.9,   13.7,   10.7,    5.3,    1.0,   -2.8,   -6.1,    1.0,   11.3,    0.9,   -6.2
                   TG_max,    8.8,    8.6,   10.9,   15.4,   19.3,   22.0,   22.9,   22.6,   18.7,   15.5,   12.3,    9.8,   10.7,   19.5,   24.5,   18.7,   24.5
             TG_beneden_0,    6.9,    4.9,    1.5,    0.0,      .,      .,      .,      .,      .,    0.0,    1.0,    5.6,   17.4,    1.5,      .,    1.0,   19.9
           TG_minstens_20,      .,      .,      .,      .,    1.0,    2.5,    5.9,    5.1,    0.5,      .,      .,      .,      .,    1.0,   13.6,    0.5,   15.1
         TG_tussen_0_en_5,   12.4,   12.7,    9.1,    2.1,      .,      .,      .,      .,      .,    1.7,    7.5,   12.0,   37.1,   11.2,      .,    9.2,   57.4
       TG_tussen_10_en_15,    0.6,    0.5,    2.6,   10.8,   16.0,   12.3,    4.9,    4.4,   17.6,   15.9,    4.4,    1.4,    2.5,   29.4,   21.6,   37.9,   91.4
       TG_tussen_15_en_20,      .,      .,    0.0,    1.8,    7.6,   14.9,   20.1,   21.5,   11.2,    2.2,    0.1,      .,      .,    9.4,   56.5,   13.5,   79.5
        TG_tussen_5_en_10,   11.1,   10.3,   17.8,   15.3,    6.4,    0.3,      .,      .,    0.6,   11.2,   17.0,   12.0,   33.3,   39.5,    0.3,   28.8,  101.9
             TN_gemiddeld,    0.8,    0.7,    2.4,    4.6,    8.2,   10.7,   12.7,   12.6,   10.1,    6.8,    3.9,    1.5,    1.0,    5.1,   12.0,    6.9,    6.2
                   TN_min,   -6.8,   -5.9,   -2.9,   -1.3,    2.3,    5.8,    7.9,    7.8,    4.8,    0.9,   -1.8,   -5.5,   -9.2,   -3.5,    5.5,   -2.4,   -9.7
                   TN_max,    7.0,    6.6,    8.0,   10.2,   13.8,   15.9,   17.3,   17.0,   14.9,   12.8,   10.3,    7.8,    8.9,   13.8,   18.3,   15.0,   18.3
             TN_beneden_0,   11.3,   10.7,    6.9,    2.9,    0.2,      .,      .,      .,      .,    1.3,    3.8,   10.5,   32.6,    9.9,      .,    5.1,   47.6
           TN_beneden_-10,    0.6,    0.6,    0.1,      .,      .,      .,      .,      .,      .,      .,      .,    0.3,    1.6,    0.1,      .,      .,    1.7
            TN_beneden_-5,    3.3,    2.6,    0.5,    0.0,      .,      .,      .,      .,      .,    0.0,    0.3,    2.3,    8.2,    0.5,      .,    0.3,    9.0
           TN_minstens_20,      .,      .,      .,      .,      .,      .,    0.1,      .,      .,      .,      .,      .,      .,      .,    0.1,      .,    0.1
             TX_gemiddeld,    5.3,    6.1,    9.6,   14.3,   17.9,   20.2,   22.4,   22.4,   18.9,   14.2,    9.2,    6.0,    5.8,   13.9,   21.7,   14.1,   13.9
                   TX_min,   -1.9,   -0.0,    3.9,    7.8,   11.2,   14.3,   16.9,   17.1,   14.0,    8.7,    3.4,   -0.6,   -3.3,    3.9,   14.1,    3.4,   -3.3
                   TX_max,   11.3,   11.6,   16.7,   22.7,   26.4,   29.0,   30.3,   30.1,   25.2,   19.9,   15.1,   11.9,   13.4,   26.8,   32.4,   25.3,   32.5
             TX_beneden_0,    3.5,    2.0,    0.2,      .,      .,      .,      .,      .,      .,      .,    0.4,    2.7,    8.3,    0.2,      .,    0.4,    8.9
           TX_minstens_15,      .,    0.1,    2.7,   11.3,   21.4,   27.9,   30.8,   30.9,   27.7,   12.6,    1.0,      .,    0.1,   35.4,   89.7,   41.3,  166.5
           TX_minstens_20,      .,      .,    0.2,    3.8,    9.8,   14.2,   21.0,   23.0,    9.7,    1.2,      .,      .,      .,   13.8,   58.2,   10.8,   82.9
           TX_minstens_25,      .,      .,      .,    0.7,    3.0,    3.8,    7.9,    6.5,    1.4,    0.1,      .,      .,      .,    3.7,   18.1,    1.5,   23.3
           TX_minstens_30,      .,      .,      .,      .,    0.1,    0.6,    1.6,    1.3,    0.1,      .,      .,      .,      .,    0.1,    3.5,    0.1,    3.7
           TX_minstens_35,      .,      .,      .,      .,      .,      .,    0.1,      .,      .,      .,      .,      .,      .,      .,    0.1,      .,    0.1
           T10N_beneden_0,   13.4,   13.6,   10.8,    6.0,    1.1,    0.0,      .,      .,      .,    2.6,    6.6,   13.0,   40.1,   18.0,    0.0,    9.2,   67.3
             UG_gemiddeld,   90.0,   87.5,   83.4,   77.0,   75.6,   79.1,   80.2,   81.0,   85.0,   88.4,   91.4,   91.3,   89.6,   78.7,   80.1,   88.3,   84.2
            U12_gemiddeld,   87.4,   83.0,   75.2,   63.4,   62.4,   67.2,   67.5,   66.8,   72.2,   79.3,   86.7,   88.9,   86.4,   67.0,   67.2,   79.4,   75.0
            EEG_gemiddeld,    7.1,    7.0,    7.9,    9.1,   11.3,   14.0,   16.0,   16.1,   14.0,   11.4,    9.1,    7.6,    7.2,    9.4,   15.4,   11.5,   10.9
           EV24_gemiddeld,    0.3,    0.6,    1.1,    2.1,    2.9,    3.2,    3.3,    2.7,    1.8,    0.9,    0.4,    0.2,    0.4,    2.0,    3.1,    1.0,    1.6
                 EV24_som,    8.4,   15.7,   35.7,   63.6,   89.1,   96.5,  101.7,   84.9,   53.2,   28.0,   11.1,    6.5,   30.6,  188.4,  283.1,   92.3,  594.4
                DR24_duur,   70.9,   65.7,   53.3,   36.1,   43.1,   39.8,   45.5,   44.3,   46.3,   58.0,   66.1,   78.2,  214.8,  132.5,  129.6,  170.4,  647.3
            DR24_duur_pct,    9.5,    9.7,    7.2,    5.0,    5.8,    5.5,    6.1,    6.0,    6.4,    7.8,    9.2,   10.5,    9.9,    6.0,    5.9,    7.8,    7.4
             DR24_boven_0,   18.5,   16.0,   15.0,   12.2,   13.7,   13.9,   15.9,   15.2,   14.7,   16.6,   18.4,   19.5,   54.0,   41.0,   45.0,   49.7,  189.6
                 RH24_som,   66.8,   55.1,   49.9,   41.2,   58.2,   77.1,   87.0,   85.8,   71.7,   73.2,   66.9,   71.9,  193.8,  149.3,  249.9,  211.8,  804.8
                  RHX_max,    4.2,    3.3,    3.6,    4.4,    7.2,   11.4,   10.9,    9.5,    7.3,    5.0,    4.4,    3.8,    5.2,    8.4,   16.3,    8.1,   17.3
            RH24_gelijk_0,   10.1,   10.3,   12.7,   14.6,   15.1,   13.1,   13.1,   13.1,   13.3,   11.6,    8.8,    9.5,   29.9,   42.5,   39.3,   33.7,  145.3
        RH24_minstens_0.1,   18.1,   15.8,   15.1,   12.4,   13.6,   14.1,   15.7,   15.2,   14.6,   16.7,   18.6,   19.0,   52.9,   41.1,   45.0,   49.8,  188.8
        RH24_minstens_0.3,   16.1,   14.0,   13.3,   11.0,   12.0,   12.4,   13.6,   13.7,   13.0,   14.8,   16.7,   16.5,   46.7,   36.3,   39.7,   44.4,  167.1
          RH24_minstens_1,   12.2,   10.5,    9.8,    7.8,    9.5,   10.2,   11.7,   11.1,   10.3,   11.6,   12.3,   13.0,   35.7,   27.2,   33.0,   34.1,  130.0
         RH24_minstens_10,    1.7,    1.3,    1.1,    0.8,    1.5,    2.2,    2.7,    2.7,    2.5,    2.0,    1.4,    1.7,    4.7,    3.4,    7.6,    5.9,   21.7
         RH24_minstens_15,    0.7,    0.4,    0.4,    0.1,    0.7,    1.0,    1.3,    1.6,    1.0,    0.7,    0.4,    0.7,    1.8,    1.2,    3.9,    2.2,    9.1
         RH24_minstens_20,    0.3,    0.1,    0.1,    0.0,    0.4,    0.5,    0.8,    0.6,    0.6,    0.4,    0.2,    0.3,    0.7,    0.5,    1.9,    1.2,    4.3
         RH24_minstens_25,    0.1,      .,    0.0,    0.0,    0.1,    0.3,    0.5,    0.4,    0.2,    0.2,    0.1,    0.1,    0.2,    0.2,    1.2,    0.5,    2.1
       RH24_niet_gelijk_0,   20.9,   18.0,   18.3,   15.4,   15.9,   16.9,   17.9,   17.9,   16.7,   19.4,   21.2,   21.5,   60.4,   49.5,   52.7,   57.3,  219.9
          waterbalans_som,   57.7,   42.2,   16.1,  -22.7,  -30.2,  -21.6,  -14.3,    3.0,   19.2,   46.2,   53.3,   66.9,  166.8,  -36.8,  -32.9,  118.7,  215.8
            SQ24_gelijk_0,    8.8,    5.8,    3.7,    1.1,    1.3,    0.4,    0.9,    0.7,    1.4,    4.0,    7.6,   10.1,   24.7,    6.1,    2.1,   12.9,   45.9
       SQ24_niet_gelijk_0,   22.2,   22.4,   27.3,   28.9,   29.7,   29.6,   30.1,   30.3,   28.6,   27.0,   22.4,   20.9,   65.5,   85.9,   89.9,   78.1,  319.3
           SQ24_gemiddeld,    2.2,    3.4,    4.8,    6.7,    7.3,    7.1,    7.2,    6.6,    5.3,    3.9,    2.3,    1.9,    2.5,    6.3,    7.0,    3.8,    4.9
         pctzon_gemiddeld,   26.9,   34.7,   40.4,   47.9,   46.4,   42.6,   44.4,   45.0,   41.9,   36.8,   26.5,   25.3,   29.0,   44.9,   44.0,   35.1,   38.2
      pctzon_hoogstens_20,   17.1,   12.4,   11.1,    6.4,    7.9,    7.5,    6.6,    6.1,    8.8,   11.5,   15.9,   17.1,   46.7,   25.4,   20.2,   36.2,  128.6
   pctzon_tussen_20_en_50,    6.7,    6.4,    7.2,    9.5,    9.0,   10.9,   11.6,   11.9,    9.1,    8.7,    7.5,    7.1,   20.1,   25.7,   34.3,   25.3,  105.4
   pctzon_tussen_50_en_80,    4.1,    5.3,    7.5,    8.4,    8.0,    7.7,    8.9,    9.5,    8.1,    7.0,    4.7,    4.8,   14.2,   23.9,   26.1,   19.8,   84.0
       pctzon_minstens_80,    3.0,    4.1,    5.2,    5.7,    6.1,    3.9,    3.9,    3.5,    4.0,    3.8,    2.0,    2.0,    9.2,   17.0,   11.3,    9.7,   47.2
                 SQ24_som,   68.8,   97.0,  149.0,  200.2,  226.5,  214.2,  224.6,  205.4,  159.9,  121.8,   70.0,   60.6,  226.4,  575.7,  644.2,  351.7, 1798.0
                  Q24_som,    7.3,   13.4,   27.5,   43.8,   55.7,   57.2,   57.8,   48.5,   32.5,   18.9,    8.4,    5.5,   26.2,  127.0,  163.5,   59.8,  376.5
             UP_gemiddeld,    5.1,    4.9,    4.8,    4.4,    4.3,    3.9,    3.6,    3.6,    3.7,    4.3,    4.4,    4.8,    4.9,    4.5,    3.7,    4.1,    4.3
             FG_gemiddeld,    5.2,    4.9,    4.8,    4.3,    4.2,    3.7,    3.4,    3.4,    3.5,    4.1,    4.4,    4.8,    5.0,    4.4,    3.5,    4.0,    4.2
                   FG_max,    9.8,    9.3,    9.4,    7.8,    7.1,    6.6,    6.0,    6.1,    6.8,    8.1,    8.2,    9.3,   10.7,    9.6,    7.2,    9.0,   11.1
            FHX_gemiddeld,    7.4,    7.2,    7.3,    6.8,    6.6,    6.0,    5.7,    5.7,    5.7,    6.3,    6.6,    7.0,    7.2,    6.9,    5.8,    6.2,    6.5
                  FHX_max,   13.3,   12.7,   12.9,   11.4,   10.6,    9.5,    9.1,    9.5,   10.1,   11.4,   11.8,   12.6,   14.9,   13.4,   10.4,   13.0,   15.7
        FHX_minstens_Bft4,   22.2,   20.0,   22.8,   22.1,   22.6,   18.1,   15.7,   16.1,   15.3,   18.9,   19.2,   20.9,   63.2,   67.5,   49.9,   53.4,  234.0
        FHX_minstens_Bft5,   14.0,   11.8,   12.5,   10.2,    8.5,    4.9,    4.4,    4.4,    5.1,    7.5,    9.6,   12.5,   38.3,   31.3,   13.8,   22.3,  105.7
        FHX_minstens_Bft6,    4.8,    3.7,    3.6,    1.7,    0.8,    0.3,    0.1,    0.2,    0.5,    1.5,    1.7,    3.5,   12.0,    6.1,    0.7,    3.8,   22.6
        FHX_minstens_Bft7,    0.9,    0.6,    0.6,    0.1,    0.0,      .,    0.0,      .,    0.0,    0.2,    0.2,    0.6,    2.1,    0.7,    0.0,    0.5,    3.3
            FXX_gemiddeld,   11.7,   11.8,   11.5,   11.1,   11.0,   10.4,   10.0,    9.9,    9.8,   10.6,   10.8,   11.6,   11.7,   11.2,   10.1,   10.4,   10.8
                  FXX_max,   21.2,   21.0,   21.0,   18.4,   18.0,   17.6,   16.6,   17.0,   18.3,   19.9,   20.0,   21.2,   24.8,   22.0,   19.2,   22.8,   26.2
          FXX_minstens_21,    1.2,    1.4,    1.0,    0.2,    0.2,    0.2,    0.1,    0.1,    0.3,    0.6,    0.7,    1.0,    3.5,    1.5,    0.4,    1.6,    6.9
          FXX_minstens_28,    0.1,      .,      .,      .,      .,      .,      .,      .,      .,    0.1,      .,    0.1,    0.2,      .,      .,    0.1,    0.2

