# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI) 
#
# DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
# KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
#
# THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
# ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 286:         7.150       53.196      -0.20  NIEUW BEERTA
#
# Eenheden en grootheden in de metrics tabel voor WMO normalen.
#
# De metrics hebben 2 kenmerken:
#
# Meteorologische parameters
# Wijze van  berekening.
# Daarbij komen soms 1 of 2 grenswaardes.
#
# Meteorologische parameters:
# TG          : Etmaal gemiddelde temperatuur op 2 m. in graden Celsius 
# TN          : Minimum  temperatuur op 2 m. in graden Celsius 
# TX          : Maximum  temperatuur op 2 m. in graden Celsius 
# T10N        : Minimum  temperatuur op 10 cm in graden Celsius 
# W1_code     : Weercode voor mist 
# W2_code     : Weercode sneeuw 
# UG          : Gemiddelde relatieve vochtigheid in percentage
# U12         : Relatieve vochtigheid  om 12 UTC gemiddelde in percentage
# EEG         : Dampdruk in hPa 
# EV24        : Referentie gewasverdamping in mm per maand, seizoen of jaar 
# PG          : Luchtdruk in hPa 
# DR24        : Duur van de neerslag in uren per maand, seizoen of jaar 
# RHX         : Hoeveelheid neerslag in het natste uur im mm 
# RH24        : Hoeveelheid neerslag in mm per maand, seizoen of jaar 
# waterbalans : Neerslag minus verdamping in mm  per maand, seizoen of jaar
# SQ24        : Duur van zonneschijn in uren  per maand, seizoen of jaar
# pctzon      : Fractie van het maximale aantal urenzon ( daglicht)  in  percentage
# pctzon_duur : Het maximale aantal urenzon ( daglicht)  in uren 
# Q24         : Langgolvige straling in kJ/cm2  per maand, seizoen of jaar
# FG          : Gemiddelde windsnelheid in m/sec. 
# FHX         : Hoogste windsnelheid per dag in m/sec
# FXX         : Hoogste windstoot per dag in m/sec
#
# Wijze van berekening:
# gemiddeld   : Gemiddeld uit 30 jaar maandgemiddeldes 
# duur        : Gemiddeld uit 30 jaar maandsommen  
# duur_pct    : In percentage van de tijd.  
# som         : Gemiddeld uit 30 jaar maandsommen 
# min         : Verwachtingswaarde minimum 
# max         : Verwachtingswaarde maximum  
# minstens    : Gemiddeld aantal dagen waarin de grenswaarde gehaald werd 
# boven       : Gemiddeld aantal dagen waarin de grenswaarde overschreden werd 
# beneden     : Gemiddeld aantal dagen waarin de waarde beneden de  grenswaarde viel 
# tussen      : Gemiddeld aantal dagen waarin de waarde tussen 2 grenswaades viel 
# gelijk      : Gemiddeld aantal dagen waarin de waarde exact de grenswaarde was  
# niet_gelijk : Gemiddeld aantal dagen waarin de waarde niet de grenswaarde was  
#
#               Normalen_286_H,tijdvak,   1991,   2020
#                  metric,    jan,    feb,    mar,    apr,    may,    jun,    jul,    aug,    sep,    okt,    nov,    dec, winter,  lente,  zomer, herfst,   jaar
             TG_gemiddeld,    2.5,    2.8,    5.3,    8.8,   12.4,   15.2,   17.5,   17.5,   14.4,   10.2,    6.2,    3.3,    2.9,    8.8,   16.7,   10.3,    9.7
                   TG_min,   -5.1,   -3.2,    0.5,    3.5,    7.3,   11.0,   13.6,   13.4,   10.5,    5.0,    0.5,   -3.6,   -7.0,    0.3,   10.9,    0.4,   -7.2
                   TG_max,    8.6,    8.3,   10.6,   15.0,   18.5,   21.7,   22.9,   23.1,   18.9,   15.3,   12.1,    9.6,   10.5,   18.7,   24.7,   19.0,   24.7
             TG_beneden_0,    8.3,    5.9,    2.1,    0.0,      .,      .,      .,      .,      .,    0.0,    1.3,    6.4,   20.5,    2.1,      .,    1.3,   23.9
           TG_minstens_20,      .,      .,      .,    0.0,    0.6,    2.1,    6.2,    5.5,    0.9,    0.0,      .,      .,      .,    0.6,   13.9,    0.9,   15.4
         TG_tussen_0_en_5,   12.8,   13.0,   11.3,    3.4,    0.0,      .,      .,      .,      .,    2.1,    8.4,   12.4,   38.1,   14.7,      .,   10.5,   63.4
       TG_tussen_10_en_15,    0.5,    0.5,    1.7,    9.3,   16.5,   14.5,    6.7,    5.4,   18.2,   15.3,    3.5,    1.1,    2.1,   27.5,   26.6,   37.0,   93.3
       TG_tussen_15_en_20,      .,      .,      .,    1.3,    6.0,   12.8,   18.1,   20.0,   10.4,    2.1,    0.1,      .,      .,    7.2,   51.0,   12.6,   70.8
        TG_tussen_5_en_10,    9.4,    8.9,   15.9,   16.0,    7.9,    0.5,      .,      .,    0.6,   11.4,   16.7,   11.1,   29.5,   39.8,    0.5,   28.7,   98.5
             TN_gemiddeld,    0.0,   -0.1,    1.3,    3.5,    6.9,    9.7,   12.1,   12.2,   10.0,    6.7,    3.4,    0.9,    0.3,    3.9,   11.3,    6.7,    5.6
                   TN_min,   -8.2,   -7.1,   -4.6,   -2.6,    0.7,    4.6,    7.4,    7.3,    4.7,    0.4,   -2.4,   -6.9,  -11.0,   -5.1,    4.4,   -2.9,  -11.5
                   TN_max,    6.6,    6.2,    7.6,    9.7,   12.9,   15.1,   17.1,   16.9,   14.5,   12.5,    9.9,    7.4,    8.6,   13.0,   18.0,   14.6,   18.0
             TN_beneden_0,   12.7,   12.7,    9.6,    4.8,    0.4,      .,      .,      .,      .,    1.7,    4.7,   11.1,   36.5,   14.9,      .,    6.5,   57.8
           TN_beneden_-10,    0.9,    1.0,    0.1,      .,      .,      .,      .,      .,      .,      .,      .,    0.6,    2.5,    0.1,      .,      .,    2.5
            TN_beneden_-5,    4.8,    3.5,    1.3,    0.2,      .,      .,      .,      .,      .,    0.0,    0.5,    3.6,   11.9,    1.5,      .,    0.5,   13.9
           TN_minstens_20,      .,      .,      .,      .,      .,      .,    0.1,    0.0,      .,      .,      .,      .,      .,      .,    0.1,      .,    0.1
             TX_gemiddeld,    4.8,    5.8,    9.3,   14.1,   17.5,   20.2,   22.8,   23.0,   19.0,   14.0,    8.8,    5.6,    5.4,   13.6,   22.0,   13.9,   13.7
                   TX_min,   -2.5,   -0.2,    3.4,    7.6,   10.9,   14.4,   16.8,   17.0,   14.1,    8.6,    2.6,   -1.2,   -4.0,    3.4,   14.1,    2.6,   -4.1
                   TX_max,   11.1,   11.7,   17.0,   22.3,   25.6,   29.0,   30.8,   31.3,   25.6,   19.9,   14.7,   11.7,   13.2,   26.1,   33.2,   25.8,   33.2
             TX_beneden_0,    4.3,    2.3,    0.4,      .,      .,      .,      .,      .,      .,      .,    0.5,    3.2,    9.8,    0.4,      .,    0.5,   10.6
           TX_minstens_15,      .,    0.2,    2.4,   11.4,   21.1,   28.1,   30.8,   30.9,   27.3,   11.9,    0.8,      .,    0.2,   34.9,   89.8,   40.0,  164.9
           TX_minstens_20,      .,      .,    0.2,    3.8,    9.0,   14.8,   22.3,   23.8,    9.7,    1.4,      .,      .,      .,   12.9,   60.9,   11.1,   84.9
           TX_minstens_25,      .,      .,      .,    0.5,    2.2,    4.3,    8.9,    8.2,    2.3,    0.1,      .,      .,      .,    2.7,   21.4,    2.4,   26.5
           TX_minstens_30,      .,      .,      .,      .,    0.1,    0.6,    2.1,    2.1,    0.2,      .,      .,      .,      .,    0.1,    4.8,    0.2,    5.0
           TX_minstens_35,      .,      .,      .,      .,      .,      .,    0.1,    0.2,      .,      .,      .,      .,      .,      .,    0.3,      .,    0.3
           T10N_beneden_0,   14.2,   13.9,   12.3,    7.1,    1.3,    0.1,      .,      .,    0.0,    2.7,    6.1,   12.1,   40.3,   20.7,    0.1,    8.8,   69.9
