# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI) 
#
# DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
# KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
#
# THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
# ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 344:         4.447       51.962      -4.30  ROTTERDAM
#
# Eenheden en grootheden in de metrics tabel voor WMO normalen.
#
# De metrics hebben 2 kenmerken:
#
# Meteorologische parameters
# Wijze van  berekening.
# Daarbij komen soms 1 of 2 grenswaardes.
#
# Meteorologische parameters:
# TG          : Etmaal gemiddelde temperatuur op 2 m. in graden Celsius 
# TN          : Minimum  temperatuur op 2 m. in graden Celsius 
# TX          : Maximum  temperatuur op 2 m. in graden Celsius 
# T10N        : Minimum  temperatuur op 10 cm in graden Celsius 
# W1_code     : Weercode voor mist 
# W2_code     : Weercode sneeuw 
# UG          : Gemiddelde relatieve vochtigheid in percentage
# U12         : Relatieve vochtigheid  om 12 UTC gemiddelde in percentage
# EEG         : Dampdruk in hPa 
# EV24        : Referentie gewasverdamping in mm per maand, seizoen of jaar 
# PG          : Luchtdruk in hPa 
# DR24        : Duur van de neerslag in uren per maand, seizoen of jaar 
# RHX         : Hoeveelheid neerslag in het natste uur im mm 
# RH24        : Hoeveelheid neerslag in mm per maand, seizoen of jaar 
# waterbalans : Neerslag minus verdamping in mm  per maand, seizoen of jaar
# SQ24        : Duur van zonneschijn in uren  per maand, seizoen of jaar
# pctzon      : Fractie van het maximale aantal urenzon ( daglicht)  in  percentage
# pctzon_duur : Het maximale aantal urenzon ( daglicht)  in uren 
# Q24         : Langgolvige straling in kJ/cm2  per maand, seizoen of jaar
# FG          : Gemiddelde windsnelheid in m/sec. 
# FHX         : Hoogste windsnelheid per dag in m/sec
# FXX         : Hoogste windstoot per dag in m/sec
#
# Wijze van berekening:
# gemiddeld   : Gemiddeld uit 30 jaar maandgemiddeldes 
# duur        : Gemiddeld uit 30 jaar maandsommen  
# duur_pct    : In percentage van de tijd.  
# som         : Gemiddeld uit 30 jaar maandsommen 
# min         : Verwachtingswaarde minimum 
# max         : Verwachtingswaarde maximum  
# minstens    : Gemiddeld aantal dagen waarin de grenswaarde gehaald werd 
# boven       : Gemiddeld aantal dagen waarin de grenswaarde overschreden werd 
# beneden     : Gemiddeld aantal dagen waarin de waarde beneden de  grenswaarde viel 
# tussen      : Gemiddeld aantal dagen waarin de waarde tussen 2 grenswaades viel 
# gelijk      : Gemiddeld aantal dagen waarin de waarde exact de grenswaarde was  
# niet_gelijk : Gemiddeld aantal dagen waarin de waarde niet de grenswaarde was  
#
#               Normalen_344_H,tijdvak,   1991,   2020
#                  metric,    jan,    feb,    mar,    apr,    may,    jun,    jul,    aug,    sep,    okt,    nov,    dec, winter,  lente,  zomer, herfst,   jaar
             TG_gemiddeld,    4.0,    4.3,    6.7,    9.7,   13.2,   16.0,   18.2,   18.0,   15.1,   11.4,    7.5,    4.7,    4.3,    9.9,   17.4,   11.3,   10.7
                   TG_min,   -3.1,   -1.6,    1.8,    4.5,    8.1,   11.6,   14.3,   14.1,   11.2,    6.0,    1.8,   -1.9,   -4.8,    1.6,   11.5,    1.6,   -4.9
                   TG_max,    9.7,    9.5,   11.8,   15.9,   19.6,   22.3,   23.8,   23.4,   19.4,   16.5,   13.1,   10.7,   11.5,   19.7,   25.3,   19.5,   25.3
             TG_beneden_0,    5.5,    3.8,    0.9,      .,      .,      .,      .,      .,      .,      .,    0.8,    4.1,   13.3,    0.9,      .,    0.8,   15.0
           TG_minstens_20,      .,      .,      .,      .,    1.1,    2.8,    7.5,    6.2,    0.8,    0.0,      .,      .,      .,    1.1,   16.5,    0.8,   18.4
         TG_tussen_0_en_5,   10.5,   10.9,    7.3,    1.9,      .,      .,      .,      .,      .,    0.9,    5.5,   10.8,   32.2,    9.2,      .,    6.4,   47.8
       TG_tussen_10_en_15,    1.4,    1.2,    4.0,   11.3,   16.1,   10.8,    3.0,    3.1,   14.7,   17.2,    6.9,    2.5,    5.1,   31.4,   16.9,   38.8,   92.2
       TG_tussen_15_en_20,      .,      .,    0.1,    2.1,    8.0,   16.1,   20.5,   21.7,   14.3,    3.9,    0.2,      .,      .,   10.2,   58.3,   18.4,   86.9
        TG_tussen_5_en_10,   13.6,   12.3,   18.7,   14.7,    5.8,    0.3,      .,      .,    0.2,    9.0,   16.6,   13.6,   39.6,   39.2,    0.3,   25.8,  104.9
             TN_gemiddeld,    1.3,    1.1,    2.7,    4.8,    8.1,   11.0,   13.4,   13.2,   10.7,    7.6,    4.4,    1.9,    1.4,    5.2,   12.5,    7.6,    6.7
                   TN_min,   -6.6,   -5.8,   -3.6,   -1.7,    1.7,    5.5,    8.6,    8.3,    5.4,    1.0,   -2.4,   -5.5,   -8.9,   -4.0,    5.4,   -2.8,   -9.0
                   TN_max,    7.7,    7.4,    9.0,   11.1,   13.8,   16.4,   17.8,   17.8,   15.5,   13.8,   11.2,    8.9,    9.8,   14.0,   18.8,   15.7,   18.8
             TN_beneden_0,   11.2,   10.3,    7.4,    2.6,    0.1,      .,      .,      .,      .,    1.0,    4.1,   10.0,   31.6,   10.0,      .,    5.1,   46.7
           TN_beneden_-10,    0.2,    0.5,    0.1,      .,      .,      .,      .,      .,      .,      .,      .,    0.2,    0.9,    0.1,      .,      .,    1.0
            TN_beneden_-5,    2.9,    2.3,    0.5,    0.0,      .,      .,      .,      .,      .,    0.0,    0.4,    2.1,    7.3,    0.5,      .,    0.4,    8.2
           TN_minstens_20,      .,      .,      .,      .,      .,      .,    0.1,    0.2,      .,      .,      .,      .,      .,      .,    0.2,      .,    0.2
             TX_gemiddeld,    6.4,    7.1,   10.3,   14.3,   17.9,   20.6,   22.7,   22.6,   19.3,   14.9,   10.2,    7.0,    6.8,   14.2,   22.0,   14.8,   14.4
