# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI) 
#
# DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
# KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
#
# THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
# ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 267:         5.384       52.898      -1.30  STAVOREN
#
# Eenheden en grootheden in de metrics tabel voor WMO normalen.
#
# De metrics hebben 2 kenmerken:
#
# Meteorologische parameters
# Wijze van  berekening.
# Daarbij komen soms 1 of 2 grenswaardes.
#
# Meteorologische parameters:
# TG          : Etmaal gemiddelde temperatuur op 2 m. in graden Celsius 
# TN          : Minimum  temperatuur op 2 m. in graden Celsius 
# TX          : Maximum  temperatuur op 2 m. in graden Celsius 
# T10N        : Minimum  temperatuur op 10 cm in graden Celsius 
# W1_code     : Weercode voor mist 
# W2_code     : Weercode sneeuw 
# UG          : Gemiddelde relatieve vochtigheid in percentage
# U12         : Relatieve vochtigheid  om 12 UTC gemiddelde in percentage
# EEG         : Dampdruk in hPa 
# EV24        : Referentie gewasverdamping in mm per maand, seizoen of jaar 
# PG          : Luchtdruk in hPa 
# DR24        : Duur van de neerslag in uren per maand, seizoen of jaar 
# RHX         : Hoeveelheid neerslag in het natste uur im mm 
# RH24        : Hoeveelheid neerslag in mm per maand, seizoen of jaar 
# waterbalans : Neerslag minus verdamping in mm  per maand, seizoen of jaar
# SQ24        : Duur van zonneschijn in uren  per maand, seizoen of jaar
# pctzon      : Fractie van het maximale aantal urenzon ( daglicht)  in  percentage
# pctzon_duur : Het maximale aantal urenzon ( daglicht)  in uren 
# Q24         : Langgolvige straling in kJ/cm2  per maand, seizoen of jaar
# FG          : Gemiddelde windsnelheid in m/sec. 
# FHX         : Hoogste windsnelheid per dag in m/sec
# FXX         : Hoogste windstoot per dag in m/sec
#
# Wijze van berekening:
# gemiddeld   : Gemiddeld uit 30 jaar maandgemiddeldes 
# duur        : Gemiddeld uit 30 jaar maandsommen  
# duur_pct    : In percentage van de tijd.  
# som         : Gemiddeld uit 30 jaar maandsommen 
# min         : Verwachtingswaarde minimum 
# max         : Verwachtingswaarde maximum  
# minstens    : Gemiddeld aantal dagen waarin de grenswaarde gehaald werd 
# boven       : Gemiddeld aantal dagen waarin de grenswaarde overschreden werd 
# beneden     : Gemiddeld aantal dagen waarin de waarde beneden de  grenswaarde viel 
# tussen      : Gemiddeld aantal dagen waarin de waarde tussen 2 grenswaades viel 
# gelijk      : Gemiddeld aantal dagen waarin de waarde exact de grenswaarde was  
# niet_gelijk : Gemiddeld aantal dagen waarin de waarde niet de grenswaarde was  
#
#               Normalen_267_H,tijdvak,   1991,   2020
#                  metric,    jan,    feb,    mar,    apr,    may,    jun,    jul,    aug,    sep,    okt,    nov,    dec, winter,  lente,  zomer, herfst,   jaar
             TG_gemiddeld,    3.1,    3.2,    5.7,    9.2,   12.8,   15.6,   17.9,   18.0,   15.0,   11.1,    7.1,    3.9,    3.4,    9.2,   17.2,   11.1,   10.2
                   TG_min,   -3.5,   -2.3,    1.5,    4.7,    8.3,   12.0,   14.7,   14.6,   11.5,    6.2,    1.7,   -2.1,   -5.5,    1.1,   12.0,    1.7,   -5.6
                   TG_max,    7.5,    7.3,    9.9,   14.4,   18.5,   21.3,   22.6,   22.5,   18.7,   15.3,   11.5,    8.5,    9.3,   18.6,   24.1,   18.7,   24.2
             TG_beneden_0,    6.0,    4.7,    1.4,      .,      .,      .,      .,      .,      .,      .,    0.7,    4.8,   15.5,    1.4,      .,    0.7,   17.6
           TG_minstens_20,      .,      .,      .,      .,    0.7,    1.9,    5.9,    5.3,    0.3,      .,      .,      .,      .,    0.7,   13.1,    0.3,   14.1
         TG_tussen_0_en_5,   13.9,   13.8,    8.7,    1.5,      .,      .,      .,      .,      .,    1.1,    5.9,   12.4,   40.1,   10.2,      .,    7.0,   57.3
       TG_tussen_10_en_15,    0.1,    0.1,    1.1,    9.5,   18.3,   12.5,    2.6,    2.1,   14.3,   19.2,    4.4,    0.6,    0.9,   28.8,   17.2,   37.9,   84.7
       TG_tussen_15_en_20,      .,      .,      .,    1.3,    6.4,   15.4,   22.6,   23.6,   15.2,    2.0,    0.0,      .,      .,    7.7,   61.6,   17.3,   86.6
        TG_tussen_5_en_10,   11.0,    9.6,   19.8,   17.8,    5.6,    0.2,      .,      .,    0.2,    8.7,   19.0,   13.2,   33.8,   43.2,    0.2,   27.8,  104.9
             TN_gemiddeld,    1.0,    0.9,    2.8,    5.4,    9.0,   12.1,   14.4,   14.4,   11.7,    8.2,    4.8,    1.8,    1.2,    5.7,   13.6,    8.2,    7.2
                   TN_min,   -6.5,   -5.5,   -2.9,   -0.2,    3.3,    7.4,   10.0,    9.6,    6.1,    2.1,   -1.3,   -5.1,   -8.8,   -3.4,    7.1,   -1.8,   -9.2
                   TN_max,    5.9,    5.8,    7.5,   10.5,   14.0,   16.6,   18.3,   18.4,   16.0,   13.2,   10.1,    6.9,    7.7,   14.0,   19.3,   16.0,   19.3
             TN_beneden_0,   10.6,    9.4,    5.9,    1.7,      .,      .,      .,      .,      .,    0.6,    2.7,    9.1,   29.2,    7.6,      .,    3.3,   40.1
           TN_beneden_-10,    0.4,    0.6,    0.1,      .,      .,      .,      .,      .,      .,      .,      .,    0.1,    1.1,    0.1,      .,      .,    1.2
            TN_beneden_-5,    3.2,    2.1,    0.4,    0.0,      .,      .,      .,      .,      .,      .,    0.2,    2.2,    7.4,    0.5,      .,    0.2,    8.1
           TN_minstens_20,      .,      .,      .,      .,      .,      .,    0.2,    0.2,      .,      .,      .,      .,      .,      .,    0.4,      .,    0.4
             TX_gemiddeld,    4.9,    5.4,    8.6,   12.9,   16.6,   19.0,   21.4,   21.4,   18.2,   13.7,    9.0,    5.8,    5.4,   12.7,   20.6,   13.6,   13.1
