# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI) 
#
# DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
# KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
#
# THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
# ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 290:         6.891       52.274      34.80  TWENTHE
#
# Eenheden en grootheden in de metrics tabel voor WMO normalen.
#
# De metrics hebben 2 kenmerken:
#
# Meteorologische parameters
# Wijze van  berekening.
# Daarbij komen soms 1 of 2 grenswaardes.
#
# Meteorologische parameters:
# TG          : Etmaal gemiddelde temperatuur op 2 m. in graden Celsius 
# TN          : Minimum  temperatuur op 2 m. in graden Celsius 
# TX          : Maximum  temperatuur op 2 m. in graden Celsius 
# T10N        : Minimum  temperatuur op 10 cm in graden Celsius 
# W1_code     : Weercode voor mist 
# W2_code     : Weercode sneeuw 
# UG          : Gemiddelde relatieve vochtigheid in percentage
# U12         : Relatieve vochtigheid  om 12 UTC gemiddelde in percentage
# EEG         : Dampdruk in hPa 
# EV24        : Referentie gewasverdamping in mm per maand, seizoen of jaar 
# PG          : Luchtdruk in hPa 
# DR24        : Duur van de neerslag in uren per maand, seizoen of jaar 
# RHX         : Hoeveelheid neerslag in het natste uur im mm 
# RH24        : Hoeveelheid neerslag in mm per maand, seizoen of jaar 
# waterbalans : Neerslag minus verdamping in mm  per maand, seizoen of jaar
# SQ24        : Duur van zonneschijn in uren  per maand, seizoen of jaar
# pctzon      : Fractie van het maximale aantal urenzon ( daglicht)  in  percentage
# pctzon_duur : Het maximale aantal urenzon ( daglicht)  in uren 
# Q24         : Langgolvige straling in kJ/cm2  per maand, seizoen of jaar
# FG          : Gemiddelde windsnelheid in m/sec. 
# FHX         : Hoogste windsnelheid per dag in m/sec
# FXX         : Hoogste windstoot per dag in m/sec
#
# Wijze van berekening:
# gemiddeld   : Gemiddeld uit 30 jaar maandgemiddeldes 
# duur        : Gemiddeld uit 30 jaar maandsommen  
# duur_pct    : In percentage van de tijd.  
# som         : Gemiddeld uit 30 jaar maandsommen 
# min         : Verwachtingswaarde minimum 
# max         : Verwachtingswaarde maximum  
# minstens    : Gemiddeld aantal dagen waarin de grenswaarde gehaald werd 
# boven       : Gemiddeld aantal dagen waarin de grenswaarde overschreden werd 
# beneden     : Gemiddeld aantal dagen waarin de waarde beneden de  grenswaarde viel 
# tussen      : Gemiddeld aantal dagen waarin de waarde tussen 2 grenswaades viel 
# gelijk      : Gemiddeld aantal dagen waarin de waarde exact de grenswaarde was  
# niet_gelijk : Gemiddeld aantal dagen waarin de waarde niet de grenswaarde was  
#
#               Normalen_290_H,tijdvak,   1991,   2020
#                  metric,    jan,    feb,    mar,    apr,    may,    jun,    jul,    aug,    sep,    okt,    nov,    dec, winter,  lente,  zomer, herfst,   jaar
             TG_gemiddeld,    2.8,    3.2,    5.8,    9.6,   13.2,   16.0,   18.1,   17.6,   14.2,   10.3,    6.3,    3.5,    3.2,    9.5,   17.2,   10.3,   10.0
                   TG_min,   -5.2,   -3.2,    0.5,    3.4,    7.2,   11.0,   13.6,   13.0,    9.9,    4.7,    0.3,   -3.6,   -6.8,    0.2,   10.8,    0.0,   -6.8
                   TG_max,    9.4,    9.1,   11.8,   16.4,   19.7,   23.2,   24.1,   23.8,   19.4,   16.1,   12.7,   10.1,   11.3,   19.9,   25.9,   19.5,   25.9
             TG_beneden_0,    8.0,    6.1,    1.7,    0.1,      .,      .,      .,      .,      .,    0.1,    1.4,    6.4,   20.5,    1.8,      .,    1.5,   23.8
           TG_minstens_20,      .,      .,      .,    0.2,    1.4,    4.1,    8.2,    6.7,    1.0,    0.0,      .,      .,      .,    1.6,   19.0,    1.1,   21.6
         TG_tussen_0_en_5,   12.1,   11.7,   10.2,    3.1,    0.0,      .,      .,      .,      .,    2.1,    8.4,   11.9,   35.7,   13.3,      .,   10.6,   59.6
       TG_tussen_10_en_15,    1.0,    1.0,    3.5,   10.2,   14.5,   11.7,    5.5,    5.5,   17.4,   14.4,    4.5,    1.8,    3.9,   28.3,   22.7,   36.3,   91.1
       TG_tussen_15_en_20,      .,      .,    0.1,    2.5,    8.1,   13.8,   17.3,   18.8,   10.1,    2.7,    0.2,      .,      .,   10.7,   49.9,   13.0,   73.7
        TG_tussen_5_en_10,    9.9,    9.4,   15.4,   13.9,    6.9,    0.4,      .,      .,    1.5,   11.6,   15.5,   10.8,   30.1,   36.3,    0.4,   28.6,   95.4
             TN_gemiddeld,   -0.0,   -0.2,    1.3,    3.5,    7.0,    9.8,   12.1,   11.7,    9.1,    6.2,    3.1,    0.8,    0.2,    3.9,   11.2,    6.1,    5.4
                   TN_min,   -9.2,   -8.1,   -5.9,   -3.6,   -0.2,    3.4,    6.0,    5.9,    2.7,   -1.2,   -4.4,   -7.6,  -11.5,   -6.4,    3.0,   -5.2,  -11.9
                   TN_max,    7.2,    6.9,    8.2,   10.8,   13.6,   16.4,   17.5,   17.6,   14.6,   13.0,   10.4,    7.9,    9.2,   13.9,   18.8,   14.9,   18.9
             TN_beneden_0,   13.3,   13.1,   11.0,    6.2,    1.2,      .,      .,      .,    0.1,    2.7,    6.7,   12.4,   38.8,   18.4,      .,    9.5,   66.7
           TN_beneden_-10,    0.9,    1.0,    0.1,      .,      .,      .,      .,      .,      .,      .,    0.1,    0.7,    2.6,    0.1,      .,    0.1,    2.8
            TN_beneden_-5,    5.4,    3.8,    1.8,    0.4,      .,      .,      .,      .,      .,    0.2,    1.2,    3.5,   12.7,    2.2,      .,    1.3,   16.2
           TN_minstens_20,      .,      .,      .,      .,      .,    0.0,    0.1,    0.1,      .,      .,      .,      .,      .,      .,    0.2,      .,    0.2
             TX_gemiddeld,    5.3,    6.3,   10.1,   14.9,   18.6,   21.4,   23.6,   23.2,   19.3,   14.4,    9.2,    5.8,    5.8,   14.5,   22.7,   14.3,   14.3
                   TX_min,   -2.2,   -0.2,    3.7,    8.0,   11.0,   14.7,   17.4,   16.9,   13.8,    8.4,    3.3,   -0.9,   -3.7,    3.7,   14.2,    3.1,   -3.7
                   TX_max,   11.9,   12.9,   18.0,   23.3,   27.0,   30.5,   31.7,   31.4,   26.2,   21.1,   15.8,   12.3,   14.4,   27.2,   33.8,   26.3,   33.8
             TX_beneden_0,    3.8,    1.9,    0.3,      .,      .,      .,      .,      .,      .,      .,    0.4,    2.7,    8.4,    0.3,      .,    0.4,    9.1
           TX_minstens_15,      .,    0.6,    4.0,   13.4,   23.7,   28.7,   30.9,   30.9,   27.7,   13.6,    1.5,    0.1,    0.6,   41.2,   90.5,   42.9,  175.2
           TX_minstens_20,      .,      .,    0.4,    4.9,   11.6,   18.2,   24.5,   24.4,   10.9,    2.3,      .,      .,      .,   16.8,   67.1,   13.1,   97.0
           TX_minstens_25,      .,      .,      .,    0.7,    3.1,    6.3,   11.0,    8.7,    2.5,    0.1,      .,      .,      .,    3.8,   26.0,    2.6,   32.5
           TX_minstens_30,      .,      .,      .,      .,    0.2,    1.0,    2.9,    2.4,    0.2,      .,      .,      .,      .,    0.2,    6.2,    0.2,    6.6
           TX_minstens_35,      .,      .,      .,      .,      .,    0.0,    0.2,    0.2,      .,      .,      .,      .,      .,      .,    0.5,      .,    0.5
