# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI) 
#
# DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
# KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
#
# THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
# ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 310:         3.596       51.442       8.00  VLISSINGEN
#
# Eenheden en grootheden in de metrics tabel voor WMO normalen.
#
# De metrics hebben 2 kenmerken:
#
# Meteorologische parameters
# Wijze van  berekening.
# Daarbij komen soms 1 of 2 grenswaardes.
#
# Meteorologische parameters:
# TG          : Etmaal gemiddelde temperatuur op 2 m. in graden Celsius 
# TN          : Minimum  temperatuur op 2 m. in graden Celsius 
# TX          : Maximum  temperatuur op 2 m. in graden Celsius 
# T10N        : Minimum  temperatuur op 10 cm in graden Celsius 
# W1_code     : Weercode voor mist 
# W2_code     : Weercode sneeuw 
# UG          : Gemiddelde relatieve vochtigheid in percentage
# U12         : Relatieve vochtigheid  om 12 UTC gemiddelde in percentage
# EEG         : Dampdruk in hPa 
# EV24        : Referentie gewasverdamping in mm per maand, seizoen of jaar 
# PG          : Luchtdruk in hPa 
# DR24        : Duur van de neerslag in uren per maand, seizoen of jaar 
# RHX         : Hoeveelheid neerslag in het natste uur im mm 
# RH24        : Hoeveelheid neerslag in mm per maand, seizoen of jaar 
# waterbalans : Neerslag minus verdamping in mm  per maand, seizoen of jaar
# SQ24        : Duur van zonneschijn in uren  per maand, seizoen of jaar
# pctzon      : Fractie van het maximale aantal urenzon ( daglicht)  in  percentage
# pctzon_duur : Het maximale aantal urenzon ( daglicht)  in uren 
# Q24         : Langgolvige straling in kJ/cm2  per maand, seizoen of jaar
# FG          : Gemiddelde windsnelheid in m/sec. 
# FHX         : Hoogste windsnelheid per dag in m/sec
# FXX         : Hoogste windstoot per dag in m/sec
#
# Wijze van berekening:
# gemiddeld   : Gemiddeld uit 30 jaar maandgemiddeldes 
# duur        : Gemiddeld uit 30 jaar maandsommen  
# duur_pct    : In percentage van de tijd.  
# som         : Gemiddeld uit 30 jaar maandsommen 
# min         : Verwachtingswaarde minimum 
# max         : Verwachtingswaarde maximum  
# minstens    : Gemiddeld aantal dagen waarin de grenswaarde gehaald werd 
# boven       : Gemiddeld aantal dagen waarin de grenswaarde overschreden werd 
# beneden     : Gemiddeld aantal dagen waarin de waarde beneden de  grenswaarde viel 
# tussen      : Gemiddeld aantal dagen waarin de waarde tussen 2 grenswaades viel 
# gelijk      : Gemiddeld aantal dagen waarin de waarde exact de grenswaarde was  
# niet_gelijk : Gemiddeld aantal dagen waarin de waarde niet de grenswaarde was  
#
#               Normalen_310_H,tijdvak,   1991,   2020
#                  metric,    jan,    feb,    mar,    apr,    may,    jun,    jul,    aug,    sep,    okt,    nov,    dec, winter,  lente,  zomer, herfst,   jaar
             TG_gemiddeld,    4.5,    4.6,    6.8,    9.8,   13.3,   16.1,   18.4,   18.6,   16.1,   12.4,    8.5,    5.4,    4.8,   10.0,   17.7,   12.3,   11.2
                   TG_min,   -1.5,   -0.3,    3.0,    5.7,    8.8,   12.2,   15.1,   15.4,   12.8,    7.9,    3.6,   -0.4,   -3.0,    2.8,   12.2,    3.5,   -3.0
                   TG_max,    9.0,    8.6,   10.7,   15.1,   18.5,   21.6,   23.4,   23.2,   19.6,   16.3,   13.0,   10.1,   10.6,   18.7,   24.5,   19.7,   24.5
             TG_beneden_0,    3.3,    2.4,    0.5,      .,      .,      .,      .,      .,      .,      .,    0.3,    2.2,    7.9,    0.5,      .,    0.3,    8.8
           TG_minstens_20,      .,      .,      .,      .,    0.5,    2.3,    7.2,    6.8,    1.4,      .,      .,      .,      .,    0.5,   16.3,    1.4,   18.2
         TG_tussen_0_en_5,   11.6,   10.9,    5.6,    0.7,      .,      .,      .,      .,      .,    0.2,    3.0,   10.2,   32.7,    6.3,      .,    3.2,   42.2
       TG_tussen_10_en_15,    0.7,    0.5,    2.5,   11.9,   18.6,    9.9,    1.3,    0.8,    9.1,   20.3,    9.7,    1.9,    3.1,   33.0,   12.1,   39.1,   87.4
       TG_tussen_15_en_20,      .,      .,      .,    1.6,    7.8,   17.7,   22.5,   23.4,   19.5,    5.1,    0.2,      .,      .,    9.4,   63.5,   24.7,   97.6
        TG_tussen_5_en_10,   15.4,   14.5,   22.3,   15.9,    4.0,    0.1,      .,      .,      .,    5.4,   16.8,   16.7,   46.5,   42.2,    0.1,   22.2,  111.1
             TN_gemiddeld,    2.6,    2.6,    4.4,    6.9,   10.2,   13.0,   15.4,   15.6,   13.4,   10.1,    6.5,    3.5,    2.9,    7.2,   14.7,   10.0,    8.7
                   TN_min,   -3.4,   -2.6,    0.2,    2.6,    5.9,    9.6,   12.3,   12.6,   10.0,    5.1,    1.5,   -2.1,   -5.1,   -0.0,    9.6,    1.3,   -5.1
                   TN_max,    7.3,    6.9,    8.2,   11.0,   14.3,   17.2,   18.8,   19.2,   16.9,   14.3,   11.4,    8.6,    9.1,   14.3,   19.8,   17.0,   19.8
             TN_beneden_0,    6.8,    5.8,    2.1,    0.2,      .,      .,      .,      .,      .,    0.0,    0.7,    4.8,   17.4,    2.3,      .,    0.8,   20.4
           TN_beneden_-10,    0.1,    0.1,      .,      .,      .,      .,      .,      .,      .,      .,      .,      .,    0.2,      .,      .,      .,    0.2
            TN_beneden_-5,    0.9,    0.7,    0.0,      .,      .,      .,      .,      .,      .,      .,      .,    0.4,    2.0,    0.0,      .,      .,    2.0
           TN_minstens_20,      .,      .,      .,      .,      .,      .,    0.7,    0.6,    0.1,      .,      .,      .,      .,      .,    1.3,    0.1,    1.4
             TX_gemiddeld,    6.4,    6.8,    9.6,   13.3,   16.8,   19.6,   21.8,   22.0,   19.0,   14.8,   10.4,    7.2,    6.8,   13.2,   21.1,   14.7,   14.0
