# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI) 
#
# DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
# KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
#
# THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
# ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 375:         5.707       51.659      22.00  VOLKEL
#
# Eenheden en grootheden in de metrics tabel voor WMO normalen.
#
# De metrics hebben 2 kenmerken:
#
# Meteorologische parameters
# Wijze van  berekening.
# Daarbij komen soms 1 of 2 grenswaardes.
#
# Meteorologische parameters:
# TG          : Etmaal gemiddelde temperatuur op 2 m. in graden Celsius 
# TN          : Minimum  temperatuur op 2 m. in graden Celsius 
# TX          : Maximum  temperatuur op 2 m. in graden Celsius 
# T10N        : Minimum  temperatuur op 10 cm in graden Celsius 
# W1_code     : Weercode voor mist 
# W2_code     : Weercode sneeuw 
# UG          : Gemiddelde relatieve vochtigheid in percentage
# U12         : Relatieve vochtigheid  om 12 UTC gemiddelde in percentage
# EEG         : Dampdruk in hPa 
# EV24        : Referentie gewasverdamping in mm per maand, seizoen of jaar 
# PG          : Luchtdruk in hPa 
# DR24        : Duur van de neerslag in uren per maand, seizoen of jaar 
# RHX         : Hoeveelheid neerslag in het natste uur im mm 
# RH24        : Hoeveelheid neerslag in mm per maand, seizoen of jaar 
# waterbalans : Neerslag minus verdamping in mm  per maand, seizoen of jaar
# SQ24        : Duur van zonneschijn in uren  per maand, seizoen of jaar
# pctzon      : Fractie van het maximale aantal urenzon ( daglicht)  in  percentage
# pctzon_duur : Het maximale aantal urenzon ( daglicht)  in uren 
# Q24         : Langgolvige straling in kJ/cm2  per maand, seizoen of jaar
# FG          : Gemiddelde windsnelheid in m/sec. 
# FHX         : Hoogste windsnelheid per dag in m/sec
# FXX         : Hoogste windstoot per dag in m/sec
#
# Wijze van berekening:
# gemiddeld   : Gemiddeld uit 30 jaar maandgemiddeldes 
# duur        : Gemiddeld uit 30 jaar maandsommen  
# duur_pct    : In percentage van de tijd.  
# som         : Gemiddeld uit 30 jaar maandsommen 
# min         : Verwachtingswaarde minimum 
# max         : Verwachtingswaarde maximum  
# minstens    : Gemiddeld aantal dagen waarin de grenswaarde gehaald werd 
# boven       : Gemiddeld aantal dagen waarin de grenswaarde overschreden werd 
# beneden     : Gemiddeld aantal dagen waarin de waarde beneden de  grenswaarde viel 
# tussen      : Gemiddeld aantal dagen waarin de waarde tussen 2 grenswaades viel 
# gelijk      : Gemiddeld aantal dagen waarin de waarde exact de grenswaarde was  
# niet_gelijk : Gemiddeld aantal dagen waarin de waarde niet de grenswaarde was  
#
#               Normalen_375_H,tijdvak,   1991,   2020
#                  metric,    jan,    feb,    mar,    apr,    may,    jun,    jul,    aug,    sep,    okt,    nov,    dec, winter,  lente,  zomer, herfst,   jaar
             TG_gemiddeld,    3.2,    3.6,    6.3,    9.9,   13.6,   16.5,   18.5,   18.0,   14.7,   10.7,    6.7,    3.9,    3.6,    9.9,   17.7,   10.7,   10.5
                   TG_min,   -4.4,   -2.6,    1.2,    4.1,    7.9,   11.5,   14.2,   13.4,   10.6,    5.1,    0.8,   -3.3,   -6.2,    1.0,   11.3,    0.6,   -6.2
                   TG_max,    9.7,    9.5,   12.0,   16.3,   20.0,   23.3,   24.5,   23.8,   19.4,   16.2,   12.9,   10.6,   11.6,   20.0,   26.0,   19.5,   26.0
             TG_beneden_0,    7.3,    5.2,    1.1,      .,      .,      .,      .,      .,      .,    0.1,    1.2,    5.8,   18.3,    1.1,      .,    1.2,   20.7
           TG_minstens_20,      .,      .,      .,    0.0,    1.5,    4.4,    9.3,    6.9,    1.3,    0.0,      .,      .,      .,    1.6,   20.6,    1.3,   23.5
         TG_tussen_0_en_5,   11.6,   11.7,    9.0,    2.4,      .,      .,      .,      .,      .,    1.5,    7.4,   11.5,   34.8,   11.3,      .,    8.8,   55.0
       TG_tussen_10_en_15,    1.3,    1.2,    4.3,   11.2,   14.7,   10.2,    3.9,    4.3,   16.4,   15.5,    5.4,    2.2,    4.7,   30.1,   18.4,   37.2,   90.4
       TG_tussen_15_en_20,      .,      .,    0.1,    2.8,    9.7,   15.1,   17.8,   19.8,   11.5,    3.2,    0.2,      .,      .,   12.6,   52.7,   14.9,   80.3
        TG_tussen_5_en_10,   10.8,   10.1,   16.5,   13.6,    5.1,    0.3,      .,      .,    0.8,   10.8,   15.9,   11.6,   32.4,   35.2,    0.3,   27.5,   95.5
             TN_gemiddeld,    0.1,    0.1,    1.8,    4.0,    7.6,   10.5,   12.6,   12.1,    9.5,    6.5,    3.3,    0.9,    0.4,    4.5,   11.7,    6.4,    5.8
                   TN_min,   -8.4,   -7.4,   -4.8,   -2.5,    1.1,    4.8,    7.5,    7.1,    4.1,   -0.4,   -3.8,   -7.0,  -10.8,   -5.2,    4.4,   -4.2,  -11.0
                   TN_max,    7.4,    7.1,    8.5,   10.4,   13.7,   16.4,   17.5,   17.1,   14.7,   13.4,   10.5,    8.4,    9.6,   13.7,   18.6,   15.0,   18.6
             TN_beneden_0,   13.7,   13.1,   10.1,    4.2,    0.4,      .,      .,      .,    0.0,    1.6,    5.9,   12.6,   39.3,   14.6,      .,    7.5,   61.4
           TN_beneden_-10,    0.9,    0.7,    0.0,      .,      .,      .,      .,      .,      .,      .,      .,    0.4,    1.9,    0.0,      .,      .,    2.0
            TN_beneden_-5,    4.8,    3.3,    1.0,    0.2,      .,      .,      .,      .,      .,    0.1,    0.7,    3.2,   11.2,    1.2,      .,    0.8,   13.2
           TN_minstens_20,      .,      .,      .,      .,      .,      .,    0.1,    0.1,      .,      .,      .,      .,      .,      .,    0.2,      .,    0.2
             TX_gemiddeld,    5.9,    7.0,   10.8,   15.3,   19.1,   21.9,   24.0,   23.7,   19.9,   14.9,    9.8,    6.4,    6.4,   15.1,   23.2,   14.9,   14.9
                   TX_min,   -1.3,    0.4,    4.5,    8.4,   11.8,   15.2,   17.8,   17.6,   14.3,    8.7,    3.5,   -0.4,   -2.8,    4.4,   14.8,    3.4,   -2.9
                   TX_max,   12.5,   13.4,   18.1,   23.9,   27.7,   31.1,   32.5,   32.0,   26.6,   21.5,   16.2,   12.8,   14.8,   27.9,   34.6,   26.8,   34.6
             TX_beneden_0,    3.0,    1.7,    0.1,      .,      .,      .,      .,      .,      .,      .,    0.3,    2.2,    7.0,    0.1,      .,    0.3,    7.4
           TX_minstens_15,    0.0,    0.7,    4.8,   14.4,   24.6,   29.1,   30.9,   31.0,   28.5,   15.6,    2.0,    0.1,    0.9,   43.8,   90.9,   46.1,  181.7
           TX_minstens_20,      .,      .,    0.5,    5.1,   12.3,   19.1,   25.2,   25.7,   13.4,    2.5,    0.0,      .,      .,   17.9,   70.0,   15.9,  103.8
           TX_minstens_25,      .,      .,      .,    0.9,    4.0,    6.9,   11.7,    9.7,    2.9,    0.2,      .,      .,      .,    5.0,   28.3,    3.2,   36.5
           TX_minstens_30,      .,      .,      .,      .,    0.4,    1.4,    3.2,    2.9,    0.2,      .,      .,      .,      .,    0.4,    7.4,    0.2,    8.0
           TX_minstens_35,      .,      .,      .,      .,      .,    0.0,    0.5,    0.3,      .,      .,      .,      .,      .,      .,    0.8,      .,    0.8
           T10N_beneden_0,   16.2,   16.0,   16.0,   11.1,    3.6,    0.7,      .,    0.0,    0.5,    4.5,    8.9,   14.8,   47.0,   30.6,    0.7,   13.9,   92.2
             UG_gemiddeld,   87.5,   84.7,   79.5,   73.3,   72.9,   74.2,   75.4,   77.6,   82.2,   86.1,   89.9,   89.8,   87.3,   75.2,   75.7,   86.1,   81.1
            U12_gemiddeld,   83.2,   77.8,   68.2,   58.6,   58.7,   60.3,   60.8,   61.8,   66.7,   74.8,   83.4,   86.0,   82.3,   61.8,   61.0,   75.0,   70.0
            EEG_gemiddeld,    7.0,    6.9,    7.7,    8.8,   11.2,   13.7,   15.6,   15.6,   13.6,   11.3,    9.0,    7.5,    7.1,    9.2,   15.0,   11.3,   10.7
           EV24_gemiddeld,    0.3,    0.6,    1.2,    2.1,    2.9,    3.3,    3.3,    2.7,    1.8,    1.0,    0.4,    0.2,    0.4,    2.1,    3.1,    1.1,    1.6
                 EV24_som,    8.9,   15.8,   36.0,   63.7,   88.8,   98.2,  100.9,   84.9,   54.2,   29.1,   12.2,    6.8,   31.5,  188.5,  284.0,   95.5,  599.5
             PG_gemiddeld, 1017.0, 1016.6, 1016.0, 1014.6, 1015.9, 1016.2, 1015.4, 1015.4, 1016.2, 1015.2, 1014.1, 1016.0, 1016.5, 1015.5, 1015.7, 1015.2, 1015.7
                DR24_duur,   70.1,   64.5,   56.2,   36.2,   39.3,   34.9,   36.4,   36.7,   41.3,   50.6,   66.2,   77.3,  211.9,  131.7,  108.0,  158.1,  609.7
            DR24_duur_pct,    9.4,    9.5,    7.6,    5.0,    5.3,    4.8,    4.9,    4.9,    5.7,    6.8,    9.2,   10.4,    9.8,    6.0,    4.9,    7.2,    7.0
             DR24_boven_0,   16.8,   15.3,   15.4,   12.3,   13.1,   13.2,   14.1,   13.7,   13.1,   14.9,   17.1,   17.8,   49.9,   40.8,   41.0,   45.1,  176.9
                 RH24_som,   64.0,   58.2,   52.7,   40.4,   57.6,   64.1,   70.6,   73.4,   59.4,   61.8,   64.8,   72.2,  194.4,  150.7,  208.1,  186.0,  739.2
                  RHX_max,    4.1,    3.5,    3.7,    4.5,    8.0,   11.0,   10.2,   10.0,    6.7,    5.8,    4.5,    3.9,    5.4,    9.0,   16.8,    8.3,   19.1
            RH24_gelijk_0,   10.2,    9.5,   12.5,   14.1,   14.6,   13.6,   13.7,   14.1,   13.9,   12.9,    9.8,    9.5,   29.2,   41.3,   41.4,   36.6,  148.5
        RH24_minstens_0.1,   16.8,   15.3,   15.4,   12.3,   13.1,   13.2,   14.1,   13.7,   13.1,   14.9,   17.1,   17.8,   49.9,   40.8,   41.0,   45.1,  176.9
        RH24_minstens_0.3,   15.1,   13.3,   13.4,   10.6,   11.6,   11.8,   12.3,   12.2,   11.7,   13.2,   15.2,   15.9,   44.2,   35.7,   36.3,   40.1,  156.2
          RH24_minstens_1,   12.1,   10.3,   10.1,    8.4,    9.5,    9.4,    9.9,    9.8,    9.2,    9.9,   11.5,   12.6,   35.0,   28.0,   29.1,   30.7,  122.8
         RH24_minstens_10,    1.5,    1.8,    1.3,    1.0,    1.5,    1.8,    2.3,    2.2,    1.6,    1.7,    1.5,    1.8,    5.1,    3.8,    6.3,    4.8,   20.0
         RH24_minstens_15,    0.7,    0.5,    0.3,    0.3,    0.7,    0.9,    1.1,    1.1,    0.8,    0.8,    0.6,    0.7,    1.9,    1.3,    3.1,    2.2,    8.5
         RH24_minstens_20,    0.2,    0.2,    0.2,    0.1,    0.3,    0.4,    0.6,    0.6,    0.4,    0.4,    0.2,    0.3,    0.6,    0.6,    1.6,    1.1,    3.8
         RH24_minstens_25,    0.0,    0.1,    0.1,    0.0,    0.2,    0.2,    0.1,    0.4,    0.2,    0.1,    0.2,    0.2,    0.3,    0.3,    0.7,    0.5,    1.8
       RH24_niet_gelijk_0,   20.8,   18.8,   18.5,   15.9,   16.4,   16.4,   17.3,   16.9,   16.1,   18.1,   20.2,   21.5,   61.0,   50.7,   50.6,   54.4,  216.8
          waterbalans_som,   56.8,   44.9,   17.4,  -23.5,  -29.5,  -35.3,  -28.8,  -12.2,    5.6,   33.7,   51.3,   65.5,  167.2,  -35.6,  -76.3,   90.6,  145.9
            SQ24_gelijk_0,    9.4,    5.9,    3.7,    0.9,    1.4,    0.6,    0.7,    0.7,    1.4,    3.9,    6.9,   11.4,   26.7,    6.0,    2.0,   12.2,   47.0
       SQ24_niet_gelijk_0,   21.6,   22.3,   27.3,   29.1,   29.6,   29.4,   30.3,   30.3,   28.6,   27.1,   23.1,   19.6,   63.5,   86.0,   90.0,   78.8,  318.3
           SQ24_gemiddeld,    2.2,    3.2,    4.6,    6.3,    7.0,    7.1,    6.9,    6.4,    5.3,    3.9,    2.4,    1.8,    2.4,    6.0,    6.8,    3.9,    4.8
         pctzon_gemiddeld,   26.6,   32.2,   38.8,   45.8,   44.9,   42.6,   43.0,   43.8,   41.6,   36.8,   27.2,   22.9,   27.2,   43.2,   43.1,   35.2,   37.2
      pctzon_hoogstens_20,   17.5,   13.5,   11.7,    7.1,    8.4,    7.2,    7.5,    6.8,    9.0,   12.0,   16.4,   19.2,   50.2,   27.3,   21.5,   37.4,  136.4
   pctzon_tussen_20_en_50,    6.2,    6.7,    7.8,   10.3,    8.9,   11.0,   11.1,   11.3,    9.5,    8.1,    6.5,    5.3,   18.2,   27.0,   33.4,   24.1,  102.8
   pctzon_tussen_50_en_80,    3.9,    3.9,    6.3,    7.1,    8.5,    8.0,    8.8,    9.7,    7.2,    6.6,    4.5,    4.2,   12.0,   21.9,   26.6,   18.3,   78.8
       pctzon_minstens_80,    3.4,    4.1,    5.1,    5.4,    5.2,    3.8,    3.5,    3.2,    4.3,    4.2,    2.6,    2.2,    9.8,   15.8,   10.5,   11.1,   47.2
                 SQ24_som,   69.2,   90.7,  143.3,  190.2,  217.4,  211.8,  215.4,  198.9,  158.2,  121.8,   72.9,   56.1,  216.0,  550.9,  626.1,  352.9, 1745.9
                  Q24_som,    7.7,   13.3,   27.4,   43.2,   54.8,   57.1,   56.5,   48.1,   33.0,   19.5,    9.2,    5.8,   26.8,  125.4,  161.7,   61.7,  375.6
             UP_gemiddeld,    4.8,    4.6,    4.3,    3.8,    3.7,    3.4,    3.4,    3.2,    3.3,    3.9,    4.1,    4.6,    4.7,    3.9,    3.3,    3.8,    3.9
             FG_gemiddeld,    4.5,    4.3,    4.1,    3.5,    3.4,    3.2,    3.1,    3.0,    3.1,    3.7,    3.9,    4.4,    4.4,    3.7,    3.1,    3.6,    3.7
                   FG_max,    9.1,    8.7,    8.5,    7.0,    6.4,    6.3,    6.1,    6.1,    6.7,    7.5,    8.0,    8.9,   10.3,    8.8,    7.1,    8.7,   10.6
            FHX_gemiddeld,    6.6,    6.5,    6.3,    5.8,    5.6,    5.2,    5.3,    5.1,    5.2,    5.8,    5.9,    6.4,    6.5,    5.9,    5.2,    5.6,    5.8
                  FHX_max,   12.8,   12.2,   12.0,   10.6,    9.9,    9.6,    9.1,    9.6,    9.9,   11.1,   11.9,   12.2,   14.6,   12.5,   10.7,   13.0,   15.3
        FHX_minstens_Bft4,   18.5,   16.2,   18.0,   15.0,   13.9,   11.5,   13.3,   11.5,   12.1,   15.6,   15.0,   18.0,   52.7,   46.9,   36.3,   42.7,  178.7
        FHX_minstens_Bft5,   10.4,    8.7,    8.1,    6.0,    4.2,    2.9,    3.5,    3.3,    4.1,    6.1,    6.4,   10.0,   29.1,   18.4,    9.8,   16.6,   73.8
        FHX_minstens_Bft6,    3.5,    2.5,    2.5,    0.6,    0.6,    0.3,    0.1,    0.2,    0.4,    1.2,    1.4,    2.4,    8.4,    3.7,    0.7,    3.0,   15.8
