# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI) 
#
# DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
# KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
#
# THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
# ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 319:         3.861       51.226       1.70  WESTDORPE
#
# Eenheden en grootheden in de metrics tabel voor WMO normalen.
#
# De metrics hebben 2 kenmerken:
#
# Meteorologische parameters
# Wijze van  berekening.
# Daarbij komen soms 1 of 2 grenswaardes.
#
# Meteorologische parameters:
# TG          : Etmaal gemiddelde temperatuur op 2 m. in graden Celsius 
# TN          : Minimum  temperatuur op 2 m. in graden Celsius 
# TX          : Maximum  temperatuur op 2 m. in graden Celsius 
# T10N        : Minimum  temperatuur op 10 cm in graden Celsius 
# W1_code     : Weercode voor mist 
# W2_code     : Weercode sneeuw 
# UG          : Gemiddelde relatieve vochtigheid in percentage
# U12         : Relatieve vochtigheid  om 12 UTC gemiddelde in percentage
# EEG         : Dampdruk in hPa 
# EV24        : Referentie gewasverdamping in mm per maand, seizoen of jaar 
# PG          : Luchtdruk in hPa 
# DR24        : Duur van de neerslag in uren per maand, seizoen of jaar 
# RHX         : Hoeveelheid neerslag in het natste uur im mm 
# RH24        : Hoeveelheid neerslag in mm per maand, seizoen of jaar 
# waterbalans : Neerslag minus verdamping in mm  per maand, seizoen of jaar
# SQ24        : Duur van zonneschijn in uren  per maand, seizoen of jaar
# pctzon      : Fractie van het maximale aantal urenzon ( daglicht)  in  percentage
# pctzon_duur : Het maximale aantal urenzon ( daglicht)  in uren 
# Q24         : Langgolvige straling in kJ/cm2  per maand, seizoen of jaar
# FG          : Gemiddelde windsnelheid in m/sec. 
# FHX         : Hoogste windsnelheid per dag in m/sec
# FXX         : Hoogste windstoot per dag in m/sec
#
# Wijze van berekening:
# gemiddeld   : Gemiddeld uit 30 jaar maandgemiddeldes 
# duur        : Gemiddeld uit 30 jaar maandsommen  
# duur_pct    : In percentage van de tijd.  
# som         : Gemiddeld uit 30 jaar maandsommen 
# min         : Verwachtingswaarde minimum 
# max         : Verwachtingswaarde maximum  
# minstens    : Gemiddeld aantal dagen waarin de grenswaarde gehaald werd 
# boven       : Gemiddeld aantal dagen waarin de grenswaarde overschreden werd 
# beneden     : Gemiddeld aantal dagen waarin de waarde beneden de  grenswaarde viel 
# tussen      : Gemiddeld aantal dagen waarin de waarde tussen 2 grenswaades viel 
# gelijk      : Gemiddeld aantal dagen waarin de waarde exact de grenswaarde was  
# niet_gelijk : Gemiddeld aantal dagen waarin de waarde niet de grenswaarde was  
#
#               Normalen_319_H,tijdvak,   1991,   2020
#                  metric,    jan,    feb,    mar,    apr,    may,    jun,    jul,    aug,    sep,    okt,    nov,    dec, winter,  lente,  zomer, herfst,   jaar
             TG_gemiddeld,    4.1,    4.5,    7.0,   10.0,   13.4,   16.1,   18.1,   18.0,   15.1,   11.4,    7.5,    4.7,    4.4,   10.1,   17.4,   11.3,   10.8
                   TG_min,   -3.0,   -1.6,    2.1,    4.9,    8.4,   11.7,   14.3,   14.1,   11.2,    6.0,    1.7,   -1.9,   -4.7,    1.8,   11.6,    1.6,   -4.7
                   TG_max,   10.2,    9.9,   12.4,   16.1,   19.6,   22.2,   23.7,   23.4,   19.5,   16.6,   13.5,   11.2,   12.0,   19.7,   25.1,   19.6,   25.1
             TG_beneden_0,    5.1,    3.7,    0.7,      .,      .,      .,      .,      .,      .,      .,    0.7,    4.1,   12.9,    0.7,      .,    0.7,   14.3
           TG_minstens_20,      .,      .,      .,      .,    1.2,    2.9,    7.3,    6.2,    0.9,      .,      .,      .,      .,    1.2,   16.3,    0.9,   18.4
         TG_tussen_0_en_5,   11.3,   10.7,    7.0,    1.5,      .,      .,      .,      .,      .,    0.9,    5.8,   11.3,   33.3,    8.4,      .,    6.7,   48.4
       TG_tussen_10_en_15,    1.7,    2.0,    5.4,   11.9,   16.6,   11.2,    3.3,    3.2,   14.6,   16.7,    6.6,    2.8,    6.5,   33.9,   17.7,   37.8,   96.0
       TG_tussen_15_en_20,      .,      .,    0.1,    2.5,    8.5,   15.7,   20.4,   21.6,   14.3,    4.1,    0.3,      .,      .,   11.0,   57.7,   18.8,   87.5
        TG_tussen_5_en_10,   12.9,   11.9,   17.8,   14.1,    4.8,    0.2,      .,      .,    0.2,    9.3,   16.6,   12.8,   37.5,   36.7,    0.2,   26.2,  100.7
             TN_gemiddeld,    1.5,    1.5,    3.1,    4.9,    8.2,   10.7,   12.7,   12.7,   10.5,    7.6,    4.6,    2.2,    1.7,    5.4,   12.0,    7.6,    6.7
                   TN_min,   -6.2,   -5.4,   -2.9,   -1.2,    2.4,    5.6,    7.7,    8.0,    5.4,    1.3,   -1.4,   -4.6,   -8.6,   -3.3,    5.4,   -1.8,   -8.7
                   TN_max,    8.0,    7.9,    9.3,   11.0,   13.6,   15.9,   17.2,   17.4,   15.5,   13.8,   11.3,    9.0,   10.2,   13.8,   18.2,   15.7,   18.3
             TN_beneden_0,   10.5,    9.2,    6.2,    2.3,    0.1,      .,      .,      .,      .,    0.9,    3.3,    9.1,   28.9,    8.6,      .,    4.2,   41.6
           TN_beneden_-10,    0.5,    0.5,      .,      .,      .,      .,      .,      .,      .,      .,      .,    0.2,    1.2,      .,      .,      .,    1.2
            TN_beneden_-5,    2.4,    1.9,    0.2,      .,      .,      .,      .,      .,      .,    0.0,    0.2,    1.3,    5.6,    0.2,      .,    0.2,    6.1
           TN_minstens_20,      .,      .,      .,      .,      .,      .,      .,    0.0,      .,      .,      .,      .,      .,      .,    0.0,      .,    0.0
             TX_gemiddeld,    6.6,    7.5,   10.9,   15.0,   18.4,   21.1,   23.5,   23.5,   19.9,   15.3,   10.3,    7.1,    7.1,   14.8,   22.7,   15.2,   14.9
