# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI) 
#
# DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
# KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
#
# THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
# ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 249:         4.979       52.644      -2.40  BERKHOUT
#
# Eenheden en grootheden in de metrics tabel voor WMO normalen.
#
# De metrics hebben 2 kenmerken:
#
# Meteorologische parameters
# Wijze van  berekening.
# Daarbij komen soms 1 of 2 grenswaardes.
#
# Meteorologische parameters:
# TG          : Etmaal gemiddelde temperatuur op 2 m. in graden Celsius 
# TN          : Minimum  temperatuur op 2 m. in graden Celsius 
# TX          : Maximum  temperatuur op 2 m. in graden Celsius 
# T10N        : Minimum  temperatuur op 10 cm in graden Celsius 
# W1_code     : Weercode voor mist 
# W2_code     : Weercode sneeuw 
# UG          : Gemiddelde relatieve vochtigheid in percentage
# U12         : Relatieve vochtigheid  om 12 UTC gemiddelde in percentage
# EEG         : Dampdruk in hPa 
# EV24        : Referentie gewasverdamping in mm per maand, seizoen of jaar 
# PG          : Luchtdruk in hPa 
# DR24        : Duur van de neerslag in uren per maand, seizoen of jaar 
# RHX         : Hoeveelheid neerslag in het natste uur im mm 
# RH24        : Hoeveelheid neerslag in mm per maand, seizoen of jaar 
# waterbalans : Neerslag minus verdamping in mm  per maand, seizoen of jaar
# SQ24        : Duur van zonneschijn in uren  per maand, seizoen of jaar
# pctzon      : Fractie van het maximale aantal urenzon ( daglicht)  in  percentage
# pctzon_duur : Het maximale aantal urenzon ( daglicht)  in uren 
# Q24         : Langgolvige straling in kJ/cm2  per maand, seizoen of jaar
# FG          : Gemiddelde windsnelheid in m/sec. 
# FHX         : Hoogste windsnelheid per dag in m/sec
# FXX         : Hoogste windstoot per dag in m/sec
#
# Wijze van berekening:
# gemiddeld   : Gemiddeld uit 30 jaar maandgemiddeldes 
# duur        : Gemiddeld uit 30 jaar maandsommen  
# duur_pct    : In percentage van de tijd.  
# som         : Gemiddeld uit 30 jaar maandsommen 
# min         : Verwachtingswaarde minimum 
# max         : Verwachtingswaarde maximum  
# minstens    : Gemiddeld aantal dagen waarin de grenswaarde gehaald werd 
# boven       : Gemiddeld aantal dagen waarin de grenswaarde overschreden werd 
# beneden     : Gemiddeld aantal dagen waarin de waarde beneden de  grenswaarde viel 
# tussen      : Gemiddeld aantal dagen waarin de waarde tussen 2 grenswaades viel 
# gelijk      : Gemiddeld aantal dagen waarin de waarde exact de grenswaarde was  
# niet_gelijk : Gemiddeld aantal dagen waarin de waarde niet de grenswaarde was  
#
#               Normalen_249_H,tijdvak,   1991,   2020
#                  metric,    jan,    feb,    mar,    apr,    may,    jun,    jul,    aug,    sep,    okt,    nov,    dec, winter,  lente,  zomer, herfst,   jaar
             TG_gemiddeld,    3.6,    3.7,    6.0,    9.1,   12.8,   15.4,   17.7,   17.6,   14.7,   11.0,    7.2,    4.4,    3.9,    9.3,   16.9,   11.0,   10.3
                   TG_min,   -3.1,   -2.1,    1.3,    4.1,    7.7,   11.3,   14.1,   13.5,   11.0,    6.2,    1.8,   -1.8,   -4.8,    1.0,   11.2,    1.8,   -5.0
                   TG_max,    9.1,    8.6,   10.7,   15.0,   18.9,   21.6,   23.0,   22.6,   18.8,   15.7,   12.6,   10.2,   11.0,   18.9,   24.3,   18.8,   24.4
             TG_beneden_0,    5.8,    4.2,    1.2,      .,      .,      .,      .,      .,      .,      .,    0.6,    4.2,   14.2,    1.2,      .,    0.6,   16.1
           TG_minstens_20,      .,      .,      .,    0.1,    0.8,    1.9,    6.0,    5.1,    0.5,      .,      .,      .,      .,    0.9,   12.9,    0.5,   14.3
         TG_tussen_0_en_5,   12.2,   11.9,    8.9,    2.4,      .,      .,      .,      .,      .,    0.9,    6.4,   11.5,   35.6,   11.3,      .,    7.3,   54.2
       TG_tussen_10_en_15,    0.7,    0.5,    2.2,    9.9,   16.3,   13.0,    4.3,    4.4,   16.0,   17.5,    5.7,    1.6,    2.8,   28.4,   21.6,   39.2,   92.0
       TG_tussen_15_en_20,      .,      .,      .,    1.3,    7.0,   14.8,   20.8,   21.5,   13.3,    2.7,    0.1,      .,      .,    8.3,   57.1,   16.1,   81.5
        TG_tussen_5_en_10,   12.3,   11.6,   18.7,   16.3,    6.9,    0.4,      .,      .,    0.3,    9.8,   17.2,   13.7,   37.6,   41.8,    0.4,   27.3,  107.1
             TN_gemiddeld,    1.1,    0.9,    2.4,    4.5,    8.0,   10.8,   13.1,   13.0,   10.6,    7.6,    4.4,    1.8,    1.3,    5.0,   12.3,    7.5,    6.5
                   TN_min,   -6.1,   -5.8,   -3.7,   -1.6,    1.7,    5.6,    8.2,    8.2,    5.4,    1.7,   -1.6,   -5.1,   -8.5,   -4.0,    5.4,   -2.0,   -9.0
                   TN_max,    7.1,    6.7,    8.0,   10.4,   13.7,   16.4,   17.7,   17.9,   15.4,   13.1,   10.6,    8.5,    9.3,   13.8,   18.9,   15.5,   18.9
             TN_beneden_0,   11.3,   10.5,    7.3,    2.9,    0.1,      .,      .,      .,      .,    0.8,    3.4,   10.1,   31.9,   10.3,      .,    4.2,   46.4
           TN_beneden_-10,    0.5,    0.6,    0.1,      .,      .,      .,      .,      .,      .,      .,      .,    0.1,    1.2,    0.1,      .,      .,    1.3
            TN_beneden_-5,    2.6,    2.4,    0.6,    0.1,      .,      .,      .,      .,      .,      .,    0.1,    1.6,    6.7,    0.7,      .,    0.1,    7.4
           TN_minstens_20,      .,      .,      .,      .,      .,      .,    0.1,    0.1,      .,      .,      .,      .,      .,      .,    0.2,      .,    0.2
             TX_gemiddeld,    5.9,    6.5,    9.5,   13.7,   17.3,   19.7,   22.0,   21.9,   18.8,   14.4,    9.7,    6.7,    6.4,   13.5,   21.2,   14.3,   13.8
