# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI) 
#
# DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
# KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
#
# THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
# ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.180       52.100       1.90  DE BILT
#
# Eenheden en grootheden in de metrics tabel voor WMO normalen.
#
# De metrics hebben 2 kenmerken:
#
# Meteorologische parameters
# Wijze van  berekening.
# Daarbij komen soms 1 of 2 grenswaardes.
#
# Meteorologische parameters:
# TG          : Etmaal gemiddelde temperatuur op 2 m. in graden Celsius 
# TN          : Minimum  temperatuur op 2 m. in graden Celsius 
# TX          : Maximum  temperatuur op 2 m. in graden Celsius 
# T10N        : Minimum  temperatuur op 10 cm in graden Celsius 
# W1_code     : Weercode voor mist 
# W2_code     : Weercode sneeuw 
# UG          : Gemiddelde relatieve vochtigheid in percentage
# U12         : Relatieve vochtigheid  om 12 UTC gemiddelde in percentage
# EEG         : Dampdruk in hPa 
# EV24        : Referentie gewasverdamping in mm per maand, seizoen of jaar 
# PG          : Luchtdruk in hPa 
# DR24        : Duur van de neerslag in uren per maand, seizoen of jaar 
# RHX         : Hoeveelheid neerslag in het natste uur im mm 
# RH24        : Hoeveelheid neerslag in mm per maand, seizoen of jaar 
# waterbalans : Neerslag minus verdamping in mm  per maand, seizoen of jaar
# SQ24        : Duur van zonneschijn in uren  per maand, seizoen of jaar
# pctzon      : Fractie van het maximale aantal urenzon ( daglicht)  in  percentage
# pctzon_duur : Het maximale aantal urenzon ( daglicht)  in uren 
# Q24         : Langgolvige straling in kJ/cm2  per maand, seizoen of jaar
# FG          : Gemiddelde windsnelheid in m/sec. 
# FHX         : Hoogste windsnelheid per dag in m/sec
# FXX         : Hoogste windstoot per dag in m/sec
#
# Wijze van berekening:
# gemiddeld   : Gemiddeld uit 30 jaar maandgemiddeldes 
# duur        : Gemiddeld uit 30 jaar maandsommen  
# duur_pct    : In percentage van de tijd.  
# som         : Gemiddeld uit 30 jaar maandsommen 
# min         : Verwachtingswaarde minimum 
# max         : Verwachtingswaarde maximum  
# minstens    : Gemiddeld aantal dagen waarin de grenswaarde gehaald werd 
# boven       : Gemiddeld aantal dagen waarin de grenswaarde overschreden werd 
# beneden     : Gemiddeld aantal dagen waarin de waarde beneden de  grenswaarde viel 
# tussen      : Gemiddeld aantal dagen waarin de waarde tussen 2 grenswaades viel 
# gelijk      : Gemiddeld aantal dagen waarin de waarde exact de grenswaarde was  
# niet_gelijk : Gemiddeld aantal dagen waarin de waarde niet de grenswaarde was  
#
#               Normalen_260_H,tijdvak,   1991,   2020
#                  metric,    jan,    feb,    mar,    apr,    may,    jun,    jul,    aug,    sep,    okt,    nov,    dec, winter,  lente,  zomer, herfst,   jaar
             TG_gemiddeld,    3.6,    3.9,    6.5,    9.8,   13.4,   16.2,   18.3,   17.9,   14.7,   10.9,    7.0,    4.2,    3.9,    9.9,   17.5,   10.9,   10.5
                   TG_min,   -3.8,   -2.3,    1.5,    4.4,    8.1,   11.7,   14.2,   13.6,   10.6,    5.5,    1.2,   -2.6,   -5.6,    1.2,   11.5,    1.0,   -5.7
                   TG_max,    9.6,    9.4,   11.8,   16.1,   19.7,   22.7,   24.0,   23.4,   19.1,   16.1,   12.9,   10.6,   11.4,   19.8,   25.5,   19.2,   25.5
             TG_beneden_0,    6.4,    4.5,    1.1,      .,      .,      .,      .,      .,      .,    0.0,    1.0,    5.1,   15.9,    1.1,      .,    1.0,   18.0
           TG_minstens_20,      .,      .,      .,    0.1,    1.5,    3.4,    7.9,    6.1,    0.8,    0.0,      .,      .,      .,    1.6,   17.4,    0.8,   19.8
         TG_tussen_0_en_5,   11.1,   11.2,    8.2,    2.0,      .,      .,      .,      .,      .,    1.2,    6.6,   11.1,   33.4,   10.2,      .,    7.7,   51.4
       TG_tussen_10_en_15,    1.3,    1.2,    3.9,   11.3,   15.7,   10.7,    4.0,    3.8,   16.2,   16.2,    6.0,    2.1,    4.6,   30.9,   18.5,   38.5,   92.5
       TG_tussen_15_en_20,      .,      .,    0.1,    2.5,    8.5,   15.7,   19.2,   21.0,   12.3,    3.2,    0.2,      .,      .,   11.1,   55.9,   15.7,   82.6
        TG_tussen_5_en_10,   12.2,   11.3,   17.8,   14.1,    5.3,    0.2,      .,      .,    0.7,   10.3,   16.2,   12.7,   36.2,   37.2,    0.2,   27.3,  100.9
             TN_gemiddeld,    0.9,    0.7,    2.4,    4.5,    8.0,   10.8,   13.0,   12.5,   10.0,    7.1,    3.9,    1.6,    1.1,    5.0,   12.1,    7.0,    6.3
                   TN_min,   -7.2,   -6.4,   -4.1,   -1.8,    1.2,    5.4,    7.6,    7.6,    4.5,    0.6,   -2.6,   -6.0,   -9.5,   -4.4,    5.0,   -3.1,   -9.8
                   TN_max,    7.5,    7.3,    8.9,   10.5,   13.9,   16.5,   18.0,   17.6,   15.0,   13.3,   10.9,    8.6,    9.6,   14.0,   19.0,   15.2,   19.0
             TN_beneden_0,   12.0,   11.6,    8.4,    3.6,    0.2,      .,      .,      .,    0.0,    1.3,    4.7,   11.3,   34.9,   12.2,      .,    6.0,   53.1
           TN_beneden_-10,    0.5,    0.6,    0.0,      .,      .,      .,      .,      .,      .,      .,      .,    0.2,    1.3,    0.0,      .,      .,    1.3
            TN_beneden_-5,    3.6,    2.6,    0.7,    0.1,      .,      .,      .,      .,      .,    0.1,    0.4,    2.5,    8.7,    0.7,      .,    0.5,    9.9
           TN_minstens_20,      .,      .,      .,      .,      .,      .,    0.1,    0.1,      .,      .,      .,      .,      .,      .,    0.3,      .,    0.3
             TX_gemiddeld,    6.1,    7.0,   10.5,   14.8,   18.3,   20.9,   23.1,   22.9,   19.5,   14.8,    9.9,    6.7,    6.6,   14.5,   22.3,   14.7,   14.5
