# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI) 
#
# DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
# KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
#
# THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
# ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 356:         5.146       51.859       0.70  HERWIJNEN
#
# Eenheden en grootheden in de metrics tabel voor WMO normalen.
#
# De metrics hebben 2 kenmerken:
#
# Meteorologische parameters
# Wijze van  berekening.
# Daarbij komen soms 1 of 2 grenswaardes.
#
# Meteorologische parameters:
# TG          : Etmaal gemiddelde temperatuur op 2 m. in graden Celsius 
# TN          : Minimum  temperatuur op 2 m. in graden Celsius 
# TX          : Maximum  temperatuur op 2 m. in graden Celsius 
# T10N        : Minimum  temperatuur op 10 cm in graden Celsius 
# W1_code     : Weercode voor mist 
# W2_code     : Weercode sneeuw 
# UG          : Gemiddelde relatieve vochtigheid in percentage
# U12         : Relatieve vochtigheid  om 12 UTC gemiddelde in percentage
# EEG         : Dampdruk in hPa 
# EV24        : Referentie gewasverdamping in mm per maand, seizoen of jaar 
# PG          : Luchtdruk in hPa 
# DR24        : Duur van de neerslag in uren per maand, seizoen of jaar 
# RHX         : Hoeveelheid neerslag in het natste uur im mm 
# RH24        : Hoeveelheid neerslag in mm per maand, seizoen of jaar 
# waterbalans : Neerslag minus verdamping in mm  per maand, seizoen of jaar
# SQ24        : Duur van zonneschijn in uren  per maand, seizoen of jaar
# pctzon      : Fractie van het maximale aantal urenzon ( daglicht)  in  percentage
# pctzon_duur : Het maximale aantal urenzon ( daglicht)  in uren 
# Q24         : Langgolvige straling in kJ/cm2  per maand, seizoen of jaar
# FG          : Gemiddelde windsnelheid in m/sec. 
# FHX         : Hoogste windsnelheid per dag in m/sec
# FXX         : Hoogste windstoot per dag in m/sec
#
# Wijze van berekening:
# gemiddeld   : Gemiddeld uit 30 jaar maandgemiddeldes 
# duur        : Gemiddeld uit 30 jaar maandsommen  
# duur_pct    : In percentage van de tijd.  
# som         : Gemiddeld uit 30 jaar maandsommen 
# min         : Verwachtingswaarde minimum 
# max         : Verwachtingswaarde maximum  
# minstens    : Gemiddeld aantal dagen waarin de grenswaarde gehaald werd 
# boven       : Gemiddeld aantal dagen waarin de grenswaarde overschreden werd 
# beneden     : Gemiddeld aantal dagen waarin de waarde beneden de  grenswaarde viel 
# tussen      : Gemiddeld aantal dagen waarin de waarde tussen 2 grenswaades viel 
# gelijk      : Gemiddeld aantal dagen waarin de waarde exact de grenswaarde was  
# niet_gelijk : Gemiddeld aantal dagen waarin de waarde niet de grenswaarde was  
#
#               Normalen_356_H,tijdvak,   1991,   2020
#                  metric,    jan,    feb,    mar,    apr,    may,    jun,    jul,    aug,    sep,    okt,    nov,    dec, winter,  lente,  zomer, herfst,   jaar
             TG_gemiddeld,    3.4,    3.6,    6.2,    9.5,   13.3,   16.1,   18.1,   17.7,   14.6,   10.8,    6.8,    4.0,    3.7,    9.7,   17.3,   10.7,   10.3
                   TG_min,   -4.0,   -2.6,    1.2,    3.9,    7.7,   11.3,   14.0,   13.4,   10.5,    5.2,    1.0,   -3.0,   -6.1,    0.9,   11.2,    0.8,   -6.1
                   TG_max,    9.6,    9.2,   11.5,   15.6,   19.4,   22.6,   23.9,   23.3,   19.1,   16.1,   12.8,   10.5,   11.4,   19.4,   25.3,   19.2,   25.3
             TG_beneden_0,    6.8,    4.9,    1.1,      .,      .,      .,      .,      .,      .,    0.0,    1.1,    5.7,   17.4,    1.1,      .,    1.2,   19.7
           TG_minstens_20,      .,      .,      .,      .,    1.3,    3.2,    7.9,    6.2,    0.7,      .,      .,      .,      .,    1.3,   17.3,    0.7,   19.2
         TG_tussen_0_en_5,   11.5,   11.6,    9.4,    2.5,    0.0,      .,      .,      .,      .,    1.4,    7.1,   11.4,   34.6,   11.9,      .,    8.5,   55.0
       TG_tussen_10_en_15,    1.2,    1.0,    3.6,   10.7,   15.3,   10.8,    4.4,    4.3,   16.4,   16.2,    5.5,    2.1,    4.3,   29.7,   19.4,   38.1,   91.5
       TG_tussen_15_en_20,      .,      .,    0.0,    2.3,    8.6,   15.7,   18.8,   20.5,   12.2,    2.9,    0.2,      .,      .,   10.9,   55.0,   15.3,   81.2
        TG_tussen_5_en_10,   11.5,   10.7,   16.8,   14.4,    5.8,    0.3,      .,      .,    0.7,   10.5,   16.0,   11.8,   34.0,   37.1,    0.3,   27.2,   98.6
             TN_gemiddeld,    0.5,    0.3,    1.9,    3.8,    7.5,   10.5,   12.7,   12.2,    9.7,    6.7,    3.5,    1.1,    0.6,    4.4,   11.8,    6.6,    5.9
                   TN_min,   -7.6,   -7.0,   -4.4,   -2.5,    0.8,    4.9,    7.4,    7.2,    4.2,    0.0,   -3.3,   -6.6,  -10.3,   -4.8,    4.5,   -3.7,  -10.7
                   TN_max,    7.4,    7.1,    8.5,   10.1,   13.5,   16.2,   17.6,   17.4,   14.8,   13.2,   10.7,    8.3,    9.6,   13.6,   18.6,   15.1,   18.6
             TN_beneden_0,   12.9,   11.9,   10.1,    4.9,    0.5,      .,      .,      .,    0.0,    1.4,    5.4,   12.0,   36.7,   15.6,      .,    6.9,   59.2
           TN_beneden_-10,    0.6,    0.9,    0.1,      .,      .,      .,      .,      .,      .,      .,      .,    0.3,    1.8,    0.1,      .,      .,    1.9
            TN_beneden_-5,    3.8,    3.0,    0.8,    0.2,      .,      .,      .,      .,      .,    0.1,    0.6,    3.2,   10.0,    1.0,      .,    0.7,   11.7
           TN_minstens_20,      .,      .,      .,      .,      .,      .,    0.1,    0.1,      .,      .,      .,      .,      .,      .,    0.2,      .,    0.2
             TX_gemiddeld,    6.0,    6.9,   10.4,   14.7,   18.4,   21.1,   23.1,   23.0,   19.5,   14.8,    9.8,    6.5,    6.5,   14.5,   22.4,   14.7,   14.5
