                Normalen_330_H,tijdvak,   1991,   2020
                   metric,    jan,    feb,    mar,    apr,    may,    jun,    jul,    aug,    sep,    okt,    nov,    dec, winter,  lente,  zomer, herfst,   jaar
             TG_gemiddeld,    4.4,    4.5,    6.8,    9.8,   13.1,   15.7,   18.0,   18.3,   15.8,   12.0,    8.2,    5.2,    4.7,    9.9,   17.3,   12.0,   11.0
                   TG_min,   -2.2,   -0.8,    2.5,    5.4,    8.6,   11.9,   14.8,   15.0,   12.2,    7.0,    2.7,   -1.0,   -3.7,    2.4,   11.9,    2.6,   -3.8
                   TG_max,    9.1,    9.0,   11.7,   16.1,   19.6,   22.0,   23.6,   23.5,   19.7,   16.5,   13.0,   10.2,   10.9,   19.9,   25.4,   19.8,   25.5
             TG_beneden_0,    4.1,    2.9,    0.7,      .,      .,      .,      .,      .,      .,      .,    0.6,    2.9,    9.9,    0.7,      .,    0.6,   11.1
           TG_minstens_20,      .,      .,      .,    0.0,    1.1,    2.1,    5.6,    5.8,    1.2,    0.0,      .,      .,      .,    1.1,   13.4,    1.2,   15.7
         TG_tussen_0_en_5,   10.3,   10.8,    6.0,    0.9,      .,      .,      .,      .,      .,    0.5,    4.1,    9.5,   30.6,    7.0,      .,    4.6,   42.1
       TG_tussen_10_en_15,    0.8,    0.6,    3.1,   11.1,   18.6,   12.1,    2.0,    1.1,   10.7,   19.7,    8.7,    1.9,    3.3,   32.9,   15.2,   39.1,   90.5
       TG_tussen_15_en_20,      .,      .,    0.1,    1.9,    6.4,   15.6,   23.5,   24.1,   18.1,    4.5,    0.2,      .,      .,    8.3,   63.2,   22.8,   94.3
        TG_tussen_5_en_10,   15.8,   13.9,   21.1,   16.0,    4.9,    0.2,      .,      .,      .,    6.4,   16.4,   16.7,   46.5,   42.0,    0.2,   22.7,  111.5
             TN_gemiddeld,    2.3,    2.0,    3.8,    6.2,    9.4,   12.2,   14.5,   14.7,   12.5,    9.2,    5.6,    3.1,    2.5,    6.5,   13.8,    9.1,    8.0
                   TN_min,   -5.0,   -4.2,   -1.5,    0.9,    4.3,    8.0,   10.6,   10.6,    7.9,    3.3,   -0.2,   -3.4,   -6.7,   -1.7,    7.8,   -0.5,   -6.7
                   TN_max,    7.5,    7.0,    8.6,   11.1,   14.2,   16.5,   17.9,   18.3,   16.4,   14.2,   11.3,    8.6,    9.2,   14.3,   18.8,   16.4,   18.9
             TN_beneden_0,    8.5,    7.5,    3.4,    0.6,      .,      .,      .,      .,      .,    0.3,    2.1,    7.0,   22.9,    4.0,      .,    2.4,   29.3
           TN_beneden_-10,    0.1,    0.2,      .,      .,      .,      .,      .,      .,      .,      .,      .,    0.0,    0.3,      .,      .,      .,    0.3
            TN_beneden_-5,    1.7,    1.4,    0.2,      .,      .,      .,      .,      .,      .,      .,    0.1,    0.9,    3.9,    0.2,      .,    0.1,    4.2
           TN_minstens_20,      .,      .,      .,      .,      .,      .,    0.2,    0.2,      .,      .,      .,      .,      .,      .,    0.4,      .,    0.4
             TX_gemiddeld,    6.5,    7.1,   10.1,   14.0,   17.1,   19.5,   21.5,   22.2,   19.4,   15.1,   10.4,    7.2,    6.9,   13.7,   21.1,   15.0,   14.2
                   TX_min,    0.2,    1.5,    5.2,    8.2,   11.1,   14.3,   17.1,   17.6,   14.8,   10.3,    4.7,    1.0,   -1.4,    5.2,   14.2,    4.7,   -1.4
                   TX_max,   11.3,   12.3,   17.3,   23.0,   26.4,   29.1,   30.8,   30.5,   26.1,   20.8,   15.6,   11.9,   13.8,   27.0,   33.4,   26.2,   33.5
             TX_beneden_0,    1.5,    0.9,    0.0,      .,      .,      .,      .,      .,      .,      .,    0.2,    1.2,    3.7,    0.0,      .,    0.2,    3.9
           TX_minstens_15,      .,    0.3,    2.5,    9.7,   19.8,   28.1,   30.9,   31.0,   28.8,   16.6,    1.4,    0.0,    0.3,   32.1,   89.9,   46.8,  169.2
           TX_minstens_20,      .,      .,    0.3,    3.4,    7.1,   11.0,   18.9,   22.8,   11.0,    1.7,      .,      .,      .,   10.8,   52.7,   12.7,   76.2
           TX_minstens_25,      .,      .,      .,    0.5,    2.4,    3.0,    4.4,    5.4,    1.6,    0.1,      .,      .,      .,    2.9,   12.8,    1.7,   17.3
           TX_minstens_30,      .,      .,      .,      .,    0.2,    0.8,    1.2,    1.4,    0.1,      .,      .,      .,      .,    0.2,    3.4,    0.1,    3.7
           TX_minstens_35,      .,      .,      .,      .,      .,      .,    0.2,      .,      .,      .,      .,      .,      .,      .,    0.2,      .,    0.2
           T10N_beneden_0,    9.8,    9.2,    6.7,    2.9,    0.5,      .,      .,      .,      .,    1.0,    3.2,    9.1,   28.1,   10.1,      .,    4.1,   42.3
             UG_gemiddeld,   85.9,   83.8,   80.7,   75.5,   76.2,   78.0,   78.5,   78.2,   79.5,   82.3,   85.8,   86.5,   85.4,   77.5,   78.2,   82.5,   80.9
            EEG_gemiddeld,    7.4,    7.3,    8.0,    9.2,   11.5,   14.1,   16.0,   16.5,   14.4,   12.0,    9.5,    7.9,    7.5,    9.6,   15.5,   12.0,   11.2
           EV24_gemiddeld,    0.3,    0.6,    1.3,    2.3,    3.1,    3.5,    3.4,    2.9,    1.9,    1.0,    0.4,    0.2,    0.4,    2.2,    3.3,    1.1,    1.7
