# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI) 
#
# DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
# KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
#
# THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
# ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 269:         5.520       52.458      -3.70  LELYSTAD
#
# Eenheden en grootheden in de metrics tabel voor WMO normalen.
#
# De metrics hebben 2 kenmerken:
#
# Meteorologische parameters
# Wijze van  berekening.
# Daarbij komen soms 1 of 2 grenswaardes.
#
# Meteorologische parameters:
# TG          : Etmaal gemiddelde temperatuur op 2 m. in graden Celsius 
# TN          : Minimum  temperatuur op 2 m. in graden Celsius 
# TX          : Maximum  temperatuur op 2 m. in graden Celsius 
# T10N        : Minimum  temperatuur op 10 cm in graden Celsius 
# W1_code     : Weercode voor mist 
# W2_code     : Weercode sneeuw 
# UG          : Gemiddelde relatieve vochtigheid in percentage
# U12         : Relatieve vochtigheid  om 12 UTC gemiddelde in percentage
# EEG         : Dampdruk in hPa 
# EV24        : Referentie gewasverdamping in mm per maand, seizoen of jaar 
# PG          : Luchtdruk in hPa 
# DR24        : Duur van de neerslag in uren per maand, seizoen of jaar 
# RHX         : Hoeveelheid neerslag in het natste uur im mm 
# RH24        : Hoeveelheid neerslag in mm per maand, seizoen of jaar 
# waterbalans : Neerslag minus verdamping in mm  per maand, seizoen of jaar
# SQ24        : Duur van zonneschijn in uren  per maand, seizoen of jaar
# pctzon      : Fractie van het maximale aantal urenzon ( daglicht)  in  percentage
# pctzon_duur : Het maximale aantal urenzon ( daglicht)  in uren 
# Q24         : Langgolvige straling in kJ/cm2  per maand, seizoen of jaar
# FG          : Gemiddelde windsnelheid in m/sec. 
# FHX         : Hoogste windsnelheid per dag in m/sec
# FXX         : Hoogste windstoot per dag in m/sec
#
# Wijze van berekening:
# gemiddeld   : Gemiddeld uit 30 jaar maandgemiddeldes 
# duur        : Gemiddeld uit 30 jaar maandsommen  
# duur_pct    : In percentage van de tijd.  
# som         : Gemiddeld uit 30 jaar maandsommen 
# min         : Verwachtingswaarde minimum 
# max         : Verwachtingswaarde maximum  
# minstens    : Gemiddeld aantal dagen waarin de grenswaarde gehaald werd 
# boven       : Gemiddeld aantal dagen waarin de grenswaarde overschreden werd 
# beneden     : Gemiddeld aantal dagen waarin de waarde beneden de  grenswaarde viel 
# tussen      : Gemiddeld aantal dagen waarin de waarde tussen 2 grenswaades viel 
# gelijk      : Gemiddeld aantal dagen waarin de waarde exact de grenswaarde was  
# niet_gelijk : Gemiddeld aantal dagen waarin de waarde niet de grenswaarde was  
#
#               Normalen_269_H,tijdvak,   1991,   2020
#                  metric,    jan,    feb,    mar,    apr,    may,    jun,    jul,    aug,    sep,    okt,    nov,    dec, winter,  lente,  zomer, herfst,   jaar
             TG_gemiddeld,    3.2,    3.5,    6.0,    9.5,   13.2,   15.8,   17.8,   17.6,   14.6,   10.7,    6.8,    3.9,    3.5,    9.6,   17.1,   10.7,   10.2
                   TG_min,   -4.2,   -2.7,    1.2,    4.3,    8.1,   11.6,   14.1,   13.8,   10.8,    5.4,    1.2,   -2.9,   -6.2,    0.9,   11.5,    1.0,   -6.4
                   TG_max,    9.2,    9.0,   11.2,   15.7,   19.4,   22.1,   23.1,   22.9,   18.9,   15.8,   12.5,   10.3,   11.1,   19.5,   24.7,   19.0,   24.7
             TG_beneden_0,    6.8,    4.9,    1.5,      .,      .,      .,      .,      .,      .,    0.0,    1.0,    5.4,   17.0,    1.5,      .,    1.0,   19.5
           TG_minstens_20,      .,      .,      .,    0.1,    1.1,    2.7,    6.5,    5.2,    0.6,    0.0,      .,      .,      .,    1.1,   14.4,    0.7,   16.2
         TG_tussen_0_en_5,   12.0,   12.1,    8.9,    1.9,      .,      .,      .,      .,      .,    1.8,    6.9,   11.4,   35.4,   10.9,      .,    8.7,   55.0
       TG_tussen_10_en_15,    0.9,    0.8,    2.9,   10.5,   16.7,   11.7,    4.6,    4.5,   16.7,   16.1,    5.0,    1.7,    3.4,   30.1,   20.8,   37.8,   92.1
       TG_tussen_15_en_20,      .,      .,    0.1,    1.9,    7.7,   15.3,   19.9,   21.3,   12.1,    2.8,    0.1,      .,      .,    9.6,   56.5,   15.0,   81.1
        TG_tussen_5_en_10,   11.3,   10.6,   17.7,   15.6,    5.6,    0.3,      .,      .,    0.6,   10.2,   17.0,   12.5,   34.4,   38.8,    0.3,   27.8,  101.3
             TN_gemiddeld,    0.6,    0.4,    2.0,    4.3,    8.0,   10.8,   12.7,   12.4,   10.1,    6.9,    3.9,    1.4,    0.8,    4.8,   12.0,    7.0,    6.1
                   TN_min,   -7.4,   -6.7,   -4.3,   -1.7,    2.4,    5.9,    7.9,    7.7,    4.7,    0.6,   -2.3,   -6.4,  -10.0,   -4.6,    5.4,   -2.7,  -10.4
                   TN_max,    7.2,    6.8,    8.2,   10.3,   13.7,   16.1,   17.2,   17.1,   14.9,   13.0,   10.6,    8.2,    9.2,   13.7,   18.4,   15.0,   18.4
             TN_beneden_0,   12.0,   11.6,    8.4,    3.2,    0.1,      .,      .,      .,      .,    1.2,    4.7,   11.2,   34.8,   11.8,      .,    6.0,   52.5
           TN_beneden_-10,    0.8,    0.8,    0.1,      .,      .,      .,      .,      .,      .,      .,      .,    0.4,    2.0,    0.1,      .,      .,    2.2
            TN_beneden_-5,    3.6,    3.1,    1.1,    0.1,      .,      .,      .,      .,      .,      .,    0.3,    2.5,    9.2,    1.2,      .,    0.3,   10.8
           TN_minstens_20,      .,      .,      .,      .,      .,      .,    0.1,      .,      .,      .,      .,      .,      .,      .,    0.1,      .,    0.1
             TX_gemiddeld,    5.7,    6.5,   10.0,   14.4,   18.0,   20.4,   22.6,   22.5,   19.1,   14.4,    9.5,    6.2,    6.1,   14.1,   21.8,   14.3,   14.1
