# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI) 
#
# DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
# KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
#
# THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
# ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 380:         5.762       50.906     114.30  MAASTRICHT
#
# Eenheden en grootheden in de metrics tabel voor WMO normalen.
#
# De metrics hebben 2 kenmerken:
#
# Meteorologische parameters
# Wijze van  berekening.
# Daarbij komen soms 1 of 2 grenswaardes.
#
# Meteorologische parameters:
# TG          : Etmaal gemiddelde temperatuur op 2 m. in graden Celsius 
# TN          : Minimum  temperatuur op 2 m. in graden Celsius 
# TX          : Maximum  temperatuur op 2 m. in graden Celsius 
# T10N        : Minimum  temperatuur op 10 cm in graden Celsius 
# W1_code     : Weercode voor mist 
# W2_code     : Weercode sneeuw 
# UG          : Gemiddelde relatieve vochtigheid in percentage
# U12         : Relatieve vochtigheid  om 12 UTC gemiddelde in percentage
# EEG         : Dampdruk in hPa 
# EV24        : Referentie gewasverdamping in mm per maand, seizoen of jaar 
# PG          : Luchtdruk in hPa 
# DR24        : Duur van de neerslag in uren per maand, seizoen of jaar 
# RHX         : Hoeveelheid neerslag in het natste uur im mm 
# RH24        : Hoeveelheid neerslag in mm per maand, seizoen of jaar 
# waterbalans : Neerslag minus verdamping in mm  per maand, seizoen of jaar
# SQ24        : Duur van zonneschijn in uren  per maand, seizoen of jaar
# pctzon      : Fractie van het maximale aantal urenzon ( daglicht)  in  percentage
# pctzon_duur : Het maximale aantal urenzon ( daglicht)  in uren 
# Q24         : Langgolvige straling in kJ/cm2  per maand, seizoen of jaar
# FG          : Gemiddelde windsnelheid in m/sec. 
# FHX         : Hoogste windsnelheid per dag in m/sec
# FXX         : Hoogste windstoot per dag in m/sec
#
# Wijze van berekening:
# gemiddeld   : Gemiddeld uit 30 jaar maandgemiddeldes 
# duur        : Gemiddeld uit 30 jaar maandsommen  
# duur_pct    : In percentage van de tijd.  
# som         : Gemiddeld uit 30 jaar maandsommen 
# min         : Verwachtingswaarde minimum 
# max         : Verwachtingswaarde maximum  
# minstens    : Gemiddeld aantal dagen waarin de grenswaarde gehaald werd 
# boven       : Gemiddeld aantal dagen waarin de grenswaarde overschreden werd 
# beneden     : Gemiddeld aantal dagen waarin de waarde beneden de  grenswaarde viel 
# tussen      : Gemiddeld aantal dagen waarin de waarde tussen 2 grenswaades viel 
# gelijk      : Gemiddeld aantal dagen waarin de waarde exact de grenswaarde was  
# niet_gelijk : Gemiddeld aantal dagen waarin de waarde niet de grenswaarde was  
#
#               Normalen_380_H,tijdvak,   1991,   2020
#                  metric,    jan,    feb,    mar,    apr,    may,    jun,    jul,    aug,    sep,    okt,    nov,    dec, winter,  lente,  zomer, herfst,   jaar
             TG_gemiddeld,    3.2,    3.7,    6.6,   10.1,   13.8,   16.8,   18.8,   18.4,   15.0,   11.0,    6.8,    4.0,    3.6,   10.2,   18.0,   10.9,   10.7
                   TG_min,   -4.3,   -2.4,    1.3,    4.1,    7.9,   11.5,   14.0,   13.6,   10.7,    5.2,    0.8,   -2.7,   -5.9,    1.0,   11.2,    0.6,   -5.9
                   TG_max,    9.8,    9.5,   12.6,   16.8,   20.6,   23.9,   25.2,   24.9,   20.3,   16.8,   13.3,   10.6,   11.6,   20.7,   26.9,   20.5,   26.9
             TG_beneden_0,    7.5,    5.3,    1.2,      .,      .,      .,      .,      .,      .,      .,    1.0,    5.0,   17.8,    1.2,      .,    1.0,   20.1
           TG_minstens_20,      .,      .,      .,    0.2,    1.8,    5.4,   11.1,    8.2,    2.2,    0.1,      .,      .,      .,    1.9,   24.7,    2.3,   28.9
         TG_tussen_0_en_5,   11.3,   11.3,    8.7,    2.2,      .,      .,      .,      .,      .,    1.5,    8.0,   12.7,   35.4,   10.9,      .,    9.5,   55.7
       TG_tussen_10_en_15,    1.3,    1.5,    5.4,   11.3,   14.1,    9.7,    4.0,    3.9,   15.8,   15.0,    5.7,    2.2,    5.0,   30.7,   17.6,   36.5,   89.9
       TG_tussen_15_en_20,      .,      .,    0.2,    3.3,   10.1,   14.6,   16.0,   18.9,   11.5,    4.2,    0.4,      .,      .,   13.6,   49.5,   16.0,   79.1
        TG_tussen_5_en_10,   10.9,   10.1,   15.6,   13.0,    5.0,    0.2,      .,      .,    0.5,   10.3,   14.9,   11.1,   32.1,   33.6,    0.2,   25.6,   91.5
             TN_gemiddeld,    0.5,    0.7,    2.7,    5.0,    8.7,   11.7,   13.8,   13.4,   10.6,    7.3,    3.8,    1.4,    0.9,    5.5,   13.0,    7.2,    6.6
                   TN_min,   -7.5,   -6.1,   -3.5,   -1.0,    2.5,    6.4,    9.0,    8.8,    5.6,    0.7,   -2.7,   -5.5,   -9.4,   -3.8,    6.1,   -3.1,   -9.6
                   TN_max,    7.5,    7.3,    9.1,   11.4,   14.2,   17.4,   18.5,   18.4,   15.6,   13.9,   10.9,    8.6,    9.8,   14.4,   19.8,   15.9,   19.8
             TN_beneden_0,   13.3,   11.5,    7.0,    1.8,    0.0,      .,      .,      .,      .,    1.0,    5.0,   10.9,   35.7,    8.9,      .,    6.0,   50.6
           TN_beneden_-10,    0.5,    0.5,    0.0,      .,      .,      .,      .,      .,      .,      .,      .,    0.1,    1.1,    0.0,      .,      .,    1.2
            TN_beneden_-5,    3.9,    2.8,    0.6,      .,      .,      .,      .,      .,      .,    0.0,    0.5,    2.3,    9.0,    0.6,      .,    0.5,   10.2
           TN_minstens_20,      .,      .,      .,      .,      .,    0.1,    0.4,    0.3,      .,      .,      .,      .,      .,      .,    0.7,      .,    0.7
             TX_gemiddeld,    5.7,    6.7,   10.7,   15.0,   18.8,   21.7,   23.8,   23.5,   19.7,   14.8,    9.7,    6.3,    6.2,   14.8,   23.0,   14.7,   14.7
