# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI) 
#
# DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
# KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
#
# THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
# ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 240:         4.790       52.318      -3.30  SCHIPHOL
#
# Eenheden en grootheden in de metrics tabel voor WMO normalen.
#
# De metrics hebben 2 kenmerken:
#
# Meteorologische parameters
# Wijze van  berekening.
# Daarbij komen soms 1 of 2 grenswaardes.
#
# Meteorologische parameters:
# TG          : Etmaal gemiddelde temperatuur op 2 m. in graden Celsius 
# TN          : Minimum  temperatuur op 2 m. in graden Celsius 
# TX          : Maximum  temperatuur op 2 m. in graden Celsius 
# T10N        : Minimum  temperatuur op 10 cm in graden Celsius 
# W1_code     : Weercode voor mist 
# W2_code     : Weercode sneeuw 
# UG          : Gemiddelde relatieve vochtigheid in percentage
# U12         : Relatieve vochtigheid  om 12 UTC gemiddelde in percentage
# EEG         : Dampdruk in hPa 
# EV24        : Referentie gewasverdamping in mm per maand, seizoen of jaar 
# PG          : Luchtdruk in hPa 
# DR24        : Duur van de neerslag in uren per maand, seizoen of jaar 
# RHX         : Hoeveelheid neerslag in het natste uur im mm 
# RH24        : Hoeveelheid neerslag in mm per maand, seizoen of jaar 
# waterbalans : Neerslag minus verdamping in mm  per maand, seizoen of jaar
# SQ24        : Duur van zonneschijn in uren  per maand, seizoen of jaar
# pctzon      : Fractie van het maximale aantal urenzon ( daglicht)  in  percentage
# pctzon_duur : Het maximale aantal urenzon ( daglicht)  in uren 
# Q24         : Langgolvige straling in kJ/cm2  per maand, seizoen of jaar
# FG          : Gemiddelde windsnelheid in m/sec. 
# FHX         : Hoogste windsnelheid per dag in m/sec
# FXX         : Hoogste windstoot per dag in m/sec
#
# Wijze van berekening:
# gemiddeld   : Gemiddeld uit 30 jaar maandgemiddeldes 
# duur        : Gemiddeld uit 30 jaar maandsommen  
# duur_pct    : In percentage van de tijd.  
# som         : Gemiddeld uit 30 jaar maandsommen 
# min         : Verwachtingswaarde minimum 
# max         : Verwachtingswaarde maximum  
# minstens    : Gemiddeld aantal dagen waarin de grenswaarde gehaald werd 
# boven       : Gemiddeld aantal dagen waarin de grenswaarde overschreden werd 
# beneden     : Gemiddeld aantal dagen waarin de waarde beneden de  grenswaarde viel 
# tussen      : Gemiddeld aantal dagen waarin de waarde tussen 2 grenswaades viel 
# gelijk      : Gemiddeld aantal dagen waarin de waarde exact de grenswaarde was  
# niet_gelijk : Gemiddeld aantal dagen waarin de waarde niet de grenswaarde was  
#
#               Normalen_240_H,tijdvak,   1991,   2020
#                  metric,    jan,    feb,    mar,    apr,    may,    jun,    jul,    aug,    sep,    okt,    nov,    dec, winter,  lente,  zomer, herfst,   jaar
             TG_gemiddeld,    3.8,    4.1,    6.5,    9.8,   13.3,   16.0,   18.1,   18.0,   15.1,   11.3,    7.4,    4.6,    4.2,    9.9,   17.4,   11.3,   10.7
                   TG_min,   -3.0,   -1.8,    1.8,    4.7,    8.2,   11.7,   14.4,   14.1,   11.5,    6.3,    1.9,   -1.8,   -4.7,    1.6,   11.6,    1.8,   -4.8
                   TG_max,    9.4,    9.2,   11.4,   15.8,   19.6,   22.3,   23.6,   23.2,   19.3,   16.0,   12.8,   10.6,   11.2,   19.8,   25.1,   19.3,   25.1
             TG_beneden_0,    5.5,    4.0,    0.9,      .,      .,      .,      .,      .,      .,      .,    0.7,    4.1,   13.6,    0.9,      .,    0.7,   15.2
           TG_minstens_20,      .,      .,      .,    0.1,    1.6,    2.6,    6.9,    5.9,    0.9,      .,      .,      .,      .,    1.7,   15.4,    0.9,   17.9
         TG_tussen_0_en_5,   11.4,   11.2,    7.7,    1.6,      .,      .,      .,      .,      .,    0.7,    5.9,   11.0,   33.5,    9.3,      .,    6.5,   49.3
       TG_tussen_10_en_15,    1.1,    0.9,    3.4,   11.3,   16.4,   11.3,    3.4,    3.1,   14.8,   17.7,    6.8,    1.9,    3.9,   31.0,   17.9,   39.2,   92.0
       TG_tussen_15_en_20,      .,      .,    0.0,    2.0,    7.6,   15.8,   20.7,   22.0,   14.2,    3.3,    0.1,      .,      .,    9.7,   58.5,   17.6,   85.8
        TG_tussen_5_en_10,   13.0,   12.2,   19.0,   15.1,    5.4,    0.2,      .,      .,    0.2,    9.4,   16.5,   14.0,   39.2,   39.5,    0.2,   26.1,  105.1
             TN_gemiddeld,    1.2,    1.0,    2.8,    5.2,    8.6,   11.3,   13.5,   13.4,   11.0,    7.7,    4.5,    1.9,    1.4,    5.5,   12.7,    7.7,    6.8
                   TN_min,   -6.2,   -5.6,   -3.1,   -0.6,    2.8,    6.4,    9.0,    8.8,    6.2,    1.9,   -1.6,   -4.8,   -8.5,   -3.3,    6.2,   -1.9,   -8.8
                   TN_max,    7.5,    7.2,    8.5,   10.6,   14.0,   16.4,   17.7,   17.8,   15.3,   13.4,   11.0,    8.8,    9.5,   14.1,   18.9,   15.5,   18.9
             TN_beneden_0,   11.1,   10.4,    6.2,    1.6,    0.0,      .,      .,      .,      .,    0.6,    3.1,    9.8,   31.2,    7.8,      .,    3.7,   42.8
           TN_beneden_-10,    0.2,    0.5,    0.1,      .,      .,      .,      .,      .,      .,      .,      .,    0.1,    0.8,    0.1,      .,      .,    0.9
            TN_beneden_-5,    2.7,    2.1,    0.4,      .,      .,      .,      .,      .,      .,      .,    0.2,    1.6,    6.3,    0.4,      .,    0.2,    6.9
           TN_minstens_20,      .,      .,      .,      .,      .,      .,    0.2,    0.2,      .,      .,      .,      .,      .,      .,    0.3,      .,    0.3
             TX_gemiddeld,    6.2,    6.9,   10.1,   14.3,   17.8,   20.3,   22.5,   22.4,   19.2,   14.7,   10.0,    6.9,    6.7,   14.1,   21.7,   14.6,   14.3
