# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI) 
#
# DEZE GEGEVENS MOGEN VRIJ WORDEN GEBRUIKT MITS DE VOLGENDE BRONVERMELDING WORDT GEGEVEN:
# KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
#
# THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:
# ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 215:         4.437       52.141      -1.10  VOORSCHOTEN
#
# Eenheden en grootheden in de metrics tabel voor WMO normalen.
#
# De metrics hebben 2 kenmerken:
#
# Meteorologische parameters
# Wijze van  berekening.
# Daarbij komen soms 1 of 2 grenswaardes.
#
# Meteorologische parameters:
# TG          : Etmaal gemiddelde temperatuur op 2 m. in graden Celsius 
# TN          : Minimum  temperatuur op 2 m. in graden Celsius 
# TX          : Maximum  temperatuur op 2 m. in graden Celsius 
# T10N        : Minimum  temperatuur op 10 cm in graden Celsius 
# W1_code     : Weercode voor mist 
# W2_code     : Weercode sneeuw 
# UG          : Gemiddelde relatieve vochtigheid in percentage
# U12         : Relatieve vochtigheid  om 12 UTC gemiddelde in percentage
# EEG         : Dampdruk in hPa 
# EV24        : Referentie gewasverdamping in mm per maand, seizoen of jaar 
# PG          : Luchtdruk in hPa 
# DR24        : Duur van de neerslag in uren per maand, seizoen of jaar 
# RHX         : Hoeveelheid neerslag in het natste uur im mm 
# RH24        : Hoeveelheid neerslag in mm per maand, seizoen of jaar 
# waterbalans : Neerslag minus verdamping in mm  per maand, seizoen of jaar
# SQ24        : Duur van zonneschijn in uren  per maand, seizoen of jaar
# pctzon      : Fractie van het maximale aantal urenzon ( daglicht)  in  percentage
# pctzon_duur : Het maximale aantal urenzon ( daglicht)  in uren 
# Q24         : Langgolvige straling in kJ/cm2  per maand, seizoen of jaar
# FG          : Gemiddelde windsnelheid in m/sec. 
# FHX         : Hoogste windsnelheid per dag in m/sec
# FXX         : Hoogste windstoot per dag in m/sec
#
# Wijze van berekening:
# gemiddeld   : Gemiddeld uit 30 jaar maandgemiddeldes 
# duur        : Gemiddeld uit 30 jaar maandsommen  
# duur_pct    : In percentage van de tijd.  
# som         : Gemiddeld uit 30 jaar maandsommen 
# min         : Verwachtingswaarde minimum 
# max         : Verwachtingswaarde maximum  
# minstens    : Gemiddeld aantal dagen waarin de grenswaarde gehaald werd 
# boven       : Gemiddeld aantal dagen waarin de grenswaarde overschreden werd 
# beneden     : Gemiddeld aantal dagen waarin de waarde beneden de  grenswaarde viel 
# tussen      : Gemiddeld aantal dagen waarin de waarde tussen 2 grenswaades viel 
# gelijk      : Gemiddeld aantal dagen waarin de waarde exact de grenswaarde was  
# niet_gelijk : Gemiddeld aantal dagen waarin de waarde niet de grenswaarde was  
#
#               Normalen_215_H,tijdvak,   1991,   2020
#                  metric,    jan,    feb,    mar,    apr,    may,    jun,    jul,    aug,    sep,    okt,    nov,    dec, winter,  lente,  zomer, herfst,   jaar
             TG_gemiddeld,    4.1,    4.2,    6.4,    9.4,   12.8,   15.6,   17.8,   17.8,   15.0,   11.4,    7.6,    4.8,    4.4,    9.5,   17.1,   11.3,   10.6
                   TG_min,   -3.1,   -1.6,    1.8,    4.5,    8.0,   11.6,   14.4,   14.3,   11.3,    6.2,    1.8,   -1.7,   -4.7,    1.6,   11.6,    1.7,   -4.8
                   TG_max,    9.5,    9.2,   11.3,   15.3,   18.9,   21.7,   23.1,   22.7,   19.0,   16.1,   12.9,   10.6,   11.4,   19.0,   24.5,   19.0,   24.5
             TG_beneden_0,    5.5,    3.8,    0.9,      .,      .,      .,      .,      .,      .,      .,    0.7,    4.1,   13.5,    0.9,      .,    0.7,   15.1
           TG_minstens_20,      .,      .,      .,      .,    0.8,    1.9,    5.3,    4.7,    0.6,      .,      .,      .,      .,    0.8,   11.9,    0.6,   13.3
         TG_tussen_0_en_5,   10.6,   10.9,    7.7,    1.8,      .,      .,      .,      .,      .,    0.8,    5.4,    9.8,   31.3,    9.4,      .,    6.2,   46.9
       TG_tussen_10_en_15,    1.1,    1.0,    2.8,   10.2,   17.1,   12.4,    3.7,    2.6,   14.7,   18.4,    7.6,    2.3,    4.4,   30.0,   18.7,   40.7,   93.9
       TG_tussen_15_en_20,      .,      .,    0.0,    1.7,    6.9,   15.4,   22.0,   23.7,   14.5,    3.3,    0.1,      .,      .,    8.7,   61.1,   18.0,   87.8
        TG_tussen_5_en_10,   13.8,   12.6,   19.6,   16.4,    6.2,    0.2,      .,      .,    0.2,    8.5,   16.1,   14.8,   41.1,   42.2,    0.2,   24.8,  108.4
             TN_gemiddeld,    1.5,    1.2,    2.7,    4.8,    8.3,   11.2,   13.5,   13.4,   10.9,    7.9,    4.7,    2.1,    1.6,    5.3,   12.7,    7.8,    6.8
                   TN_min,   -6.4,   -5.5,   -3.4,   -1.2,    2.5,    6.1,    8.9,    8.8,    5.7,    1.8,   -2.1,   -5.3,   -8.7,   -3.7,    5.8,   -2.3,   -8.9
                   TN_max,    7.7,    7.3,    8.6,   10.5,   13.7,   16.1,   17.6,   17.7,   15.4,   13.8,   11.3,    8.9,    9.6,   13.8,   18.7,   15.7,   18.8
             TN_beneden_0,   10.8,   10.1,    6.6,    2.2,    0.1,      .,      .,      .,      .,    0.6,    3.7,    9.3,   30.2,    8.9,      .,    4.3,   43.3
           TN_beneden_-10,    0.3,    0.3,    0.1,      .,      .,      .,      .,      .,      .,      .,      .,    0.1,    0.7,    0.1,      .,      .,    0.8
            TN_beneden_-5,    2.8,    2.3,    0.4,      .,      .,      .,      .,      .,      .,      .,    0.3,    1.7,    6.8,    0.4,      .,    0.3,    7.5
           TN_minstens_20,      .,      .,      .,      .,      .,      .,    0.1,    0.1,      .,      .,      .,      .,      .,      .,    0.2,      .,    0.2
             TX_gemiddeld,    6.4,    6.9,    9.8,   13.6,   17.0,   19.6,   21.6,   21.8,   18.9,   14.7,   10.2,    7.1,    6.8,   13.5,   21.0,   14.6,   14.0
                   TX_min,   -0.5,    0.9,    4.8,    7.8,   10.9,   14.2,   16.8,   17.4,   14.3,    9.6,    4.2,    0.5,   -2.1,    4.7,   14.1,    4.2,   -2.1
                   TX_max,   11.8,   12.3,   16.3,   21.8,   25.4,   28.5,   29.8,   29.5,   24.8,   20.3,   15.5,   12.4,   13.9,   26.0,   31.8,   25.1,   31.8
             TX_beneden_0,    2.1,    1.2,    0.2,      .,      .,      .,      .,      .,      .,      .,    0.2,    1.5,    4.9,    0.2,      .,    0.2,    5.3
           TX_minstens_15,      .,    0.3,    2.3,    9.3,   19.6,   27.7,   30.9,   31.0,   28.3,   14.8,    1.5,    0.1,    0.4,   31.2,   89.6,   44.6,  165.8
           TX_minstens_20,      .,      .,    0.1,    2.9,    7.5,   11.8,   18.7,   20.8,    8.6,    1.4,      .,      .,      .,   10.5,   51.3,   10.0,   71.8
           TX_minstens_25,      .,      .,      .,    0.4,    1.8,    2.8,    5.6,    5.0,    1.1,    0.1,      .,      .,      .,    2.2,   13.4,    1.2,   16.8
           TX_minstens_30,      .,      .,      .,      .,    0.1,    0.4,    1.0,    1.1,    0.1,      .,      .,      .,      .,    0.1,    2.5,    0.1,    2.7
           TX_minstens_35,      .,      .,      .,      .,      .,      .,    0.0,      .,      .,      .,      .,      .,      .,      .,    0.0,      .,    0.0
           T10N_beneden_0,   12.6,   12.3,   12.0,    7.0,    1.6,    0.1,      .,      .,    0.1,    1.7,    5.9,   11.1,   36.0,   20.5,    0.1,    7.7,   64.4
