Gemeentenaam,GemiddeldAardgasverbruik,GemiddeldElektriciteitsverbruik
'S-GRAVENHAGE,1344290.0,3002430.0
'S-HERTOGENBOSCH,985580.0,2318090.0
AA EN HUNZE,632890.0,1093470.0
AALSMEER,148310.0,319190.0
AALTEN,325310.0,690380.0
ACHTKARSPELEN,263420.0,482300.0
ALBLASSERDAM,255920.0,645420.0
ALBRANDSWAARD,277330.0,655960.0
ALKMAAR,667390.0,1421100.0
ALMELO,756600.0,1617440.0
ALMERE,276280.0,1251620.0
ALPHEN AAN DEN RIJN,994440.0,2310430.0
ALPHEN-CHAAM,183320.0,382210.0
ALTENA,684710.0,1642800.0
AMELAND,87330.0,150080.0
AMERSFOORT,1385760.0,3222310.0
AMSTELVEEN,635560.0,1383400.0
AMSTERDAM,2696480.0,6701330.0
APELDOORN,1058190.0,2204380.0
APPINGEDAM,76840.0,134280.0
ARNHEM,928010.0,1949580.0
ASSEN,941630.0,1785320.0
ASTEN,169750.0,383670.0
BAARLE-NASSAU,108320.0,237320.0
BAARN,332170.0,593560.0
BARENDRECHT,602850.0,1641760.0
BARNEVELD,619710.0,1342090.0
BEEK,116020.0,240980.0
BEEKDAELEN,424270.0,838800.0
BEEMSTER,130080.0,274190.0
BEESEL,101490.0,236410.0
BERG EN DAL,515950.0,1044370.0
BERGEIJK,599960.0,1334020.0
BERGEN (L.),212460.0,491030.0
BERGEN (NH.),479350.0,881590.0
BERGEN OP ZOOM,413910.0,940070.0
BERKELLAND,447630.0,895720.0
BERNHEZE,618740.0,1428230.0
BEST,188940.0,420970.0
BEUNINGEN,388730.0,900110.0
BEVERWIJK,407010.0,917000.0
BLADEL,178240.0,414740.0
BLARICUM,76480.0,167630.0
BLOEMENDAAL,392880.0,685130.0
BODEGRAVEN-REEUWIJK,381360.0,908920.0
BOEKEL,112170.0,276950.0
BORGER-ODOORN,538850.0,911130.0
BORNE,175480.0,409680.0
BORSELE,384480.0,811870.0
BOXMEER,413560.0,944210.0
BOXTEL,206950.0,465680.0
BREDA,597810.0,1489390.0
BRIELLE,160700.0,405030.0
BRONCKHORST,535860.0,1072460.0
