Gemeentenaam,Inwoneraantal,"Groot, middelgroot en klein"
AALSMEER,31499,Klein
ALKMAAR,108470,Groot
ALMELO,72629,Middelgroot
ALMERE,203990,Groot
ALPHEN AAN DEN RIJN,109682,Groot
ALTENA,54766,Middelgroot
AMERSFOORT,155226,Groot
AMSTELVEEN,89870,Middelgroot
AMSTERDAM,854047,Groot
APELDOORN,161156,Groot
ARNHEM,157223,Groot
ASSEN,67708,Middelgroot
BARENDRECHT,48477,Klein
BARNEVELD,57339,Middelgroot
BEEKDAELEN,35969,Klein
BERG EN DAL,34748,Klein
BERGEN OP ZOOM,66354,Middelgroot
BERKELLAND,44029,Klein
BERNHEZE,30550,Klein
BEVERWIJK,41077,Klein
BODEGRAVEN-REEUWIJK,33948,Klein
BOXTEL,30672,Klein
BREDA,183448,Groot
BRONCKHORST,36352,Klein
CAPELLE AAN DEN IJSSEL,66854,Middelgroot
CASTRICUM,35608,Klein
COEVORDEN,35299,Klein
DE BILT,42846,Klein
DE FRYSKE MARREN,51742,Middelgroot
DE RONDE VENEN,43620,Klein
DELFT,102253,Groot
DEN HELDER,55760,Middelgroot
DEURNE,32137,Klein
DEVENTER,99653,Middelgroot
DOETINCHEM,57382,Middelgroot
DORDRECHT,118426,Groot
DRONTEN,40735,Klein
ECHT-SUSTEREN,31751,Klein
EDAM-VOLENDAM,35953,Klein
EDE,114682,Groot
EINDHOVEN,229126,Groot
EMMEN,107192,Groot
ENSCHEDE,158261,Groot
EPE,32863,Klein
ETTEN-LEUR,43532,Klein
GELDROP-MIERLO,39252,Klein
GEMERT-BAKEL,30340,Klein
GOEREE-OVERFLAKKEE,49129,Klein
GOES,37636,Klein
GOOISE MEREN,57337,Middelgroot
GORINCHEM,36284,Klein
GOUDA,72700,Middelgroot
GRONINGEN,229962,Groot
HAARLEM,159709,Groot
HAARLEMMERMEER,153149,Groot
HARDENBERG,60539,Middelgroot
HARDERWIJK,46832,Klein
HEEMSKERK,39146,Klein
HEERENVEEN,50192,Middelgroot
HEERHUGOWAARD,55850,Middelgroot
HEERLEN,86762,Middelgroot
HELLENDOORN,35796,Klein
HELLEVOETSLUIS,39997,Klein
HELMOND,90903,Middelgroot
HENDRIK-IDO-AMBACHT,30677,Klein
HENGELO (O),80593,Middelgroot
HET HOGELAND,48019,Klein
HEUSDEN,43723,Klein
HILVERSUM,89521,Middelgroot
HOEKSCHE WAARD,86115,Middelgroot
HOF VAN TWENTE,34930,Klein
HOLLANDS KROON,47681,Klein
HOOGEVEEN,55677,Middelgroot
HOORN,72806,Middelgroot
HORST AAN DE MAAS,42271,Klein
HOUTEN,49579,Klein
HUIZEN,41369,Klein
IJSSELSTEIN,34302,Klein
KAMPEN,53259,Middelgroot
KATWIJK,64956,Middelgroot
KERKRADE,45823,Klein
KRIMPENERWAARD,55644,Middelgroot
LANDGRAAF,37612,Klein
LANSINGERLAND,61155,Middelgroot
LEEUWARDEN,122415,Groot
LEIDEN,124306,Groot
LEIDSCHENDAM-VOORBURG,74947,Middelgroot
LELYSTAD,77389,Middelgroot
LEUDAL,35857,Klein
LINGEWAARD,46372,Klein
LOCHEM,33574,Klein
MAASSLUIS,32518,Klein
MAASTRICHT,122723,Groot
MEDEMBLIK,44480,Klein
MEIERIJSTAD,80148,Middelgroot
MEPPEL,33410,Klein
MIDDELBURG,48303,Klein
MIDDEN-DRENTHE,33172,Klein
MIDDEN-GRONINGEN,60951,Middelgroot
MOERDIJK,36967,Klein
MOLENLANDEN,43846,Klein
MONTFERLAND,35627,Klein
NIEUWEGEIN,62426,Middelgroot
NIJKERK,42307,Klein
NIJMEGEN,175948,Groot
NISSEWAARD,84588,Middelgroot
NOORDENVELD,32370,Klein
NOORDOOSTPOLDER,46625,Klein
NOORDWIJK,42661,Klein
NORDEAST-FRYSLN,45287,Klein
OLDAMBT,38075,Klein
OLDENZAAL,31915,Klein
