LON(east),LAT(north),ALT(m),WeerStation
5.707,51.659,22.00,VOLKEL
5.520,52.458,-3.70,LELYSTAD
5.146,51.859,0.70,HERWIJNEN
5.762,50.906,114.30,MAASTRICHT
3.596,51.442,8.00,VLISSINGEN
6.657,52.069,29.10,HUPSEL
4.790,52.318,-3.30,SCHIPHOL
4.781,52.928,1.20,DE KOOY
5.873,52.056,48.20,DEELEN
4.979,52.644,-2.40,BERKHOUT
4.936,51.566,14.90,GILZE-RIJEN
5.377,51.451,22.60,EINDHOVEN
5.888,52.703,-3.30,MARKNESSE
6.197,51.498,19.50,ARCEN
5.346,53.392,0.70,HOORN
6.891,52.274,34.80,TWENTHE
4.437,52.141,-1.10,VOORSCHOTEN
4.926,51.970,-0.70,CABAUW
5.384,52.898,-1.30,STAVOREN
4.447,51.962,-4.30,ROTTERDAM
7.150,53.196,-0.20,NIEUW BEERTA
5.752,53.224,1.20,LEEUWARDEN
3.861,51.226,1.70,WESTDORPE
6.574,52.750,15.80,HOOGEVEEN
5.180,52.100,1.90,DE BILT
6.585,53.125,5.20,EELDE
