Gemeentecode,Gemeentenaam,Provinciecode,Provincienaam
1680,AA EN HUNZE,22,DRENTHE
358,AALSMEER,27,NOORD-HOLLAND
197,AALTEN,25,GELDERLAND
59,ACHTKARSPELEN,21,FRIESLAND
482,ALBLASSERDAM,28,ZUID-HOLLAND
613,ALBRANDSWAARD,28,ZUID-HOLLAND
361,ALKMAAR,27,NOORD-HOLLAND
141,ALMELO,23,OVERIJSSEL
34,ALMERE,24,FLEVOLAND
484,ALPHEN AAN DEN RIJN,28,ZUID-HOLLAND
1723,ALPHEN-CHAAM,30,NOORD-BRABANT
1959,ALTENA,30,NOORD-BRABANT
60,AMELAND,21,FRIESLAND
307,AMERSFOORT,26,UTRECHT
362,AMSTELVEEN,27,NOORD-HOLLAND
363,AMSTERDAM,27,NOORD-HOLLAND
200,APELDOORN,25,GELDERLAND
3,APPINGEDAM,20,GRONINGEN
202,ARNHEM,25,GELDERLAND
106,ASSEN,22,DRENTHE
743,ASTEN,30,NOORD-BRABANT
744,BAARLE-NASSAU,30,NOORD-BRABANT
308,BAARN,26,UTRECHT
489,BARENDRECHT,28,ZUID-HOLLAND
203,BARNEVELD,25,GELDERLAND
888,BEEK,31,LIMBURG
1954,BEEKDAELEN,31,LIMBURG
370,BEEMSTER,27,NOORD-HOLLAND
889,BEESEL,31,LIMBURG
1945,BERG EN DAL,25,GELDERLAND
1724,BERGEIJK,30,NOORD-BRABANT
893,BERGEN (L.),31,LIMBURG
373,BERGEN (NH.),27,NOORD-HOLLAND
748,BERGEN OP ZOOM,30,NOORD-BRABANT
1859,BERKELLAND,25,GELDERLAND
1721,BERNHEZE,30,NOORD-BRABANT
753,BEST,30,NOORD-BRABANT
209,BEUNINGEN,25,GELDERLAND
375,BEVERWIJK,27,NOORD-HOLLAND
310,DE BILT,26,UTRECHT
1728,BLADEL,30,NOORD-BRABANT
376,BLARICUM,27,NOORD-HOLLAND
377,BLOEMENDAAL,27,NOORD-HOLLAND
1901,BODEGRAVEN-REEUWIJK,28,ZUID-HOLLAND
755,BOEKEL,30,NOORD-BRABANT
1681,BORGER-ODOORN,22,DRENTHE
147,BORNE,23,OVERIJSSEL
654,BORSELE,29,ZEELAND
756,BOXMEER,30,NOORD-BRABANT
757,BOXTEL,30,NOORD-BRABANT
758,BREDA,30,NOORD-BRABANT
501,BRIELLE,28,ZUID-HOLLAND
1876,BRONCKHORST,25,GELDERLAND
213,BRUMMEN,25,GELDERLAND
899,BRUNSSUM,31,LIMBURG
312,BUNNIK,26,UTRECHT
313,BUNSCHOTEN,26,UTRECHT
214,BUREN,25,GELDERLAND
502,CAPELLE AAN DEN IJSSEL,28,ZUID-HOLLAND
383,CASTRICUM,27,NOORD-HOLLAND
109,COEVORDEN,22,DRENTHE
1706,CRANENDONCK,30,NOORD-BRABANT
1684,CUIJK,30,NOORD-BRABANT
216,CULEMBORG,25,GELDERLAND
148,DALFSEN,23,OVERIJSSEL
1891,DANTUMADIEL,21,FRIESLAND
503,DELFT,28,ZUID-HOLLAND
10,DELFZIJL,20,GRONINGEN
762,DEURNE,30,NOORD-BRABANT
150,DEVENTER,23,OVERIJSSEL
384,DIEMEN,27,NOORD-HOLLAND
1774,DINKELLAND,23,OVERIJSSEL
221,DOESBURG,25,GELDERLAND
222,DOETINCHEM,25,GELDERLAND
766,DONGEN,30,NOORD-BRABANT
505,DORDRECHT,28,ZUID-HOLLAND
498,DRECHTERLAND,27,NOORD-HOLLAND
1719,DRIMMELEN,30,NOORD-BRABANT
303,DRONTEN,24,FLEVOLAND
225,DRUTEN,25,GELDERLAND
226,DUIVEN,25,GELDERLAND
1711,ECHT-SUSTEREN,31,LIMBURG
385,EDAM-VOLENDAM,27,NOORD-HOLLAND
228,EDE,25,GELDERLAND
317,EEMNES,26,UTRECHT
770,EERSEL,30,NOORD-BRABANT
1903,EIJSDEN-MARGRATEN,31,LIMBURG
772,EINDHOVEN,30,NOORD-BRABANT
230,ELBURG,25,GELDERLAND
114,EMMEN,22,DRENTHE
388,ENKHUIZEN,27,NOORD-HOLLAND
153,ENSCHEDE,23,OVERIJSSEL
232,EPE,25,GELDERLAND
