WeerStation,pctzon_gemiddeld,FG_gemiddeld
ARCEN,35.8,3.1
BERKHOUT,   38.6,
CABAUW,      -,    4.3
DEELEN,35.0,3.8
DE BILT,36.4,3.6
DE KOOI,39.8,5.6
EELDE,   35.6,    4.2
EINDHOVEN,36.9,3.8
GILZE-RIJEN,36.9,3.7
HERWIJNEN,37.6,4.1
HOEK VAN HOLLAND,   40.0,    7.3
HOOGEVEEN,36.3,4.0
HOORN,   39.4,    6.3
HUPSEL,   36.3,    3.4
LEEUWARDEN,38.0,4.7
LELYSTAD,37.6,4.4
MAASTRICHT,36.1,4.2
MARKNESSE,38.2,4.2
NIEUW BEERTA,36.6,5.0
ROTTERDAM,37.1,4.4
SCHIPHOL,37.7,5.0
STAVOREN,40.0,5.9
TWENTHE,35.7,3.5
VALKENBURG VOORSCHOTEN,   39.0,    4.8
VLISSINGEN,40.2,6.4
VOLKEL,37.2,3.7
WESTDORPE,37.7,4.2
