Gemeentenaam,distance,WeerStation
Appingedam,207.78951274932115,ARCEN
Appingedam,146.42118295939142,BERKHOUT
Appingedam,198.87864927571877,CABAUW
Appingedam,155.5676085635936,DEELEN
Appingedam,176.62767162319724,DE BILT
Appingedam,145.09365931212537,DE KOOY
Appingedam,28.097634830945445,EELDE
Appingedam,231.04528917031107,EINDHOVEN
Appingedam,234.6917948660105,GILZE-RIJEN
Appingedam,199.51755725197984,HERWIJNEN
Appingedam,66.29879060253025,HOOGEVEEN
Appingedam,100.22700713496035,HOORN (TERSCHELLING)
Appingedam,140.08955193714573,HUPSEL
Appingedam,73.86063850686097,LEEUWARDEN
Appingedam,131.27147119916407,LELYSTAD
Appingedam,278.96492009783856,MAASTRICHT
Appingedam,94.31822953896501,MARKNESSE
Appingedam,24.651372042178807,NIEUW BEERTA
Appingedam,222.04387939733016,ROTTERDAM
Appingedam,178.10562973275069,SCHIPHOL
Appingedam,108.76062987805587,STAVOREN
Appingedam,116.72776262973362,TWENTHE
Appingedam,209.24302218733487,VOORSCHOTEN
Appingedam,304.55623045599907,VLISSINGEN
Appingedam,200.65138077137976,VOLKEL
Appingedam,309.72510351232313,WESTDORPE
Bedum,202.08063646929853,ARCEN
Bedum,130.68773909166865,BERKHOUT
Bedum,185.99482709806563,CABAUW
Bedum,146.5487355683025,DEELEN
Bedum,164.0509537910105,DE BILT
Bedum,128.25241384711967,DE KOOY
Bedum,19.22632240355442,EELDE
Bedum,221.59183451552403,EINDHOVEN
Bedum,223.2888398079336,GILZE-RIJEN
Bedum,187.81989164471943,HERWIJNEN
Bedum,60.96277672573567,HOOGEVEEN
Bedum,83.85477271830547,HOORN (TERSCHELLING)
Bedum,136.7885027393331,HUPSEL
Bedum,56.85966390659035,LEEUWARDEN
Bedum,118.19560416376329,LELYSTAD
Bedum,272.1668356064305,MAASTRICHT
Bedum,81.44461310349269,MARKNESSE
Bedum,38.7262874165022,NIEUW BEERTA
Bedum,207.94200824153378,ROTTERDAM
Bedum,163.40266061682317,SCHIPHOL
Bedum,92.52009364539117,STAVOREN
Bedum,115.64922794355428,TWENTHE
Bedum,194.4935842965726,VOORSCHOTEN
Bedum,290.40805570550253,VLISSINGEN
Bedum,192.0651161789779,VOLKEL
Bedum,296.5814025248032,WESTDORPE
Bellingwedde,189.42459754260858,ARCEN
Bellingwedde,152.36263986644585,BERKHOUT
Bellingwedde,194.7227400309909,CABAUW
Bellingwedde,143.77429491612,DEELEN
Bellingwedde,172.08131472593115,DE BILT
Bellingwedde,157.4995124055546,DE KOOY
Bellingwedde,35.17388347892277,EELDE
Bellingwedde,218.81808930651638,EINDHOVEN
Bellingwedde,226.48687366104883,GILZE-RIJEN
Bellingwedde,192.45024753647718,HERWIJNEN
Bellingwedde,53.52139130365148,HOOGEVEEN
Bellingwedde,121.93208804419982,HOORN (TERSCHELLING)
Bellingwedde,119.3849058466624,HUPSEL
Bellingwedde,91.72657819015885,LEEUWARDEN
Bellingwedde,129.21870207170764,LELYSTAD
Bellingwedde,261.664355405816,MAASTRICHT
Bellingwedde,93.61157808148656,MARKNESSE
Bellingwedde,10.392042653429662,NIEUW BEERTA
Bellingwedde,220.9760488982253,ROTTERDAM
Bellingwedde,179.59056431161548,SCHIPHOL
Bellingwedde,118.11452057363346,STAVOREN
Bellingwedde,93.74130025997957,TWENTHE
Bellingwedde,210.4056276239105,VOORSCHOTEN
Bellingwedde,302.9083736047707,VLISSINGEN
Bellingwedde,187.1786551056936,VOLKEL
Bellingwedde,305.1569425015793,WESTDORPE
Ten Boer,202.05905654629,ARCEN
Ten Boer,136.3884764951095,BERKHOUT
Ten Boer,189.78067265700608,CABAUW
Ten Boer,148.13658954327227,DEELEN
Ten Boer,167.641754379705,DE BILT
Ten Boer,135.04157428555217,DE KOOY
Ten Boer,19.778014829006977,EELDE
Ten Boer,223.46484984501336,EINDHOVEN
Ten Boer,226.22530989354522,GILZE-RIJEN
Ten Boer,190.9085897917664,HERWIJNEN
Ten Boer,60.40816986065458,HOOGEVEEN
Ten Boer,91.42852039525502,HOORN (TERSCHELLING)
Ten Boer,135.5629523599999,HUPSEL
Ten Boer,64.14092260571397,LEEUWARDEN
Ten Boer,122.05872379930736,LELYSTAD
Ten Boer,272.71245077964426,MAASTRICHT
Ten Boer,85.1335581384334,MARKNESSE
Ten Boer,31.23437432337839,NIEUW BEERTA
Ten Boer,212.49759613716077,ROTTERDAM
Ten Boer,168.34997446604797,SCHIPHOL
Ten Boer,98.64965259550353,STAVOREN
Ten Boer,113.38897003319843,TWENTHE
Ten Boer,199.47997157743708,VOORSCHOTEN
Ten Boer,295.0069086417462,VLISSINGEN
Ten Boer,193.46786128220026,VOLKEL
Ten Boer,300.5519362525981,WESTDORPE
Delfzijl,208.4612976757087,ARCEN
Delfzijl,151.56501723601417,BERKHOUT
Delfzijl,202.56343816512822,CABAUW
Delfzijl,157.67556052839268,DEELEN
Delfzijl,180.20215325228116,DE BILT
Delfzijl,150.98923003935397,DE KOOY
Delfzijl,31.90940111273399,EELDE
Delfzijl,233.201305648545,EINDHOVEN
Delfzijl,237.67806261179203,GILZE-RIJEN
Delfzijl,202.67195564669532,HERWIJNEN
Delfzijl,67.57294018917203,HOOGEVEEN
Delfzijl,106.66128692579002,HOORN (TERSCHELLING)
Delfzijl,140.00078410176982,HUPSEL
Delfzijl,80.0833671282763,LEEUWARDEN
Delfzijl,135.153380906714,LELYSTAD
Delfzijl,279.9824685547529,MAASTRICHT
Delfzijl,98.23894776696393,MARKNESSE
Delfzijl,19.157613188685904,NIEUW BEERTA
Delfzijl,226.28192328756086,ROTTERDAM
Delfzijl,182.67750930700234,SCHIPHOL
Delfzijl,114.23821163038672,STAVOREN
Delfzijl,115.90411916089828,TWENTHE
Delfzijl,213.81346386314294,VOORSCHOTEN
Delfzijl,308.77435806519037,VLISSINGEN
Delfzijl,202.4899736947677,VOLKEL
Delfzijl,313.4530889919454,WESTDORPE
Groningen,193.17801016276226,ARCEN
Groningen,124.02949725128487,BERKHOUT
Groningen,177.69638005016958,CABAUW
Groningen,137.57484365590167,DEELEN
Groningen,155.64669377899514,DE BILT
Groningen,123.461471758035,DE KOOY
Groningen,10.713731633451825,EELDE
Groningen,212.65767030103208,EINDHOVEN
Groningen,214.61674809334633,GILZE-RIJEN
Groningen,179.19902305744986,HERWIJNEN
Groningen,52.305793126959344,HOOGEVEEN
Groningen,83.04679004052285,HOORN (TERSCHELLING)
Groningen,128.24775438600602,HUPSEL
Groningen,53.85191785836593,LEEUWARDEN
Groningen,109.92452662808047,LELYSTAD
Groningen,263.1885740844916,MAASTRICHT
Groningen,73.05785408477578,MARKNESSE
Groningen,39.62777374714427,NIEUW BEERTA
Groningen,200.14751330427998,ROTTERDAM
Groningen,155.93170570222313,SCHIPHOL
Groningen,86.49392246164278,STAVOREN
Groningen,107.63448349641412,TWENTHE
Groningen,187.0595202309329,VOORSCHOTEN
Groningen,282.65116345213943,VLISSINGEN
Groningen,183.0805608948208,VOLKEL
Groningen,288.3982627682472,WESTDORPE
Grootegast,190.58205339114028,ARCEN
Grootegast,107.73152727715906,BERKHOUT
Grootegast,165.6545524117638,CABAUW
Grootegast,131.31979529434946,DEELEN
Grootegast,144.16559148074256,DE BILT
Grootegast,105.17758050541065,DE KOOY
Grootegast,22.56492119255069,EELDE
Grootegast,205.15030653233947,EINDHOVEN
Grootegast,204.49409339716752,GILZE-RIJEN
Grootegast,168.83829520367794,HERWIJNEN
Grootegast,54.90013688524484,HOOGEVEEN
Grootegast,65.39583768724702,HOORN (TERSCHELLING)
Grootegast,129.52628845482332,HUPSEL
Grootegast,35.21595302884691,LEEUWARDEN
Grootegast,98.06698702115209,LELYSTAD
Grootegast,258.79791812010484,MAASTRICHT
Grootegast,62.23066644770923,MARKNESSE
Grootegast,58.24450007219307,NIEUW BEERTA
Grootegast,186.26331488185008,ROTTERDAM
Grootegast,141.2430786135434,SCHIPHOL
Grootegast,69.31333494894493,STAVOREN
Grootegast,112.06733909432867,TWENTHE
Grootegast,172.23527239486154,VOORSCHOTEN
Grootegast,268.5802938560998,VLISSINGEN
Grootegast,176.9116126735344,VOLKEL
Grootegast,275.7154097230355,WESTDORPE
Haren,186.9665729233774,ARCEN
Haren,124.11250800262806,BERKHOUT
Haren,174.97041425812418,CABAUW
Haren,132.60082104611908,DEELEN
Haren,152.71300839622387,DE BILT
Haren,125.6800126813569,DE KOOY
Haren,4.256111593013767,EELDE
Haren,207.93154374128554,EINDHOVEN
Haren,210.92127479397652,GILZE-RIJEN
Haren,175.6819491506952,HERWIJNEN
Haren,45.553917437853926,HOOGEVEEN
Haren,88.5776168396179,HOORN (TERSCHELLING)
Haren,121.27968520614343,HUPSEL
Haren,58.16998977723172,LEEUWARDEN
Haren,107.3984472180454,LELYSTAD
Haren,257.38704894439945,MAASTRICHT
Haren,70.44951502767141,MARKNESSE
Haren,35.98297511232825,NIEUW BEERTA
Haren,198.36660383837625,ROTTERDAM
Haren,154.75477822403138,SCHIPHOL
Haren,87.5617740947693,STAVOREN
Haren,100.18208403804435,TWENTHE
Haren,185.88807661073932,VOORSCHOTEN
Haren,280.86738539710046,VLISSINGEN
Haren,177.94525565098652,VOLKEL
Haren,285.82606224145934,WESTDORPE
Hoogezand-Sappemeer,188.35690108556867,ARCEN
Hoogezand-Sappemeer,131.7455938876217,BERKHOUT
Hoogezand-Sappemeer,180.6637275068356,CABAUW
Hoogezand-Sappemeer,135.9968562868672,DEELEN
Hoogezand-Sappemeer,158.26008296232467,DE BILT
Hoogezand-Sappemeer,134.06040792262647,DE KOOY
Hoogezand-Sappemeer,11.187376787820005,EELDE
Hoogezand-Sappemeer,211.49880144930745,EINDHOVEN
Hoogezand-Sappemeer,215.65433269056817,GILZE-RIJEN
Hoogezand-Sappemeer,180.64130295459134,HERWIJNEN
Hoogezand-Sappemeer,46.73616476426351,HOOGEVEEN
Hoogezand-Sappemeer,96.80201747916242,HOORN (TERSCHELLING)
Hoogezand-Sappemeer,121.24927805143369,HUPSEL
Hoogezand-Sappemeer,66.67301286593371,LEEUWARDEN
Hoogezand-Sappemeer,113.4060760080962,LELYSTAD
Hoogezand-Sappemeer,259.3889966795793,MAASTRICHT
Hoogezand-Sappemeer,76.57775320512934,MARKNESSE
Hoogezand-Sappemeer,27.5316404527978,NIEUW BEERTA
Hoogezand-Sappemeer,204.7862352271148,ROTTERDAM
Hoogezand-Sappemeer,161.6387501064357,SCHIPHOL
Hoogezand-Sappemeer,95.65676264994752,STAVOREN
Hoogezand-Sappemeer,98.80324040352971,TWENTHE
Hoogezand-Sappemeer,192.7412372320576,VOORSCHOTEN
Hoogezand-Sappemeer,287.230074442082,VLISSINGEN
Hoogezand-Sappemeer,181.02310721666348,VOLKEL
Hoogezand-Sappemeer,291.55665040445496,WESTDORPE
Leek,186.39443904950122,ARCEN
Leek,110.75812206701572,BERKHOUT
Leek,165.81070305420587,CABAUW
Leek,128.52311481539797,DEELEN
Leek,143.98077003677125,DE BILT
Leek,110.35621824759627,DE KOOY
Leek,14.76396348181797,EELDE
Leek,203.01483353252732,EINDHOVEN
Leek,203.63278975287741,GILZE-RIJEN
Leek,168.0713458643061,HERWIJNEN
Leek,48.5191148247136,HOOGEVEEN
Leek,73.09815324548593,HOORN (TERSCHELLING)
Leek,123.91679292870751,HUPSEL
Leek,42.21516826309826,LEEUWARDEN
Leek,98.02011944886799,LELYSTAD
