,Gemeentenaam,AantalInstallatiesBijWoningen,OpgesteldVermogenVanZonnepanelen
1,'s-Gravenhage,29805.0,76786.0
2,'s-Hertogenbosch,18673.0,66087.0
3,Aa en Hunze,7634.0,29820.0
4,Aalsmeer,4866.0,17104.0
5,Aalten,5919.0,22730.0
6,Achtkarspelen,5151.0,22527.0
7,Alblasserdam,1759.0,5507.0
8,Albrandswaard,2536.0,8376.0
9,Alkmaar,18748.0,54994.0
10,Almelo,9203.0,32723.0
11,Almere,34406.0,110691.0
12,Alphen aan den Rijn,19345.0,61787.0
13,Alphen-Chaam,1388.0,6677.0
14,Altena,8732.0,31069.0
15,Ameland,619.0,2438.0
16,Amersfoort,31804.0,87360.0
17,Amstelveen,9598.0,30328.0
18,Amsterdam,38652.0,110761.0
19,Apeldoorn,33106.0,97972.0
20,Appingedam,3729.0,12987.0
21,Arnhem,18999.0,60166.0
22,Assen,18738.0,59349.0
23,Asten,2906.0,13285.0
24,Baarle-Nassau,789.0,3181.0
25,Baarn,4525.0,11284.0
26,Barendrecht,5629.0,17869.0
27,Barneveld,9928.0,36936.0
28,Beek,5211.0,17440.0
29,Beekdaelen,10318.0,41744.0
30,Beemster,1950.0,7737.0
31,Beesel,3473.0,13540.0
32,Berg en Dal,6757.0,24763.0
33,Bergeijk,3670.0,17108.0
34,Bergen (L.),2484.0,11375.0
35,Bergen (NH.),8869.0,25951.0
36,Bergen op Zoom,14039.0,37213.0
37,Berkelland,9777.0,39594.0
38,Bernheze,5292.0,23200.0
39,Best,7323.0,27347.0
40,Beuningen,4773.0,17721.0
41,Beverwijk,6150.0,18838.0
42,Bladel,3482.0,15051.0
43,Blaricum,1269.0,4599.0
44,Bloemendaal,2365.0,7431.0
45,Bodegraven-Reeuwijk,6290.0,21008.0
46,Boekel,1974.0,9978.0
47,Borger-Odoorn,7379.0,29732.0
48,Borne,4665.0,17479.0
49,Borsele,8331.0,24539.0
50,Boxmeer,6058.0,27107.0
51,Boxtel,6668.0,25871.0
52,Breda,17476.0,61714.0
53,Brielle,2461.0,7500.0
54,Bronckhorst,8130.0,32303.0
55,Brummen,4154.0,15981.0
56,Brunssum,5849.0,20775.0
57,Bunnik,3534.0,12165.0
58,Bunschoten,2926.0,10177.0
59,Buren,4970.0,19542.0
60,Capelle aan den IJssel,5543.0,13962.0
61,Castricum,10408.0,29881.0
62,Coevorden,11855.0,39609.0
63,Cranendonck,4399.0,18354.0
64,Cuijk,5190.0,19143.0
65,Culemborg,6615.0,19788.0
66,Dalfsen,9435.0,34710.0
67,Dantumadiel,4053.0,14206.0
68,De Bilt,4663.0,15417.0
69,De Fryske Marren,12226.0,43707.0
70,De Ronde Venen,10172.0,31057.0
71,De Wolden,9435.0,31342.0
72,Delft,10476.0,25756.0
73,Delfzijl,7774.0,26415.0
74,Den Helder,9942.0,26074.0
75,Deurne,5301.0,21832.0
76,Deventer,15112.0,50088.0
77,Diemen,3059.0,10009.0
78,Dinkelland,5301.0,23487.0
79,Doesburg,1845.0,6548.0
80,Doetinchem,13163.0,44752.0
81,Dongen,4287.0,15913.0
82,Dordrecht,9634.0,29680.0
83,Drechterland,5352.0,18490.0
84,Drimmelen,4033.0,14846.0
85,Dronten,11522.0,42935.0
86,Druten,3401.0,13107.0
87,Duiven,4568.0,17246.0
88,Echt-Susteren,7827.0,31521.0
89,Edam-Volendam,4765.0,17036.0
90,Ede,19902.0,68192.0
91,Eemnes,3002.0,8584.0
92,Eersel,3793.0,16859.0
93,Eijsden-Margraten,7647.0,31486.0
94,Eindhoven,36473.0,116556.0
95,Elburg,5493.0,18683.0
96,Emmen,24494.0,92379.0
97,Enkhuizen,2850.0,8479.0
98,Enschede,19383.0,67151.0
99,Epe,5377.0,20871.0
100,Ermelo,6715.0,23604.0
101,Etten-Leur,5745.0,22605.0
102,Geertruidenberg,3063.0,11017.0
103,Geldrop-Mierlo,8613.0,31657.0
104,Gemert-Bakel,6918.0,26121.0
105,Gennep,3558.0,13680.0
106,Gilze en Rijen,4614.0,18772.0
107,Goeree-Overflakkee,12899.0,40603.0
108,Goes,11826.0,33848.0
109,Goirle,3960.0,15497.0
110,Gooise Meren,4993.0,15118.0
111,Gorinchem,3858.0,11697.0
112,Gouda,9593.0,25731.0
113,Grave,2263.0,8970.0
114,Groningen,39344.0,115059.0
115,Gulpen-Wittem,3206.0,12506.0
116,Haaksbergen,4487.0,16233.0
117,Haaren,2948.0,11910.0
118,Haarlem,14269.0,38835.0
119,Haarlemmermeer,27774.0,84633.0
120,Halderberge,5562.0,20569.0
121,Hardenberg,11928.0,48567.0
122,Harderwijk,7587.0,23408.0
123,Hardinxveld-Giessendam,4170.0,11022.0
124,Harlingen,7275.0,20091.0
125,Hattem,2187.0,7694.0
126,Heemskerk,7531.0,23785.0
127,Heemstede,3099.0,8644.0
128,Heerde,3457.0,13341.0
129,Heerenveen,12123.0,42175.0
130,Heerhugowaard,15886.0,48343.0
131,Heerlen,14637.0,51453.0
132,Heeze-Leende,3289.0,14170.0
133,Heiloo,6020.0,18089.0
134,Hellendoorn,6410.0,26443.0
135,Hellevoetsluis,4963.0,16126.0
136,Helmond,13356.0,44195.0
137,Hendrik-Ido-Ambacht,4201.0,12389.0
138,Hengelo,9984.0,36847.0
139,Het Hogeland,17606.0,57370.0
140,Heumen,4226.0,16687.0
141,Heusden,7156.0,27598.0
