,Gemeentenaam,distance,WeerStation
5482,'S-GRAVENHAGE,11.458084225988388,VOORSCHOTEN
7887,'S-HERTOGENBOSCH,20.46486973402908,HERWIJNEN
9964,AA EN HUNZE,15.328114898722944,EELDE
7341,AALBURG,13.059414346439034,HERWIJNEN
3685,AALSMEER,6.678454844986809,SCHIPHOL
1858,AALTEN,17.757337509431217,HUPSEL
3061,ABCOUDE,13.255705497937988,SCHIPHOL
611,ACHTKARSPELEN,26.13613653510113,LEEUWARDEN
5088,ALBLASSERDAM,17.77484840798876,ROTTERDAM
6414,ALBRANDSWAARD,11.723887237926505,ROTTERDAM
3693,ALKMAAR,15.201391255676649,BERKHOUT
1321,ALMELO,18.105173950502056,TWENTHE
326,ALMERE,23.046987373088484,LELYSTAD
5118,ALPHEN AAN DEN RIJN,17.01693152693006,VOORSCHOTEN
10486,ALPHEN-CHAAM,7.777024022218206,GILZE-RIJEN
637,AMELAND,25.141007207514427,LEEUWARDEN
3072,AMERSFOORT,16.32845527836891,DE BILT
3737,AMSTELVEEN,5.484191736389232,SCHIPHOL
3763,AMSTERDAM,13.421231148936675,SCHIPHOL
3771,ANDIJK,19.046360124790738,BERKHOUT
3827,ANNA PAULOWNA,8.98786853010763,DE KOOY
1875,APELDOORN,16.96294044103787,DEELEN
17,APPINGEDAM,24.651372042178807,NIEUW BEERTA
1901,ARNHEM,7.962575787536061,DEELEN
1150,ASSEN,13.312665212414844,EELDE
7365,ASTEN,27.84793282899257,EINDHOVEN
7392,BAARLE-NASSAU,14.474592066237705,GILZE-RIJEN
3098,BAARN,13.471456030471323,DE BILT
5140,BARENDRECHT,13.203071827605816,ROTTERDAM
1927,BARNEVELD,22.29077697307589,DEELEN
32,BEDUM,19.22632240355442,EELDE
8777,BEEK,3.974964102589347,MAASTRICHT
3849,BEEMSTER,9.70316995586877,BERKHOUT
8788,BEESEL,26.9037886531776,ARCEN
69,BELLINGWEDDE,10.392042653429666,NIEUW BEERTA
5150,BERGAMBACHT,11.879943762089722,CABAUW
10511,BERGEIJK,13.711416813796564,EINDHOVEN
8814,BERGEN (L.),12.83297295764442,ARCEN
3875,BERGEN (NH.),20.39855911799693,BERKHOUT
7435,BERGEN OP ZOOM,44.00605337748137,WESTDORPE
10880,BERKELLAND,6.920542722565244,HUPSEL
10450,BERNHEZE,13.448067192890845,VOLKEL
5842,BERNISSE,20.633222061618127,ROTTERDAM
7443,BEST,6.278914336893092,EINDHOVEN
1974,BEUNINGEN,22.819342387441893,VOLKEL
3919,BEVERWIJK,21.053338192488454,SCHIPHOL
6050,BINNENMAAS,19.91024302150966,ROTTERDAM
10537,BLADEL,12.226618041940055,EINDHOVEN
3930,BLARICUM,21.11666802108689,DE BILT
3971,BLOEMENDAAL,14.31652751711163,SCHIPHOL
533,BOARNSTERHIM,16.060576294515666,LEEUWARDEN
5176,BODEGRAVEN,17.08185740786628,CABAUW
7486,BOEKEL,6.047260962521936,VOLKEL
696,BOLSWARD,20.82287841461464,STAVOREN
9994,BORGER-ODOORN,27.293579228661017,HOOGEVEEN
1347,BORNE,10.509868652977891,TWENTHE
6835,BORSELE,14.063571860395134,VLISSINGEN
5248,BOSKOOP,17.340208968406163,VOORSCHOTEN
7512,BOXMEER,17.22108942156742,VOLKEL
7521,BOXTEL,15.391283566980327,EINDHOVEN
7548,BREDA,12.260087917163364,GILZE-RIJEN
3150,BREUKELEN,15.981602919740656,DE BILT
5270,BRIELLE,20.09706075526189,ROTTERDAM
10906,BRONCKHORST,25.79559693375777,HUPSEL
1979,BRUMMEN,18.31348289567905,DEELEN
8855,BRUNSSUM,15.100246678693226,MAASTRICHT
3176,BUNNIK,6.841831070253027,DE BILT
3202,BUNSCHOTEN,19.67662202480934,DE BILT
2011,BUREN,20.032481196164547,HERWIJNEN
3982,BUSSUM,19.329346960519548,DE BILT
5296,CAPELLE AAN DEN IJSSEL,9.113801789606237,ROTTERDAM
4005,CASTRICUM,20.45943908138985,BERKHOUT
1180,COEVORDEN,11.49955202118841,HOOGEVEEN
10277,CRANENDONCK,23.127465842407403,EINDHOVEN
6362,CROMSTRIJEN,24.288382248129977,ROTTERDAM
10034,CUIJK,12.330491886655006,VOLKEL
2037,CULEMBORG,10.621036740368424,HERWIJNEN
1362,DALFSEN,34.16243148786252,HOOGEVEEN
10985,DANTUMADIEL,17.299864712728915,LEEUWARDEN
3124,DE BILT,4.206464693369935,DE BILT
9782,DE MARNE,32.32614851129528,EELDE
7299,DE RONDE VENEN,12.3236741099155,SCHIPHOL
10072,DE WOLDEN,14.539137579254415,HOOGEVEEN
5322,DELFT,7.437471689886757,ROTTERDAM
121,DELFZIJL,19.157613188685904,NIEUW BEERTA
4321,DEN HELDER,0.9602231221934312,DE KOOY
7590,DEURNE,25.838820546377452,VOLKEL
1381,DEVENTER,33.04323543405214,DEELEN
4049,DIEMEN,13.111350699827245,SCHIPHOL
10811,DINKELLAND,8.521195864303198,TWENTHE
