Gemeentecode,Gemeentenaam,Provinciecode,Provincienaam,GemiddeldAardgasverbruik,GemiddeldElektriciteitsverbruik,WeerStation,pctzon_gemiddeld,FG_gemiddeld,Kleur,AantalInstallatiesBijWoningen,OpgesteldVermogenVanZonnepanelen
1680,AA EN HUNZE,22,DRENTHE,632890.0,1093470.0,EELDE,   35.6,4.2,GEEL,7634.0,29820.0
358,AALSMEER,27,NOORD-HOLLAND,148310.0,319190.0,SCHIPHOL,37.7,5.0,NO RESTRICTIONS,4866.0,17104.0
197,AALTEN,25,GELDERLAND,325310.0,690380.0,HUPSEL,   36.3,3.4,NO RESTRICTIONS,5919.0,22730.0
59,ACHTKARSPELEN,21,FRIESLAND,263420.0,482300.0,LEEUWARDEN,38.0,4.7,NO RESTRICTIONS,5151.0,22527.0
482,ALBLASSERDAM,28,ZUID-HOLLAND,255920.0,645420.0,ROTTERDAM,37.1,4.4,NO RESTRICTIONS,1759.0,5507.0
613,ALBRANDSWAARD,28,ZUID-HOLLAND,277330.0,655960.0,ROTTERDAM,37.1,4.4,NO RESTRICTIONS,2536.0,8376.0
361,ALKMAAR,27,NOORD-HOLLAND,667390.0,1421100.0,BERKHOUT,   38.6,,NO RESTRICTIONS,18748.0,54994.0
141,ALMELO,23,OVERIJSSEL,756600.0,1617440.0,TWENTHE,35.7,3.5,ROOD,9203.0,32723.0
34,ALMERE,24,FLEVOLAND,276280.0,1251620.0,LELYSTAD,37.6,4.4,NO RESTRICTIONS,34406.0,110691.0
484,ALPHEN AAN DEN RIJN,28,ZUID-HOLLAND,994440.0,2310430.0,VOORSCHOTEN,,,NO RESTRICTIONS,19345.0,61787.0
1723,ALPHEN-CHAAM,30,NOORD-BRABANT,183320.0,382210.0,GILZE-RIJEN,36.9,3.7,ROOD,1388.0,6677.0
1959,ALTENA,30,NOORD-BRABANT,684710.0,1642800.0,,,,ORANJE,8732.0,31069.0
60,AMELAND,21,FRIESLAND,87330.0,150080.0,LEEUWARDEN,38.0,4.7,NO RESTRICTIONS,619.0,2438.0
307,AMERSFOORT,26,UTRECHT,1385760.0,3222310.0,DE BILT,36.4,3.6,NO RESTRICTIONS,31804.0,87360.0
362,AMSTELVEEN,27,NOORD-HOLLAND,635560.0,1383400.0,SCHIPHOL,37.7,5.0,NO RESTRICTIONS,9598.0,30328.0
363,AMSTERDAM,27,NOORD-HOLLAND,2696480.0,6701330.0,SCHIPHOL,37.7,5.0,NO RESTRICTIONS,38652.0,110761.0
200,APELDOORN,25,GELDERLAND,1058190.0,2204380.0,DEELEN,35.0,3.8,NO RESTRICTIONS,33106.0,97972.0
3,APPINGEDAM,20,GRONINGEN,76840.0,134280.0,NIEUW BEERTA,36.6,5.0,ROOD,3729.0,12987.0
202,ARNHEM,25,GELDERLAND,928010.0,1949580.0,DEELEN,35.0,3.8,NO RESTRICTIONS,18999.0,60166.0
106,ASSEN,22,DRENTHE,941630.0,1785320.0,EELDE,   35.6,4.2,GEEL,18738.0,59349.0
743,ASTEN,30,NOORD-BRABANT,169750.0,383670.0,EINDHOVEN,36.9,3.8,ORANJE,2906.0,13285.0
