Gemeentecode,Gemeentenaam,Provinciecode,Provincienaam,GemiddeldAardgasverbruik,GemiddeldElektriciteitsverbruik,Unnamed: 0,distance,WeerStation,pctzon_gemiddeld,FG_gemiddeld,Inwoneraantal,"Groot, middelgroot en klein",Kleur,AantalInstallatiesBijWoningen,OpgesteldVermogenVanZonnepanelen
1680,AA EN HUNZE,22,DRENTHE,632890.0,1093470.0,9964.0,15.328114898722944,EELDE,   35.6,4.2,,,GEEL,7634.0,29820.0
358,AALSMEER,27,NOORD-HOLLAND,148310.0,319190.0,3685.0,6.678454844986809,SCHIPHOL,37.7,5.0,31499.0,Klein,NO DATA,4866.0,17104.0
197,AALTEN,25,GELDERLAND,325310.0,690380.0,1858.0,17.757337509431217,HUPSEL,   36.3,3.4,,,NO DATA,5919.0,22730.0
59,ACHTKARSPELEN,21,FRIESLAND,263420.0,482300.0,611.0,26.13613653510113,LEEUWARDEN,38.0,4.7,,,NO DATA,5151.0,22527.0
482,ALBLASSERDAM,28,ZUID-HOLLAND,255920.0,645420.0,5088.0,17.77484840798876,ROTTERDAM,37.1,4.4,,,NO DATA,1759.0,5507.0
613,ALBRANDSWAARD,28,ZUID-HOLLAND,277330.0,655960.0,6414.0,11.723887237926505,ROTTERDAM,37.1,4.4,,,NO DATA,2536.0,8376.0
361,ALKMAAR,27,NOORD-HOLLAND,667390.0,1421100.0,3693.0,15.201391255676649,BERKHOUT,   38.6,,108470.0,Groot,NO DATA,18748.0,54994.0
141,ALMELO,23,OVERIJSSEL,756600.0,1617440.0,1321.0,18.105173950502056,TWENTHE,35.7,3.5,72629.0,Middelgroot,ROOD,9203.0,32723.0
34,ALMERE,24,FLEVOLAND,276280.0,1251620.0,326.0,23.046987373088484,LELYSTAD,37.6,4.4,203990.0,Groot,NO DATA,34406.0,110691.0
484,ALPHEN AAN DEN RIJN,28,ZUID-HOLLAND,994440.0,2310430.0,5118.0,17.01693152693006,VOORSCHOTEN,,,109682.0,Groot,NO DATA,19345.0,61787.0
1723,ALPHEN-CHAAM,30,NOORD-BRABANT,183320.0,382210.0,10486.0,7.777024022218206,GILZE-RIJEN,36.9,3.7,,,ROOD,1388.0,6677.0
1959,ALTENA,30,NOORD-BRABANT,684710.0,1642800.0,,,,,,54766.0,Middelgroot,ORANJE,8732.0,31069.0
60,AMELAND,21,FRIESLAND,87330.0,150080.0,637.0,25.141007207514427,LEEUWARDEN,38.0,4.7,,,NO DATA,619.0,2438.0
307,AMERSFOORT,26,UTRECHT,1385760.0,3222310.0,3072.0,16.32845527836891,DE BILT,36.4,3.6,155226.0,Groot,NO DATA,31804.0,87360.0
362,AMSTELVEEN,27,NOORD-HOLLAND,635560.0,1383400.0,3737.0,5.484191736389232,SCHIPHOL,37.7,5.0,89870.0,Middelgroot,NO DATA,9598.0,30328.0
363,AMSTERDAM,27,NOORD-HOLLAND,2696480.0,6701330.0,3763.0,13.421231148936675,SCHIPHOL,37.7,5.0,854047.0,Groot,NO DATA,38652.0,110761.0
200,APELDOORN,25,GELDERLAND,1058190.0,2204380.0,1875.0,16.96294044103787,DEELEN,35.0,3.8,161156.0,Groot,NO DATA,33106.0,97972.0
