Gemeente;Inwoneraantal;Groot, middelgroot en klein
?Aa en Hunze;25390;Klein
?Aalsmeer;31499;Klein
?Aalten;26962;Klein
?Achtkarspelen;27935;Klein
?Alblasserdam;20014;Klein
?Albrandswaard;25218;Klein
?Alkmaar;108470;Groot
?Almelo;72629;Middelgroot
?Almere;203990;Groot
?Alphen aan den Rijn;109682;Groot
?Alphen-Chaam;10083;Klein
?Altena;54766;Middelgroot
?Ameland;3654;Klein
?Amersfoort;155226;Groot
?Amstelveen;89870;Middelgroot
?Amsterdam;854047;Groot
?Apeldoorn;161156;Groot
?Appingedam;11801;Klein
?Arnhem;157223;Groot
?Assen;67708;Middelgroot
?Asten;16719;Klein
?Baarle-Nassau;6799;Klein
?Baarn;24630;Klein
?Barendrecht;48477;Klein
?Barneveld;57339;Middelgroot
?Beek;15895;Klein
?Beekdaelen;35969;Klein
?Beemster;9550;Klein
?Beesel;13444;Klein
?Berg en Dal;34748;Klein
?Bergeijk;18398;Klein
?Bergen (L);13106;Klein
?Bergen (NH);29941;Klein
?Bergen op Zoom;66354;Middelgroot
?Berkelland;44029;Klein
?Bernheze;30550;Klein
?Best;29497;Klein
?Beuningen;25798;Klein
?Beverwijk;41077;Klein
?Bladel;20144;Klein
?Blaricum;10795;Klein
?Bloemendaal;23208;Klein
?Bodegraven-Reeuwijk;33948;Klein
?Boekel;10502;Klein
?Borger-Odoorn;25351;Klein
?Borne;23124;Klein
?Borsele;22716;Klein
?Boxmeer;28853;Klein
?Boxtel;30672;Klein
?Breda;183448;Groot
?Brielle;17040;Klein
?Bronckhorst;36352;Klein
?Brummen;20771;Klein
?Brunssum;28241;Klein
?Bunnik;15214;Klein
?Bunschoten;21266;Klein
?Buren;26365;Klein
?Capelle aan den IJssel;66854;Middelgroot
?Castricum;35608;Klein
?Coevorden;35299;Klein
?Cranendonck;20336;Klein
?Cuijk;24911;Klein
?Culemborg;28195;Klein
?Dalfsen;28242;Klein
?Dantumadiel;18904;Klein
?De Bilt;42846;Klein
?De Fryske Marren;51742;Middelgroot
?De Ronde Venen;43620;Klein
?De Wolden;23917;Klein
?Delft;102253;Groot
?Delfzijl;24864;Klein
?Den Helder;55760;Middelgroot
?Deurne;32137;Klein
?Deventer;99653;Middelgroot
?Diemen;28121;Klein
?Dinkelland;26291;Klein
?Doesburg;11328;Klein
?Doetinchem;57382;Middelgroot
?Dongen;25777;Klein
?Dordrecht;118426;Groot
?Drechterland;19440;Klein
?Drimmelen;27063;Klein
?Dronten;40735;Klein
?Druten;18701;Klein
?Duiven;25438;Klein
?Echt-Susteren;31751;Klein
?Edam-Volendam;35953;Klein
?Ede;114682;Groot
?Eemnes;9112;Klein
?Eersel;18778;Klein
?Eijsden-Margraten;25566;Klein
?Eindhoven;229126;Groot
?Elburg;23107;Klein
?Emmen;107192;Groot
?Enkhuizen;18476;Klein
?Enschede;158261;Groot
?Epe;32863;Klein
?Ermelo;26793;Klein
?Etten-Leur;43532;Klein
?Geertruidenberg;21517;Klein
?Geldrop-Mierlo;39252;Klein
?Gemert-Bakel;30340;Klein
?Gennep;17052;Klein
?Gilze en Rijen;26313;Klein
?Goeree-Overflakkee;49129;Klein
?Goes;37636;Klein
?Goirle;23621;Klein
?Gooise Meren;57337;Middelgroot
?Gorinchem;36284;Klein
?Gouda;72700;Middelgroot
?Grave;12419;Klein
?Groningen;229962;Groot
?Gulpen-Wittem;14196;Klein
?Haaksbergen;24291;Klein
?Haaren;14103;Klein
?Haarlem;159709;Groot
?Haarlemmermeer;153149;Groot
?Halderberge;29888;Klein
?Hardenberg;60539;Middelgroot
?Harderwijk;46832;Klein
?Hardinxveld-Giessendam;17958;Klein
?Harlingen;15783;Klein
?Hattem;12154;Klein
?Heemskerk;39146;Klein
?Heemstede;27080;Klein
?Heerde;18603;Klein
?Heerenveen;50192;Middelgroot
?Heerhugowaard;55850;Middelgroot
?Heerlen;86762;Middelgroot
?Heeze-Leende;15886;Klein
?Heiloo;23099;Klein
?Hellendoorn;35796;Klein
?Hellevoetsluis;39997;Klein
?Helmond;90903;Middelgroot
?Hendrik-Ido-Ambacht;30677;Klein
?Hengelo (O);80593;Middelgroot
?Het Hogeland;48019;Klein
?Heumen;16462;Klein
